,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,SPS
CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,5.411527777777778,5.411527777777778,0.7657971151423533,-2.0821913580246916,0.6672252251387368,13.904761904761905,339.4090000000001,304.1290000000001,339.24291738,128.0,0.0,0.2121933775848234,-0.25489803117067844,0.25489803117067844,0.2121933775848234,0.6190476190476191,0.9523809523809523,1.1428571428571428,31.220824080684277,10.839503756419836,2.3487549739272726,-2.442945712118313,2.6727865963692885,-2.316129744673173,7.707175045849296,0.4721359150010814,2.315450177248844,6.694020208393603,386.7925539933051,17.008071689507773,15.732029140686171,17.520883522686002,9.484645317836693,7.095470502202968,10.295470502202964,5.85647244805383,13.001482171728172,3.2544395888471604,11.203318766541473,2.4630835436508858,10.924937624717339,0.26,15191.668612929665,21.26,8.207561757126713,4.167671175609903,131.86915294397068,0.0,0.0,7.5065986871943915,7.5065986871943915,0.0,0.0,18.756233559413797,9.340832379842599,4.515491448720721,0.0,0.0,77.4004570264625,6.544756405912575,0.0,0.0,15.013197374388783,0.0,23.352080949606496,9.26047643837062,6.923737199690624,77.02147623268446,0.0,0.0,0.0,0.0,0.0,0.0,15.013197374388783,100.37355718229095,0.0,0.0,6.923737199690624,9.26047643837062,0.0,0.0,0.0,40.92,15.013197374388783,0.0,0.0,0.0,0.0,6.544756405912575,0.0,0.0,0.0,100.752537976069,9.26047643837062,21.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.847517794154699,16.848593316956407,1.0,21.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,2.7067000000000005,97.67200000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.904761904761905
CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,2.5643045057529186,2.5643045057529186,0.11994260495693432,-0.11994260495693432,0.3485759473486275,18.529411764705884,476.72900000000044,427.3370000000003,476.357188198,186.0,0.0,-0.010103005836387709,-0.06828270540986672,0.06828270540986672,0.010103005836387709,0.6176470588235294,1.088235294117647,1.5294117647058822,31.131722477849863,9.81575654151616,2.340785404494362,-2.3977861252710606,2.5641667546234395,-2.2707009585803943,7.669141090157683,0.48669781454040834,2.8470609582531017,1.9139036786259338,878.3083821760208,24.24191172926026,22.869134368451313,23.763561559451226,16.379917853109717,14.435175565590828,15.91518472007943,12.04654739340529,14.803486744077167,8.520106323003935,12.072787997040056,6.586959414890162,10.535717449996188,-1.13,47326808.19147964,25.947832015667892,11.736317427266833,5.641902649605722,211.64030480170453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.38714343881301,87.87679088631872,0.0,0.0,0.0,13.226127988582418,0.0,0.0,0.0,134.82234646729464,0.0,53.08855688586065,0.0,11.126902983393991,5.304539896238907,0.0,0.0,7.9215880923435105,11.317988901406613,0.0,0.0,140.19471204097903,36.39820241076966,0.0,11.126902983393991,0.0,0.0,0.0,0.0,0.0,7.9215880923435105,17.75371813848418,11.317988901406613,69.77166772095711,27.55834586302689,0.0,77.94062560891341,0.0,0.0,0.0,0.0,1.7475897581254727,9.710269098252503,1.644060096515904,14.839244404551945,14.605889822446251,14.313630165805598,-0.11994260495693432,0.6363636363636364,34.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,7.0,2.0,0.0,2.0,4.0,10.496399999999992,154.4449999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.529411764705884
FC(F)(F)c1ccc(Cl)cc1,11.87649470899471,11.87649470899471,0.30370370370370425,-4.273225308641975,0.5744156718960564,11.636363636363637,180.55599999999998,176.524,179.995362468,60.0,0.0,0.41591123272335817,-0.1661375336137137,0.41591123272335817,0.1661375336137137,1.0,1.4545454545454546,1.8181818181818181,35.49569092609876,10.201722902316721,2.2921626820077146,-2.0425349450096912,2.290301530814572,-2.0309760033936266,6.300828764580027,-0.13712571315153516,1.8607638717481272,2.993754788259927,236.85775327612674,8.483127663125444,5.321258968795412,6.077187914813867,4.999018565639891,2.827296151064373,3.2052606240736004,2.0046520938734402,2.441087874345425,1.1715485058168154,1.4235248211563003,0.6388708495138047,0.7648590071835473,-0.7000000000000001,230.73472009676777,8.397087378640776,2.7368832500320392,2.117121619889786,66.59621766955395,0.0,0.0,0.0,0.0,0.0,6.176298517443475,0.0,0.0,13.171245143024459,0.0,11.600939890232516,24.26546827384644,5.022633313741326,5.563451491696996,13.171245143024459,11.600939890232516,0.0,0.0,0.0,6.176298517443475,0.0,34.85155307928476,0.0,0.0,0.0,13.171245143024459,0.0,11.600939890232516,0.0,6.176298517443475,0.0,5.563451491696996,24.26546827384644,5.022633313741326,0.0,0.0,0.0,11.73975000914047,13.171245143024459,0.0,0.0,5.022633313741326,12.13273413692322,12.13273413692322,0.0,0.0,0.0,11.600939890232516,35.629484126984124,5.394404761904761,0.0,0.30370370370370425,-0.6787962962962972,0.0,4.318873456790123,-4.273225308641975,0.0,0.0,0.14285714285714285,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.3588000000000013,36.454000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.636363636363637
FC(F)(F)c1ccc(Br)cc1,11.904272486772488,11.904272486772488,0.6243518518518527,-4.235416666666667,0.6335916144900101,11.636363636363637,225.007,220.97499999999997,223.944846888,60.0,0.0,0.4159108091845406,-0.1661375376325867,0.4159108091845406,0.1661375376325867,1.0,1.4545454545454546,1.8181818181818181,79.91873098522247,10.203569228716546,2.291909869265162,-2.0434710287280407,2.291123091940919,-2.0312672648013907,9.102990625251348,-0.13713723264688168,1.8607638717481272,2.993754788259927,236.85775327612674,8.483127663125444,5.321258968795412,6.907255507910117,4.999018565639891,2.827296151064373,3.6202944206217254,2.0046520938734402,2.920327622665129,1.1715485058168154,1.7002140188550503,0.6388708495138047,0.9032036060329223,-0.5100000000000001,230.73472009676777,8.585328884652048,2.8508788193386607,2.2188452409580557,70.16049904831364,0.0,0.0,0.0,0.0,0.0,6.176298517443475,0.0,0.0,13.171245143024459,0.0,15.929943897949348,24.26546827384644,4.472719515832414,5.563451491696996,13.171245143024459,15.929943897949348,0.0,0.0,0.0,6.176298517443475,0.0,34.30163928137585,0.0,0.0,0.0,13.171245143024459,0.0,15.929943897949348,0.0,6.176298517443475,0.0,5.563451491696996,28.738187789678854,0.0,0.0,0.0,0.0,11.73975000914047,13.171245143024459,0.0,0.0,4.472719515832414,12.13273413692322,12.13273413692322,0.0,0.0,15.929943897949348,0.0,36.35679894179895,3.0448214285714283,0.0,0.0,-0.6243518518518527,0.0,4.7914814814814815,-4.235416666666667,0.0,0.0,0.14285714285714285,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.467900000000001,39.14400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.636363636363637
FC(F)(F)c1ccc(I)cc1,11.91712962962963,11.91712962962963,0.5991518518518528,-4.2179166666666665,0.6354542220579911,11.636363636363637,272.007,267.97499999999997,271.930982788,60.0,0.0,0.41591072674799184,-0.16613753841486115,0.41591072674799184,0.16613753841486115,1.0,1.4545454545454546,1.8181818181818181,126.91270430168899,10.203981851529651,2.291861525888983,-2.0436582435815605,2.285688366106765,-2.033776141224783,14.111915733669273,-0.13713903212629566,1.8607638717481272,2.993754788259927,236.85775327612674,8.483127663125444,5.321258968795412,7.478757259971735,4.999018565639891,2.827296151064373,3.9060452966525343,2.0046520938734402,3.2502843130602472,1.1715485058168154,1.89071460287559,0.6388708495138047,0.9984538980431921,-0.2600000000000001,230.73472009676777,8.833109869646183,3.003117786004789,2.355219683258284,75.55478956371591,0.0,0.0,0.0,0.0,0.0,6.176298517443475,0.0,0.0,13.171245143024459,0.0,0.0,46.856338900914494,3.5701822710653963,5.563451491696996,13.171245143024459,22.590870627068057,0.0,0.0,0.0,6.176298517443475,0.0,33.39910203660883,0.0,0.0,0.0,13.171245143024459,0.0,22.590870627068057,0.0,6.176298517443475,3.5701822710653963,5.563451491696996,24.26546827384644,0.0,0.0,0.0,0.0,11.73975000914047,13.171245143024459,0.0,0.0,0.0,15.702916407988617,12.13273413692322,0.0,22.590870627068057,0.0,0.0,36.55287037037037,1.9573000000000003,0.0,0.0,-0.5991518518518528,0.0,5.010231481481481,-4.2179166666666665,0.0,0.0,0.14285714285714285,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.3100000000000005,44.161000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.636363636363637
COc1ccc(Cl)cc1,5.613083900226757,5.613083900226757,0.7322222222222226,0.7322222222222226,0.5850627747795067,9.11111111111111,142.585,135.529,142.018542524,48.0,0.0,0.11846265561702203,-0.4967667588078224,0.4967667588078224,0.11846265561702203,1.2222222222222223,1.7777777777777777,2.2222222222222223,35.49569076988794,10.336100666039162,1.8666441191417367,-1.9563483617216415,2.136376610285417,-1.7888107609339299,6.301024654233301,0.4145763084513691,1.9003726279897948,2.881555877646136,180.61256853719752,6.69023444431199,5.095613840231594,5.851542786250048,4.325698502695489,2.622721877246327,3.0006863502555543,1.6580442958634405,2.094480076335425,1.04934002767963,1.3013163430191153,0.5706794249077894,0.6966675825775318,-0.6900000000000001,129.22533870330605,6.4303369434416355,2.738159640852299,1.6113178169128046,59.213156690282126,4.736862953800049,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.600939890232516,24.26546827384644,5.022633313741326,7.109797541277533,4.736862953800049,11.600939890232516,0.0,0.0,0.0,0.0,7.109797541277533,29.288101587587764,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,11.600939890232516,7.109797541277533,0.0,0.0,0.0,24.26546827384644,5.022633313741326,0.0,0.0,9.23,0.0,0.0,0.0,0.0,0.0,10.772145147025231,0.0,19.242531678200752,12.13273413692322,0.0,16.337802844032566,4.910524691358025,5.613083900226757,0.0,0.7322222222222226,0.0,0.8327777777777781,7.227623456790123,0.0,0.0,1.628212396069539,0.14285714285714285,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.3486000000000002,38.00400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.11111111111111
COc1ccc(Br)cc1,4.948333333333333,4.948333333333333,0.8872222222222224,0.8872222222222224,0.6555469718174521,9.11111111111111,187.036,179.97999999999996,185.968026944,48.0,0.0,0.11843704922196376,-0.4967672018411979,0.4967672018411979,0.11843704922196376,1.2222222222222223,1.7777777777777777,2.2222222222222223,79.91873094955405,10.33984376988831,1.8633153173170545,-1.9581467796675172,2.143455165914344,-1.7897259954751559,9.102990540237675,0.41448073173236655,1.9003726279897948,2.881555877646136,180.61256853719752,6.69023444431199,5.095613840231594,6.681610379346298,4.325698502695489,2.622721877246327,3.4157201468036793,1.6580442958634405,2.5737198246551296,1.04934002767963,1.5780055407178653,0.5706794249077894,0.8350121814269069,-0.5000000000000001,129.22533870330605,6.617647058823529,2.8741496598639458,1.7155009451795842,62.77743806904181,4.736862953800049,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.929943897949348,24.26546827384644,4.472719515832414,7.109797541277533,4.736862953800049,15.929943897949348,0.0,0.0,0.0,0.0,7.109797541277533,28.738187789678854,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,15.929943897949348,7.109797541277533,0.0,0.0,0.0,28.738187789678854,0.0,0.0,0.0,9.23,0.0,0.0,0.0,0.0,0.0,10.222231349116319,0.0,7.109797541277533,24.26546827384644,15.929943897949348,4.736862953800049,6.020833333333334,3.3190561224489796,0.0,0.0,0.0,0.8872222222222224,7.700231481481481,0.0,0.0,1.6559901738473166,0.14285714285714285,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.4577,40.69400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.11111111111111
COc1ccc(I)cc1,4.965833333333333,4.965833333333333,0.9124222222222225,0.9124222222222225,0.6771571197578288,9.11111111111111,234.036,226.97999999999996,233.954162844,48.0,0.0,0.118432065938671,-0.49676728807224335,0.49676728807224335,0.118432065938671,1.2222222222222223,1.7777777777777777,2.2222222222222223,126.91270428223369,10.340679780894508,1.8626823441116034,-1.958506556791618,2.1140550369982574,-1.7995017783086449,14.111915513687656,0.41446996481508375,1.9003726279897948,2.881555877646136,180.61256853719752,6.69023444431199,5.095613840231594,7.253112131407916,4.325698502695489,2.622721877246327,3.7014710228344883,1.6580442958634405,2.9036765150502473,1.04934002767963,1.7685061247384048,0.5706794249077894,0.9302624734371765,-0.2500000000000001,129.22533870330605,6.864285714285714,3.055570578691184,1.8559302851969217,68.17172858444408,4.736862953800049,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.856338900914494,3.5701822710653963,7.109797541277533,4.736862953800049,22.590870627068057,0.0,0.0,0.0,0.0,7.109797541277533,27.835650544911836,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,22.590870627068057,7.109797541277533,0.0,3.5701822710653963,0.0,24.26546827384644,0.0,0.0,0.0,9.23,0.0,0.0,0.0,0.0,0.0,5.749511833283905,3.5701822710653963,7.109797541277533,24.26546827384644,22.590870627068057,4.736862953800049,6.195833333333333,2.2572489795918367,0.0,0.0,0.0,0.9124222222222225,7.918981481481481,0.0,0.0,1.6688473167044595,0.14285714285714285,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.2998000000000003,45.71100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.11111111111111
CCc1ccc(Cl)cc1,5.668639455782312,5.668639455782312,0.8122222222222226,0.8122222222222226,0.5628991883514108,9.555555555555555,140.613,131.541,140.039277968,48.0,0.0,0.04056833900666673,-0.08434413274280682,0.08434413274280682,0.04056833900666673,1.2222222222222223,1.7777777777777777,2.2222222222222223,35.495690758459716,10.16846032469734,1.8584182890237662,-1.925743337247696,2.085395146562632,-1.750994723312541,6.300783282160975,1.140426028714329,1.9003726279897948,2.881555877646136,176.26405299160075,6.69023444431199,5.394472330954279,6.150401276972733,4.325698502695489,3.0710096133303537,3.448974086339581,1.9800195712931299,2.4164553517651144,1.321505554655539,1.573481869995024,0.7201086702691316,0.8460968279388741,-0.49000000000000005,129.22533870330605,6.627508813160988,2.8813530949184365,1.7210460363481006,60.46455357517185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.657411226846357,24.117007251546223,5.022633313741326,0.0,0.0,11.600939890232516,0.0,0.0,0.0,13.344558822616634,0.0,34.85155307928476,0.0,0.0,0.0,0.0,0.0,11.600939890232516,0.0,6.4208216229260096,0.0,12.487188691387619,24.26546827384644,5.022633313741326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.443454936667337,5.563451491696996,0.0,24.26546827384644,6.923737199690624,11.600939890232516,0.0,5.668639455782312,0.0,0.8122222222222226,1.3327777777777778,0.0,7.922067901234568,1.0805246913580246,2.128212396069539,0.0,0.25,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.902400000000001,40.83000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.555555555555555
CCc1ccc(Br)cc1,3.374611678004535,3.374611678004535,1.1183333333333334,1.1183333333333334,0.6302935903545703,9.555555555555555,185.064,175.99199999999996,183.988762388,48.0,0.0,0.017495162032948618,-0.06129412770288418,0.06129412770288418,0.017495162032948618,1.2222222222222223,1.7777777777777777,2.2222222222222223,79.91873094854913,10.169910578649427,1.8552696695189168,-1.9282620453583261,2.09614792360298,-1.7526174976093654,9.1029899622611,1.1385065578346885,1.9003726279897948,2.881555877646136,176.26405299160075,6.69023444431199,5.394472330954279,6.980468870068982,4.325698502695489,3.0710096133303537,3.8640078828877056,1.9800195712931299,2.8956951000848186,1.321505554655539,1.850171067693774,0.7201086702691316,0.9844414267882492,-0.30000000000000004,129.22533870330605,6.8149425287356316,3.019067167438204,1.8275476660092043,64.02883495393154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.98641523456319,24.117007251546223,4.472719515832414,0.0,0.0,15.929943897949348,0.0,0.0,0.0,13.344558822616634,0.0,34.30163928137585,0.0,0.0,0.0,0.0,0.0,15.929943897949348,0.0,6.4208216229260096,0.0,12.487188691387619,28.738187789678854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.893541138758422,5.563451491696996,0.0,0.0,47.11914937148641,0.0,1.1525000000000003,3.374611678004535,0.0,0.0,1.3872222222222224,0.0,8.394675925925927,1.1183333333333334,2.1559901738473166,0.0,0.25,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0115000000000016,43.52000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.555555555555555
