,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,SPS
O=P1(O)OC2=C(C3=CC=CC=C3)C=C4C(C=CC=C4)=C2C5=C(O1)C(C6=CC=CC=C6)=CC7=C5C=CC=C7,13.5297159234064,13.5297159234064,0.3378222894095908,-4.545435720584531,0.24133613396193365,13.756756756756756,500.4900000000003,479.3220000000004,500.117745782,178.0,0.0,0.584486074957496,-0.3938359224104094,0.584486074957496,0.3938359224104094,0.5135135135135135,0.8918918918918919,1.3243243243243243,31.204696093171115,9.863143190082814,2.3705611365226926,-2.182350274903262,2.6087778870662954,-1.996102154108984,7.479452291757456,0.29512742573961387,3.0606741480505057,1.720888507302033,1728.994601740358,24.984552416379547,19.666177446184026,20.560604637183943,18.089249514347298,12.036739129773453,13.532184244783789,9.081955356979284,10.384215272705987,6.836192024889992,7.662782109745619,5.256814923057481,6.1347949699595254,-4.369999999999998,551462131.0429618,21.875905635877633,8.345715327531686,3.616236884046968,213.531118533315,9.047494323423635,11.49902366656781,0.0,0.0,0.0,7.822697123132171,4.893411602752475,4.565048284931329,0.0,0.0,109.19460723230902,44.804533978176394,22.253805966787983,0.0,18.50595421110744,29.367593980991355,0.0,0.0,0.0,0.0,0.0,121.32734136923226,0.0,44.879732616749784,9.047494323423635,0.0,11.49902366656781,7.822697123132171,4.893411602752475,4.565048284931329,0.0,0.0,121.32734136923226,0.0,54.925605808041155,0.0,55.760000000000005,7.822697123132171,9.458459887683805,0.0,0.0,11.49902366656781,54.925605808041155,0.0,0.0,109.19460723230902,12.13273413692322,9.047494323423635,25.427965639959687,0.0,11.045956790123459,3.829289493575209,4.719263075855789,0.6756445788191816,39.65287169780675,0.0,0.0,-4.545435720584531,0.0,37.0,1.0,4.0,0.0,1.0,1.0,6.0,0.0,6.0,3.0,1.0,5.0,2.0,0.0,0.0,0.0,7.0,8.865599999999999,148.84329999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.756756756756756
O=C(C1=CC=CC=C1)/N=C/C2=CC=CC=C2,11.620077003023432,11.620077003023432,0.21809901738473148,-0.21809901738473148,0.6990433969193433,10.5,209.24800000000002,198.15999999999997,209.084063972,78.0,0.0,0.2764668786104798,-0.2667877874821947,0.2764668786104798,0.2667877874821947,0.875,1.4375,2.0625,16.147579978643936,10.186938330156645,1.995719930795382,-1.9342679741827904,2.0105819558168485,-1.9446845511778117,6.010506357639168,0.10032162259340806,2.38093377205471,2.1172786918812947,488.6584954868302,11.217332181807452,8.706314847049708,8.706314847049708,7.860173345306137,5.045972172369804,5.045972172369804,3.340060460463042,3.340060460463042,2.151187405874867,2.151187405874867,1.3275334224809965,1.3275334224809965,-2.2199999999999993,6818.994323164689,10.302961028782999,5.028405107738163,2.6380035318938035,94.27522614025811,0.0,0.0,0.0,0.0,5.907179729351506,0.0,4.794537184071822,4.992404732635669,0.0,0.0,48.53093654769288,17.696185628620217,11.778052071232313,0.0,4.794537184071822,12.121780308886823,0.0,0.0,4.992404732635669,0.0,0.0,71.7905736680101,0.0,0.0,0.0,0.0,0.0,0.0,12.121780308886823,0.0,0.0,15.921440167465814,65.65607541725177,0.0,0.0,0.0,29.43,0.0,4.794537184071822,0.0,5.907179729351506,5.563451491696996,5.563451491696996,0.0,18.347334716458537,48.53093654769288,4.992404732635669,0.0,0.0,0.0,15.520817743764173,0.0,1.5291317082388516,-0.21809901738473148,18.589445861678005,1.5787037037037037,0.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.945900000000001,64.80850000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5
SC1=CC=CC=C1,4.084382716049383,4.084382716049383,1.016203703703704,1.016203703703704,0.48490334051496226,8.714285714285714,110.18099999999997,104.13299999999998,110.019021192,36.0,0.0,0.003992005065301783,-0.14342689229770952,0.14342689229770952,0.003992005065301783,1.0,1.5714285714285714,1.8571428571428572,32.11691025659743,10.371125571410213,1.7258015589384388,-1.81302506774763,2.0032623406582895,-1.5648237280483916,7.798895708674257,1.480463460412682,1.6856161633204378,3.0214653097240864,134.10736969541455,5.112884175122364,3.8339649414480865,4.728392132448003,3.393846850117352,2.134290400272939,2.5815039957728967,1.3355491589367874,1.8519469384311096,0.756193600181959,1.054335997181931,0.4279941042701234,0.6001266974348977,-0.43000000000000005,47.19725257297226,4.7222070015220705,2.0299990576722062,1.2387962111442479,48.58646978289869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.628789148012991,18.19910120538483,12.13273413692322,4.895483475517775,0.0,0.0,12.628789148012991,0.0,0.0,0.0,4.895483475517775,0.0,30.33183534230805,0.0,0.0,0.0,0.0,0.0,12.628789148012991,0.0,0.0,0.0,0.0,35.227318817825825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.895483475517775,0.0,0.0,30.33183534230805,12.628789148012991,0.0,0.0,4.084382716049383,1.016203703703704,0.0,0.0,0.0,9.788302469135802,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9752999999999996,33.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.714285714285714
CCS,3.7885802469135803,3.7885802469135803,0.9444444444444444,0.9444444444444444,0.3965034907917323,6.0,62.137,56.089,62.019021192,20.0,0.0,-0.012640478636079259,-0.179652169871682,0.179652169871682,0.012640478636079259,2.0,2.0,2.0,32.116865081434426,10.987046922961845,1.351577257281666,-1.4814645000581461,1.5753208387327688,-1.3633451486966037,7.797044729491707,1.5445771127026926,0.9182958340544894,1.6329931618554523,2.7548875021634682,2.7071067811865475,2.1543203766865053,3.048747567686421,1.4142135623730951,1.0233345472033855,1.6557900792370612,0.3162277660168379,0.9486832980505138,0.0,0.0,0.0,0.0,0.35,2.7548875021634682,3.3499999999999996,2.35,2.3500000000000014,26.25925980562788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.628789148012991,0.0,6.923737199690624,5.752853606746789,0.0,0.0,0.0,12.628789148012991,0.0,0.0,0.0,6.923737199690624,5.752853606746789,0.0,0.0,0.0,0.0,0.0,0.0,12.628789148012991,5.752853606746789,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.752853606746789,0.0,0.0,6.923737199690624,12.628789148012991,0.0,0.0,3.7885802469135803,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,1.9891975308641976,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9360999999999999,19.526999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
SC1CCCCC1,4.361327160493827,4.361327160493827,0.730324074074074,0.730324074074074,0.46099203127790833,25.285714285714285,116.22900000000001,104.13299999999998,116.065971384,42.0,0.0,0.0016762335332013254,-0.1759301361605598,0.1759301361605598,0.0016762335332013254,1.0,1.5714285714285714,1.8571428571428572,32.1169951404835,10.00429208095879,2.062791209345925,-2.1427971352744573,2.204857633452008,-2.0292716375408526,7.804827602368806,0.5178908605488518,1.6856161633204378,2.1229179499593664,46.14170945007629,5.112884175122364,4.5600977706223205,5.454524961622237,3.393846850117352,3.0746954706748872,3.5910932501692097,2.2918339472343705,3.0221306905745915,1.574695470674887,2.091093250169209,1.0810387176187242,1.4461870892888349,0.35,47.19725257297226,5.486054421768706,2.6068037577539527,1.7233730144501413,50.7131971096851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.628789148012991,0.0,19.26246486877803,12.841643245852019,5.249938029982174,0.0,0.0,12.628789148012991,0.0,0.0,0.0,37.35404614461223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.628789148012991,5.249938029982174,0.0,0.0,32.10410811463005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.249938029982174,32.10410811463005,0.0,0.0,12.628789148012991,0.0,0.0,4.361327160493827,0.0,0.730324074074074,0.0,0.0,0.0,6.9639043209876546,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.2489,35.858999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.285714285714285
SC1=CC=C(OC)C=C1,4.935216049382716,4.935216049382716,0.8683333333333336,0.8683333333333336,0.5867506504772881,9.11111111111111,140.207,132.14299999999997,140.029585876,48.0,0.0,0.11843738434955084,-0.49676718389690566,0.49676718389690566,0.11843738434955084,1.2222222222222223,1.7777777777777777,2.2222222222222223,32.11691039708174,10.335169538474249,1.8571798466857081,-1.9617978267240404,2.1229996346199083,-1.7913931692854534,7.798906404192084,0.41423662241009696,1.9003726279897948,2.8815558776461354,180.61256853719755,6.69023444431199,5.164862962722324,6.059290153722241,4.325698502695489,2.6573464384916923,3.1045600339916506,1.6980252953746091,2.214423074868931,1.0724230685098737,1.3705654655098458,0.5822209453229111,0.7312921438228972,-0.63,129.22533870330605,6.4894743130227,2.7809222043782174,1.6439747008166188,60.06495712680217,4.736862953800049,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.628789148012991,0.0,24.26546827384644,4.895483475517775,7.109797541277533,4.736862953800049,12.628789148012991,0.0,0.0,0.0,4.895483475517775,7.109797541277533,24.26546827384644,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,12.628789148012991,7.109797541277533,0.0,0.0,0.0,29.160951749364212,0.0,0.0,0.0,9.23,0.0,0.0,0.0,0.0,0.0,10.644995308801679,0.0,7.109797541277533,24.26546827384644,12.628789148012991,4.736862953800049,4.935216049382716,4.114943310657597,0.9544444444444447,0.0,0.0,0.8683333333333336,7.536265432098766,0.0,0.0,1.6463529856386998,0.14285714285714285,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.9838999999999998,40.246000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.11111111111111
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,12.367236088598546,12.367236088598546,0.4265385907449404,-4.365544750505293,0.7637445790164594,11.75,277.24499999999995,267.16499999999996,277.0714486,102.0,0.0,0.4159102287904099,-0.2667877874821755,0.4159102287904099,0.2667877874821755,0.95,1.55,2.1,19.413174486570494,10.132421418265562,2.29285256566659,-2.0511721229271056,2.2834598902559007,-2.040417167631272,6.010868056974468,-0.13713318853300782,2.4499812570495387,2.105562888941906,615.8169275170543,14.58757566981053,10.262857996887762,10.262857996887762,9.465345060828676,5.773602484406604,5.773602484406604,4.049144394910863,4.049144394910863,2.5896253523399664,2.5896253523399664,1.5465963192260201,1.5465963192260201,-2.429999999999999,31006.962789218964,13.989202951819792,5.690057101989066,3.536851605559146,113.13677446343341,0.0,0.0,0.0,0.0,5.907179729351506,6.176298517443475,4.794537184071822,4.992404732635669,13.171245143024459,0.0,30.33183534230805,29.828919765543436,11.778052071232313,5.563451491696996,17.96578232709628,12.121780308886823,0.0,0.0,4.992404732635669,6.176298517443475,0.0,71.28765809124549,0.0,0.0,0.0,13.171245143024459,0.0,0.0,12.121780308886823,6.176298517443475,0.0,21.48489165916281,59.589708348790154,0.0,0.0,0.0,29.43,17.646929738491977,17.96578232709628,0.0,0.0,11.126902983393991,12.13273413692322,18.347334716458537,30.33183534230805,0.0,4.992404732635669,0.0,37.10170826579564,0.0,15.377612276392039,0.0,0.12683213421579276,-0.4393537808641972,12.869889090037828,-3.1200213189104335,0.0,0.0,0.06666666666666667,20.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,3.9647000000000023,69.81050000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75
SC1=CC=CC=C1C,4.197808641975309,4.197808641975309,1.0625000000000002,1.0625000000000002,0.5038950570714313,9.25,124.20799999999997,116.14399999999998,124.034671256,42.0,0.0,0.00691708132854052,-0.143147085910658,0.143147085910658,0.00691708132854052,1.25,1.875,2.25,32.11691074526094,10.237180591816333,1.8444538541661732,-1.9200944488060823,2.0908998023122725,-1.6984435990595648,7.7994897406912385,1.312994836379072,1.7681772153059907,3.134861511345448,160.49662946459569,5.983127663125442,4.756614672258461,5.651041863258377,3.804530452640311,2.5509570669396053,2.998170662439563,1.78648662573128,2.2682923132284203,1.1154541553668325,1.617231596490378,0.5634205269554476,0.7240224227878277,-0.43000000000000005,72.49526582754562,5.702100396301189,2.225624453376048,1.0412082982396942,54.9514118972953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.628789148012991,18.19910120538483,18.553555759849232,4.895483475517775,0.0,0.0,12.628789148012991,0.0,0.0,0.0,11.819220675208399,0.0,29.828919765543436,0.0,0.0,0.0,0.0,0.0,12.628789148012991,0.0,0.0,6.923737199690624,5.563451491696996,29.160951749364212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.895483475517775,5.563451491696996,0.0,31.189205473537065,12.628789148012991,0.0,0.0,4.197808641975309,1.0625000000000002,0.0,1.2322530864197532,0.0,8.01901234567901,0.0,2.0439814814814814,0.0,0.14285714285714285,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.2837199999999998,38.43100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(OC)C=C2,11.718495212899974,11.718495212899974,0.244057355967078,-0.244057355967078,0.7722600864178636,10.5,239.274,226.16999999999996,239.094628656,90.0,0.0,0.27646687873716486,-0.49676780900679934,0.49676780900679934,0.27646687873716486,1.0555555555555556,1.7222222222222223,2.3333333333333335,16.465269281307854,10.182490009004802,2.0017620997983427,-1.9832339608349143,2.0968930836971986,-1.9479066598541646,6.010995454753713,0.1003211710332875,2.45954581445281,2.0835216937528966,544.4661016480987,12.794682450997078,10.037212868323945,10.037212868323945,8.792024997884274,5.569028210588558,5.569028210588558,3.7025365969008623,3.7025365969008623,2.467416874202781,2.467416874202781,1.4784048946200044,1.4784048946200044,-2.4199999999999995,17039.733402529066,12.047958110764633,5.773699586254048,3.0419431889532627,105.75371348416158,4.736862953800049,5.749511833283905,0.0,0.0,5.907179729351506,0.0,4.794537184071822,4.992404732635669,0.0,0.0,18.19910120538483,41.96165390246666,11.778052071232313,7.109797541277533,9.53140013787187,12.121780308886823,0.0,0.0,4.992404732635669,0.0,7.109797541277533,65.72420659954848,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,19.231577850164356,0.0,0.0,15.921440167465814,59.589708348790154,0.0,0.0,0.0,38.66,0.0,4.794537184071822,0.0,5.907179729351506,5.563451491696996,11.3129633249809,0.0,25.45713225773607,42.46456947923127,4.992404732635669,4.736862953800049,5.052650505041829,0.0,15.633916131267322,0.0,1.446613704123625,0.5351425556065712,16.33485354428987,1.5503703703703704,0.0,1.6131198559670783,0.06666666666666667,18.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.9545000000000012,71.36050000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5
O=C(C1=CC=CC=C1)/N=C/C2=CC=CC3=C2C=CC=C3,11.956158194759386,11.956158194759386,0.22357945956160208,-0.22357945956160208,0.6369937889283375,11.0,259.308,246.20399999999995,259.099714036,96.0,0.0,0.27646722234943066,-0.26678778452793117,0.27646722234943066,0.26678778452793117,0.8,1.5,2.35,16.147585120270275,10.056632084582693,2.0186905042224033,-2.005685456182434,2.165413377538017,-1.9516514773218194,6.060196068304883,0.10032219762937672,2.5311902774917656,1.9357578395301516,770.289918727339,13.7862462825598,10.86101538542896,10.86101538542896,9.84333659290053,6.456655774892763,6.456655774892763,4.4977525309141475,4.4977525309141475,3.1649905974103034,3.1649905974103034,2.146473869449841,2.146473869449841,-2.739999999999999,62996.26362621506,12.301818305334772,5.490857399407995,2.495910273862201,116.95689067199332,0.0,0.0,0.0,0.0,5.907179729351506,0.0,4.794537184071822,4.992404732635669,0.0,0.0,60.6636706846161,22.90518256585281,17.341503562929308,0.0,4.794537184071822,22.894228737816416,0.0,0.0,4.992404732635669,0.0,0.0,83.92330780493333,0.0,0.0,0.0,0.0,0.0,0.0,12.121780308886823,0.0,0.0,15.921440167465814,77.788809554175,0.0,10.772448428929591,0.0,29.43,0.0,4.794537184071822,0.0,5.907179729351506,5.563451491696996,16.335899920626588,0.0,18.347334716458537,60.6636706846161,4.992404732635669,0.0,0.0,0.0,16.007029320987655,2.239094230284707,1.552192407827329,-0.22357945956160208,23.122022759721172,1.636574074074074,0.0,0.0,0.0,20.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0991000000000035,82.31450000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
