,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,SPS
COc1ccc2ccccc2c1,5.122278911564626,5.122278911564626,0.9108333333333334,0.9108333333333334,0.6196937967945625,10.083333333333334,158.2,148.11999999999998,158.07316494,60.0,0.0,0.1189993754393192,-0.49674510426174684,0.49674510426174684,0.1189993754393192,0.9166666666666666,1.6666666666666667,2.4166666666666665,16.46526809105524,10.12059873226261,1.9271393613190662,-2.0042330484648705,2.191209272421058,-1.8084056430835735,5.831575495419077,0.41519569274534185,2.169703195779378,2.673996462761564,392.88117497912054,8.38890505706126,6.9497001747912455,6.9497001747912455,5.898178147766923,3.9277565765980063,3.9277565765980063,2.7130810882408976,2.7130810882408976,1.9566327045211458,1.9566327045211458,1.2943783472028125,1.2943783472028125,-1.5,887.4086070737657,7.165406427221172,2.856919875130073,1.1377156454491375,71.59155499513565,4.736862953800049,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,22.90518256585281,0.0,7.109797541277533,4.736862953800049,10.772448428929591,0.0,0.0,0.0,0.0,7.109797541277533,42.46456947923127,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,7.109797541277533,0.0,0.0,0.0,42.46456947923127,0.0,10.772448428929591,0.0,9.23,0.0,0.0,0.0,0.0,0.0,5.749511833283905,10.772448428929591,7.109797541277533,24.26546827384644,18.19910120538483,4.736862953800049,5.122278911564626,0.0,0.0,2.467731481481482,0.0,0.9108333333333334,14.31452664399093,0.0,0.0,1.6846296296296295,0.09090909090909091,12.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.8484000000000007,50.50000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.083333333333334
[Li]c1ccccc1,2.0833333333333335,2.0833333333333335,1.3217592592592595,1.3217592592592595,0.40091697178721314,8.857142857142858,84.047,79.00699999999999,84.05512970999999,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5714285714285714,1.8571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6856161633204378,3.0214653097240864,134.10736969541455,5.112884175122364,4.386751345948129,4.386751345948129,3.393846850117352,2.4106836025229597,2.4106836025229597,1.654700538379252,1.654700538379252,0.9404557350153064,0.9404557350153064,0.5343778974176118,0.5343778974176118,-0.18259740259740265,47.19725257297226,4.96408602788989,2.2091746335873927,1.387203233009914,52.753566243214486,0.0,0.0,0.0,0.0,0.0,52.28340321982939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.951567877521338,0.0,0.0,0.0,0.0,0.0,30.33183534230805,0.0,0.0,4.236494591099452,0.0,0.0,0.0,17.715073286421887,0.0,0.0,0.0,30.33183534230805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.236494591099452,0.0,18.19910120538483,29.847807423345106,0.0,1.3217592592592595,2.0833333333333335,0.0,0.0,0.0,0.0,10.261574074074074,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.48040000000000005,31.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.857142857142858
C1CC=CCCC=C1->[Ni]<-C2=CCCC=CCC2,2.561454081632653,2.561454081632653,0.8028760393046105,0.8028760393046105,0.41300806069465607,24.235294117647058,275.0610000000001,250.86899999999994,274.123143668,98.0,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,1.0588235294117647,1.588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.242740178134288,1.8939262411812687,7847.995149767506,11.76130225617747,10.591884169026228,11.57949688404992,8.449489742783179,6.964468028714349,8.104864962462399,4.769445815686629,6.563440935807915,3.26909937339173,5.150560348820856,2.2888108057989642,4.088348656172077,-0.2864935064935066,8780.327797395737,13.152391003355797,7.928631439110462,5.255070993045075,111.37723233887758,0.0,0.0,0.0,0.0,0.0,111.34749792858254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.438627998679952,0.0,0.0,0.0,0.0,51.36657298340809,0.0,45.54229694649451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.438627998679952,0.0,51.36657298340809,45.54229694649451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.086176305491222,51.36657298340809,0.0,14.438627998679952,36.45612064100329,0.0,1.605752078609221,2.0069444444444446,0.0,0.0,0.0,0.0,0.0,24.803970143612997,0.0,0.0,0.625,17.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.343100000000005,73.49600000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.235294117647058
c1ccccc1C,2.0833333333333335,2.0833333333333335,1.3217592592592595,1.3217592592592595,0.45880627965754545,8.714285714285714,92.14099999999999,84.07699999999998,92.062600256,36.0,0.0,-0.039774526323627504,-0.06224908578199481,0.06224908578199481,0.039774526323627504,1.0,1.5714285714285714,1.8571428571428572,13.78210528125944,10.244626217421894,1.7152546995077484,-1.8223238719751813,1.9162789955763992,-1.6221555927559248,5.1118272085227625,1.4757566423724426,1.6856161633204378,3.0214653097240864,129.96566024533826,5.112884175122364,4.386751345948129,4.386751345948129,3.393846850117352,2.4106836025229597,2.4106836025229597,1.654700538379252,1.654700538379252,0.9404557350153064,0.9404557350153064,0.5343778974176118,0.5343778974176118,-0.78,47.19725257297226,4.380771704180065,1.7832860398554335,1.0382641324115067,43.79634523389357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.89528683400505,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,35.89528683400505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,5.563451491696996,30.33183534230805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.563451491696996,0.0,18.19910120538483,19.056471336613846,0.0,0.0,0.0,0.0,0.0,1.3217592592592595,0.0,10.261574074074074,0.0,2.0833333333333335,0.0,0.14285714285714285,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.99502,31.178999999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.714285714285714
C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,1.6098251028806585,1.6098251028806585,0.3848456790123461,0.3848456790123461,0.5198459619282152,28.894736842105264,280.436,247.17199999999994,280.231987686,110.0,0.0,-0.020420965453642675,-0.09714887789369121,0.09714887789369121,0.020420965453642675,0.3684210526315789,0.631578947368421,0.8947368421052632,31.13181913429713,9.986486359137656,2.3588124676870867,-2.440536717324336,2.611323413072964,-2.2751019582916987,7.594994237088022,0.45985972843068124,2.5083432320697017,1.6836878326608633,201.6219103268226,12.91600279455672,12.785866120867052,13.680293311866969,9.449489742783179,9.224086412024661,10.773279750507628,7.3227154372030725,10.408032858223649,5.988997476092014,10.068012942709682,5.031970534856008,9.705124413865997,0.43,44146.84088442675,14.37073989716598,7.441637218205251,3.7487123727032365,121.42545889285746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.70898269867762,55.50191308966599,0.0,0.0,0.0,7.9215880923435105,0.0,0.0,0.0,113.2893076960001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9215880923435105,16.97698335210992,0.0,0.0,96.31232434389018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9215880923435105,0.0,36.23944822088795,77.04985947511214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.569305555555555,0.0,0.0,23.619922839506177,0.0,0.3848456790123461,1.0,19.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,6.466400000000006,87.53900000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.894736842105264
C1CCC(P(CCP(C2CCCCC2)C2CCCCC2)C2CCCCC2)CC1,1.7116769547325104,1.7116769547325104,0.34463640085663927,0.34463640085663927,0.3585366651667081,27.642857142857142,422.6180000000004,374.23400000000015,422.323124796,162.0,0.0,-0.02065786151651251,-0.09998916792389434,0.09998916792389434,0.02065786151651251,0.32142857142857145,0.5357142857142857,0.75,31.135743286028653,9.994526611931919,2.345805082195053,-2.4231027032523467,2.6080664687481177,-2.2572180903961208,7.628231787808773,0.4818147277135727,2.7911397787458854,1.4133715367774096,336.1487527369335,19.0204508012418,18.760177453862465,20.54903183586229,13.915816237971965,13.431237414733225,16.761739596777865,10.642988524777634,16.515480969818817,8.791249263894088,16.441775144260433,7.208258052831078,15.82269855027897,0.86,4948132.599760706,22.068204917228503,12.0391660407456,6.191991496706747,178.83885003537435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.89303565979917,86.32637084115716,0.0,0.0,0.0,15.843176184687021,0.0,0.0,0.0,151.05241026133345,12.323820054935842,0.0,0.0,0.0,0.0,0.0,0.0,15.843176184687021,34.95979785774907,0.0,0.0,128.41643245852023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.843176184687021,0.0,22.635977802813226,140.74025251345608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.727450659276055,0.0,0.0,35.06475802049215,0.0,0.6892728017132788,1.0,28.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.0,0.0,4.0,4.0,9.280999999999999,131.0660000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.642857142857142
CC(C)(C)N1[C]N(C(C)(C)C)C=C1,3.326388888888889,3.326388888888889,0.1215277777777779,0.1215277777777779,0.5652409011032036,18.615384615384617,180.29500000000002,160.135,180.16264864,74.0,2.0,0.20831440827228587,-0.34136757340758206,0.34136757340758206,0.20831440827228587,0.7692307692307693,1.0769230769230769,1.2307692307692308,15.384575420553926,10.071418296012226,2.2979006344843054,-2.3561895499448013,2.271007279245818,-2.4041969857311174,5.051692836667325,0.1657173329975229,2.277349325911618,2.625048218432874,183.11061855678557,10.276020881938896,9.549127729379169,9.549127729379169,5.710343431045078,4.744158303827572,4.744158303827572,5.4797877607441485,5.4797877607441485,2.0256961799959843,2.0256961799959843,1.0632819557522541,1.0632819557522541,-0.66,569.3373314779045,10.421037277147487,2.9305709139321796,2.391139478424309,82.21290532648888,9.799819461700956,0.0,0.0,6.6686911888991425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.54242319814374,23.477760284407587,0.0,0.0,0.0,0.0,9.799819461700956,0.0,52.620273702910424,0.0,19.06860096854004,0.0,0.0,0.0,0.0,0.0,0.0,20.877669966467646,0.0,6.6686911888991425,41.54242319814374,12.399909779640897,0.0,0.0,0.0,6.48,0.0,0.0,0.0,11.07785050476669,0.0,0.0,0.0,0.0,0.0,70.41084362838473,0.0,0.0,0.0,4.21875,0.0,0.2430555555555558,0.0,0.0,4.149305555555555,16.38888888888889,0.0,0.7272727272727273,13.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.668490000000001,55.56700000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.615384615384617
[C]1N(C2CCCCC2)C=CN1C1CCCCC1,3.5859259259259257,3.5859259259259257,0.7301764455782311,0.7301764455782311,0.715394367463573,28.0,232.37099999999995,208.17899999999995,232.19394876799998,94.0,2.0,0.20792650891495154,-0.3432383648511013,0.3432383648511013,0.20792650891495154,0.6470588235294118,1.0588235294117647,1.4705882352941178,15.362129418725846,9.939173344658272,2.281971780117463,-2.3407032970773693,2.305909527100189,-2.354476991335377,5.026744249828739,0.18402183417187867,2.9040282290086963,1.5225030991072246,236.0953850023538,11.501789232183624,10.774896079623897,10.774896079623897,8.432652990377571,7.446335649677388,7.446335649677388,5.796350467963008,5.796350467963008,4.554986900382946,4.554986900382946,3.4687969885088186,3.4687969885088186,-0.66,20119.107570572247,11.431523375855791,5.324545155625353,2.610099044284042,105.66101147701688,9.799819461700956,0.0,0.0,6.6686911888991425,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,25.683286491704038,24.48359143793682,0.0,0.0,0.0,0.0,9.799819461700956,0.0,76.29189788755603,0.0,19.06860096854004,0.0,0.0,0.0,0.0,0.0,0.0,21.88350111999688,0.0,6.6686911888991425,64.20821622926012,12.399909779640897,0.0,0.0,0.0,6.48,0.0,0.0,0.0,0.0,0.0,12.083681658295921,64.20821622926012,0.0,0.0,28.86842043024099,0.0,0.0,0.0,4.709852607709751,0.0,0.0,0.0,1.4603528911564625,18.41053524187453,3.5859259259259257,0.0,0.8,17.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,3.0,3.7368900000000034,69.80700000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
CC(C)c1cccc(C(C)C)c1N1[C]N(c2c(C(C)C)cccc2C(C)C)C=C1,3.6601851851851848,3.6601851851851848,0.46030118837658496,0.46030118837658496,0.4947624343068447,14.344827586206897,388.59900000000005,352.31100000000015,388.287849152,154.0,2.0,0.21731097720259207,-0.31450606773329925,0.31450606773329925,0.21731097720259207,0.5172413793103449,0.7931034482758621,1.0344827586206897,15.345896214051733,9.914965006586753,2.2721978667716227,-2.2920977730541616,2.4150726915423517,-2.2263099056764406,5.724321549153963,0.8187520098286085,3.1546233179204433,2.0479890462071078,750.1016896860631,21.292164260954436,19.32263042127543,19.32263042127543,13.718121810561245,11.005694867436418,11.005694867436418,9.327096774433576,9.327096774433576,5.747000417651074,5.747000417651074,4.144997808419885,4.144997808419885,-2.2199999999999993,3023053.4431999354,21.48794182316208,8.649757990750814,4.219368439892884,177.78686219620334,9.799819461700956,0.0,0.0,6.6686911888991425,0.0,0.0,0.0,0.0,0.0,0.0,91.78810000829465,45.92543015143355,12.399909779640897,11.374772549367124,0.0,11.374772549367124,0.0,0.0,0.0,79.06152178217054,9.799819461700956,77.72060934609767,0.0,0.0,9.799819461700956,11.374772549367124,0.0,0.0,0.0,0.0,6.6686911888991425,101.31532774895852,48.798112190410556,0.0,0.0,0.0,6.48,0.0,0.0,0.0,0.0,23.671624184645573,0.0,33.62857851615511,0.0,0.0,120.65652043853565,0.0,0.0,0.0,4.400555555555555,0.0,8.050426954732512,1.8412047535063403,13.404746892584193,4.322037037037037,21.814362139917698,0.0,0.4444444444444444,29.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,3.0,7.974290000000008,126.58100000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.344827586206897
Cc1cc(C)c(N2[C]N(c3c(C)cc(C)cc3C)C=C2)c(C)c1,3.4813340891912326,3.4813340891912326,1.2192294448643657,1.2192294448643657,0.7394803708052629,14.0,304.43700000000007,280.245,304.193948768,118.0,2.0,0.21730965189196402,-0.3145483807234576,0.3145483807234576,0.21730965189196402,0.5652173913043478,0.8695652173913043,1.173913043478261,15.344550629936993,10.039242239890772,2.2243680425057772,-2.246222820380314,2.347145448130433,-2.2054229673059953,5.709360604539222,1.0710729805047756,2.8482971358596982,1.9293991560370742,674.9139584033242,16.72325016020209,14.858528806137674,14.858528806137674,10.863081100704115,8.053559380586076,8.053559380586076,6.632795518215322,6.632795518215322,4.332881431151035,4.332881431151035,3.6699201068398932,3.6699201068398932,-2.219999999999999,159242.596271644,15.667174415584117,5.767110965467322,2.8573889807584503,139.59720950982373,9.799819461700956,0.0,0.0,6.6686911888991425,0.0,0.0,0.0,0.0,0.0,0.0,35.392371257240434,63.79622916493172,23.774682329008023,0.0,0.0,11.374772549367124,0.0,0.0,0.0,41.54242319814374,9.799819461700956,76.71477819256846,0.0,0.0,9.799819461700956,11.374772549367124,0.0,0.0,0.0,0.0,48.21111438704288,33.380708950181976,36.66537805348734,0.0,0.0,0.0,6.48,0.0,0.0,0.0,0.0,0.0,0.0,44.7554814995491,0.0,0.0,94.67631190223118,0.0,0.0,0.0,4.200086923658352,0.0,10.145322079449064,0.0,8.900359032501889,4.173420256991686,16.414145040732343,0.0,0.2857142857142857,23.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,5.331210000000005,98.64700000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
