,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,SPS
O=[N+]([O-])c1ccc(I)cc1,10.115332577475435,10.115332577475435,0.13927407407407455,-0.40666666666666673,0.43464698270655394,9.3,249.007,244.97499999999997,248.928676368,52.0,0.0,0.2689965872842943,-0.2583096303087625,0.2689965872842943,0.2583096303087625,1.3,1.8,2.2,126.91270429168412,10.319692669314406,2.0063071749601016,-1.884795969609029,2.1199392906548375,-1.8560645706166572,14.111915650537387,-0.3844485059458109,1.8845053612018057,3.003400684579818,244.4296583765568,7.560477932315068,4.951075726195415,7.108574017371737,4.698377302757663,2.599104610970622,3.6778537565587834,1.7335265650682026,2.9791587842550094,1.0374447129740378,1.7566108100328126,0.5628070028158878,0.922390051345275,-0.6500000000000001,180.91251467537336,7.456951871657753,2.9575169237325643,1.6629234524260401,71.34621696304042,0.0,0.0,0.0,0.0,5.687386274683562,0.0,10.114318268765572,0.0,0.0,0.0,0.0,34.723604763991275,15.702916407988617,4.923311048817671,4.923311048817671,28.278256901751618,0.0,0.0,0.0,0.0,0.0,37.94996881367741,0.0,0.0,0.0,5.687386274683562,0.0,22.590870627068057,4.923311048817671,0.0,13.68450053983097,0.0,24.26546827384644,0.0,0.0,0.0,43.14,4.923311048817671,10.114318268765572,0.0,5.687386274683562,0.0,3.5701822710653963,12.13273413692322,12.13273413692322,0.0,22.590870627068057,0.0,1.0029629629629633,2.097282993197279,9.708665910808769,10.115332577475435,0.13927407407407455,0.0,6.389814814814814,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,2.1994,45.813400000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3
O=Cc1ccc([N+](=O)[O-])cc1,10.117781557067271,10.117781557067271,0.004074074074073675,-0.5053741496598638,0.36439360856037717,9.090909090909092,151.121,146.081,151.02694302,56.0,0.0,0.26896874002293986,-0.29789634093335254,0.29789634093335254,0.26896874002293986,1.2727272727272727,1.8181818181818181,2.1818181818181817,16.62821332916704,10.206479347332763,2.01559225063275,-1.8902113863947398,2.0946218467047837,-1.8706269873450596,5.745643105615278,-0.38443976828701987,2.0456060352867365,3.000886645997868,278.2420897763861,8.267584713501616,5.558709812839677,5.558709812839677,5.236382105218448,2.9344997694563375,2.9344997694563375,1.9664931383633013,1.9664931383633013,1.239989408522125,1.239989408522125,0.6746053889777929,0.6746053889777929,-1.71,335.4793897870248,7.397642626480085,2.916794426263587,1.6061694598688268,62.61084305643714,0.0,6.286160523129555,0.0,0.0,5.687386274683562,0.0,14.908855452837393,0.0,0.0,0.0,0.0,12.13273413692322,17.696185628620217,4.923311048817671,9.717848232889493,11.973546797813118,0.0,0.0,0.0,0.0,0.0,39.94323803430901,0.0,0.0,0.0,5.687386274683562,0.0,0.0,11.209471571947226,0.0,10.114318268765572,10.357988675768818,24.26546827384644,0.0,0.0,0.0,60.209999999999994,4.923311048817671,14.908855452837393,0.0,5.687386274683562,11.849612014826551,0.0,24.26546827384644,0.0,0.0,0.0,0.0,0.0,0.0,19.730188964474678,10.117781557067271,0.43629629629629707,0.0,5.406481481481482,0.6425850340136057,0.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,1.4073,38.48390000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092
C[C]1O[Pd]2(O1)O[C](C)O2,5.012083333333333,5.012083333333333,0.5412037037037039,-2.594675925925926,0.573414760396785,37.55555555555556,224.50799999999998,218.45999999999998,223.93009467200002,56.0,2.0,0.0,0.0,0.0,0.0,0.8888888888888888,1.2222222222222223,1.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.577978423598331,1.8742608127396965,107.01955000865388,6.483127663125442,4.9492209278722905,6.503821855242423,4.201907262607799,2.3328943604220487,4.87154704423162,1.557589903358392,4.38151717263331,0.6798359111029451,4.021963489501243,0.5077033179381711,3.0036133350666105,0.5023376623376621,75.74296433271988,6.227807806059896,1.7572786144752852,0.8552057686538287,57.81700411709416,0.0,0.0,0.0,0.0,0.0,57.29735604710957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.869828189057902,0.0,0.0,0.0,0.0,13.847474399381248,0.0,12.580053458670426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.869828189057902,12.580053458670426,13.847474399381248,0.0,0.0,0.0,0.0,36.92,17.027870824992394,0.0,0.0,0.0,12.580053458670426,0.0,0.0,13.847474399381248,0.0,0.0,13.841957364065506,20.048333333333332,-2.594675925925926,0.0,0.0,0.0,0.0,0.0,1.0824074074074077,3.4472685185185186,0.0,0.5,9.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,0.9126799999999999,22.173999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.55555555555556
O=C(O[Na])O[Na],9.805555555555555,9.805555555555555,0.4301697530864199,-0.5339506172839503,0.3830786321100107,7.333333333333333,105.98799999999999,105.98799999999999,105.96428242,24.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6500224216483543,2.98816088213427,46.75488750216347,4.99156383156272,3.7247448713915894,7.724744871391589,2.808060412490447,1.4288690166235207,3.061862178478973,0.6582482904638631,1.4747448713915892,0.3333333333333334,1.0000000000000002,0.08333333333333336,0.7500000000000002,1.27,19.800269059780252,7.27,4.429489633173843,3.4597533206831117,71.65256442222844,0.0,0.0,0.0,0.0,0.0,72.61405421304705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.643159154930673,62.970895058116376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,62.970895058116376,4.848621970858852,0.0,0.0,0.0,0.0,0.0,0.0,35.53,6.155365629538759,4.794537184071822,0.0,0.0,56.81552942857762,0.0,0.0,0.0,0.0,4.848621970858852,0.0,8.42361111111111,0.8603395061728398,9.805555555555555,0.0,0.0,0.0,0.0,-0.5339506172839503,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.6934,19.073999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333
CC[SiH](CC)CC,2.3233024691358026,2.3233024691358026,0.1712962962962966,-0.1712962962962966,0.49619821423410987,10.285714285714286,116.28,100.15199999999999,116.102127042,44.0,0.0,0.035921671871821804,-0.06802279431152394,0.06802279431152394,0.035921671871821804,0.8571428571428571,1.1428571428571428,1.1428571428571428,28.27124827905561,10.919989076738226,1.9773267400436474,-2.026272259501018,2.0108916108050745,-2.0438828911780855,6.579109256104845,1.2387444481244334,1.719973094021975,2.9923028831940863,25.651484454403228,5.698670612749268,5.698670612749268,6.8533711511285205,3.3460652149512318,3.3460652149512318,5.79555495773441,2.0907702751760278,6.2723108255280815,1.7320508075688772,5.196152422706631,0.8660254037844386,2.5980762113533156,0.2168831168831169,34.3994618804395,7.216883116883116,4.377735425218191,2.860292350223413,48.54162346399289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.90349892982128,0.0,8.796736650091386,0.0,0.0,8.796736650091386,0.0,0.0,0.0,38.90349892982128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.796736650091386,0.0,0.0,20.771211599071872,0.0,18.132287330749417,0.0,0.0,0.0,0.0,0.0,0.0,8.796736650091386,0.0,0.0,18.132287330749417,0.0,0.0,20.771211599071872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.479166666666667,0.0,6.969907407407408,-0.1712962962962966,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.2732,38.592000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.285714285714286
[C]=O,7.5,7.5,4.5,4.5,0.3529979851621338,2.0,28.009999999999998,28.009999999999998,27.99491462,10.0,2.0,0.28080525662474853,-0.28080525662474853,0.28080525662474853,0.28080525662474853,1.5,1.5,1.5,16.12066443463986,11.889335565360136,0.7608229703078706,-0.7608229703078706,0.5130398133756554,-0.9101398133756554,5.119783229519533,0.5737167704804665,1.0,2.0,2.0,2.0,0.9082482904638631,0.9082482904638631,1.0,0.20412414523193154,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,2.0,1.6699999999999997,0.6700000000000002,-5.360303030303031,12.900773127873316,0.0,0.0,0.0,0.0,6.78907609989417,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,6.78907609989417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78907609989417,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,17.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78907609989417,4.794537184071822,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3971,5.693499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
O=C(O)O[Na],9.180555555555555,9.180555555555555,0.2739197530864199,-1.1836419753086418,0.41196195673927816,6.8,84.006,82.998,83.982338172,24.0,0.0,0.0,0.0,0.0,0.0,2.0,2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3787834934861756,2.8473789230876716,42.1577218810798,4.284457050376173,2.763710176427684,4.763710176427685,2.270055610029662,1.0401033786777052,1.8565999596054312,0.4700316644003203,0.8782799548641833,0.17462042625086105,0.5238612787525831,0.0,0.0,0.27,9.65148445440323,5.27,2.504192037470726,4.269999999999998,47.07090252724688,0.0,0.0,0.0,0.0,0.0,46.88850590816952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.325375564341954,34.56313034382757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,39.66965773866828,2.424310985429426,0.0,0.0,0.0,0.0,0.0,0.0,46.53,6.155365629538759,4.794537184071822,0.0,28.40776471428881,0.0,0.0,0.0,0.0,0.0,2.424310985429426,5.106527394840706,3.8055555555555554,0.2739197530864199,9.180555555555555,7.534722222222222,0.0,0.0,0.0,-1.1836419753086418,0.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.2355000000000001,14.8638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8
COC(=O)O[Na],9.770833333333334,9.770833333333334,0.40794753086419755,-0.595679012345679,0.31201957456974566,7.166666666666667,98.033,95.009,97.99798823600001,30.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,2.3333333333333335,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6500224216483543,2.9881608821342693,46.75488750216347,4.99156383156272,3.7247448713915894,5.724744871391589,2.808060412490447,1.4288690166235207,2.2453655975512468,0.6582482904638631,1.066496580927726,0.3333333333333334,0.6666666666666667,0.08333333333333336,0.25000000000000006,0.27,19.800269059780252,6.27,3.4597533206831117,2.504192037470726,53.75515611895435,0.0,0.0,0.0,0.0,0.0,53.628639008406395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.955711123301295,34.56313034382757,0.0,0.0,0.0,0.0,7.109797541277533,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,41.6729278851051,7.161173939229474,0.0,0.0,0.0,0.0,0.0,0.0,35.53,6.155365629538759,4.794537184071822,0.0,0.0,28.40776471428881,0.0,7.109797541277533,0.0,0.0,7.161173939229474,0.0,8.25,0.40794753086419755,9.770833333333334,0.0,0.0,0.0,0.0,-0.595679012345679,0.0,1.2780092592592593,0.5,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.1471,19.243999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.166666666666667
O=C(O[K])O[K],9.82986111111111,9.82986111111111,0.14120370370370372,-0.4907407407407407,0.41545798373503784,7.333333333333333,138.204,138.204,137.91215722,24.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6500224216483543,2.98816088213427,46.75488750216347,4.99156383156272,3.7247448713915894,9.97095612262691,2.808060412490447,1.4288690166235207,3.978874081816488,0.6582482904638631,1.9332508230603467,0.3333333333333334,1.374368541872554,0.08333333333333336,1.4166666666666672,2.5427272727272725,19.800269059780252,8.542727272727273,5.675305312982787,4.695568734447434,106.10759229298543,0.0,0.0,0.0,0.0,0.0,109.70524968586018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.271399114307035,105.43385057155314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,105.43385057155314,-0.5231380697647873,0.0,0.0,0.0,0.0,0.0,0.0,35.53,6.155365629538759,4.794537184071822,0.0,99.27848494201439,0.0,0.0,0.0,0.0,0.0,-0.5231380697647873,0.0,8.54513888888889,0.28240740740740744,9.82986111111111,0.0,0.0,0.0,0.0,-0.4907407407407407,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.6934,19.073999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333
[Li]OC(=O)O[Li],9.73611111111111,9.73611111111111,0.6574074074074077,-0.6574074074074077,0.3563933198630771,7.333333333333333,73.89,73.89,74.01675296,24.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6500224216483543,2.9881608821342693,46.75488750216347,4.99156383156272,3.7247448713915894,3.7247448713915894,2.808060412490447,1.4288690166235207,1.4288690166235207,0.6582482904638631,0.6582482904638631,0.3333333333333334,0.3333333333333334,0.08333333333333336,0.08333333333333336,0.4648051948051947,19.800269059780252,6.464805194805195,3.6477943342809422,2.688779132383367,54.544757733322314,0.0,0.0,0.0,0.0,0.0,54.34455007503337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.053240037513193,42.29131003752017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,42.29131003752017,7.258702853441371,0.0,0.0,0.0,0.0,0.0,0.0,35.53,6.155365629538759,4.794537184071822,0.0,0.0,0.0,0.0,36.13594440798141,0.0,0.0,7.258702853441371,0.0,8.07638888888889,2.511574074074074,9.73611111111111,0.0,0.0,0.0,0.0,-0.6574074074074077,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.6934,19.073999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333
