,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,SPS
C1=CC2=C(C=CC(=C2)Cl)N=C1,5.790892542202065,5.790892542202065,0.7550925925925929,0.7550925925925929,0.5821504570721324,10.272727272727273,163.60699999999997,157.559,163.018876872,54.0,0.0,0.07024866002218183,-0.25626493479636253,0.25626493479636253,0.07024866002218183,1.1818181818181819,2.090909090909091,3.0,35.49569086952945,10.205347852294297,1.9167267835313524,-1.9419156301672231,2.157021658902229,-1.7473619943281278,6.307914854762551,1.4133846916276196,2.0412258289597847,2.8289012156206956,383.97444633457127,7.68179827587471,5.7892796836469405,6.545208629665395,5.360173345306137,3.3641635969758186,3.742128069985046,2.340425069610964,2.776860850082948,1.565048064613456,1.8001451674011946,1.0464735026378287,1.2270161328665692,-1.08,487.8529731213885,6.619056743012787,2.5134923703900696,1.1932591662234218,69.63598185906035,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,17.667306958694127,24.26546827384644,16.6057010998192,5.516700717616262,0.0,22.503864822313574,0.0,4.9839785209472085,0.0,0.0,0.0,41.55131222766245,0.0,0.0,0.0,0.0,0.0,11.600939890232516,4.9839785209472085,0.0,0.0,0.0,36.52867891392113,5.022633313741326,10.902924932081056,0.0,12.89,0.0,0.0,0.0,0.0,0.0,15.925558245822383,0.0,6.196843571613076,30.33183534230805,4.9839785209472085,11.600939890232516,0.0,5.790892542202065,4.163672839506173,1.8384259259259264,0.983240740740741,0.0,9.560833333333333,1.7740457294028722,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.888200000000001,46.753000000000014,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.272727272727273
CC1=CC=C2C(C=NN2C2CCCCO2)=C1B(O)O,9.50942791005291,9.50942791005291,0.04385015117158009,-1.4781257348618462,0.7807391464482462,19.842105263157894,260.102,242.96599999999998,260.133222804,100.0,0.0,0.48894995299149824,-0.4231559216827753,0.48894995299149824,0.4231559216827753,1.368421052631579,2.210526315789474,2.8947368421052633,16.50222170695012,9.751332352025996,2.22865567876131,-2.2318277347259783,2.25489469666063,-2.323254264147615,6.620663021264227,-0.03663080456791887,2.8229379521217206,2.104262958713862,590.831008924747,13.405412915006313,10.912281143158017,10.912281143158017,9.181540550352057,6.6270619139054014,6.6270619139054014,5.012967491989881,5.012967491989881,3.726853771419306,3.726853771419306,2.740298272088002,2.740298272088002,-1.3650649350649353,35738.394473860986,12.657768426662567,4.959305570806078,2.1577621433335086,111.4987393914359,14.784908103932054,0.0,6.22790117073487,0.0,0.0,7.118392334224363,0.0,4.681802935145185,5.098681808301038,0.0,11.629818560158606,37.71537239734509,11.993106178977714,11.713544289229338,14.784908103932054,23.484120526720254,0.0,9.780484743446223,0.0,32.41410323920353,6.606881964512918,23.893029200233293,0.0,0.0,5.462803260414833,0.0,0.0,0.0,33.55380419231551,4.736862953800049,6.923737199690624,31.053817531209894,18.3295777085363,0.0,10.902924932081056,0.0,67.51,7.118392334224363,10.048045150132006,0.0,6.22790117073487,5.462803260414833,42.335723257069,0.0,6.196843571613076,23.73827427175903,5.098681808301038,4.736862953800049,7.583519227135299,0.0,0.0,24.17309051398337,2.2701592288149834,0.0,3.846850670823885,4.816782328672209,2.621057098765432,-1.4781257348618462,0.46153846153846156,19.0,2.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,6.0,2.0,0.0,1.0,1.0,3.0,0.7236199999999995,73.13560000000001,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.842105263157894
CC(=O)[O-].CC(=O)[O-].[Pd+2],8.88888888888889,8.88888888888889,0.0,-1.0833333333333333,0.4265196707275063,5.555555555555555,224.50799999999998,218.45999999999998,223.930094672,56.0,0.0,2.0,-0.5504770280073037,2.0,0.5504770280073037,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2475562489182657,-7.199999951999999e-08,70.56842503028855,7.154700538379252,4.9492209278722905,6.503821855242423,3.4641016151377544,1.8164965809277263,1.8164965809277263,0.9831632475943929,0.9831632475943929,0.0,0.0,0.0,0.0,-0.39766233766233783,19.96089998269225,15.840622124271933,10.558544545360059,1508.8872703041336,66.53068651409967,19.802129157825057,0.0,0.0,0.0,0.0,20.422824311005073,0.0,0.0,0.0,0.0,0.0,13.847474399381248,11.938610575903699,0.0,40.22495346883013,11.938610575903699,0.0,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,10.213054789681411,0.0,0.0,0.0,11.938610575903699,30.011898679148715,0.0,13.847474399381248,0.0,0.0,0.0,0.0,80.25999999999999,11.938610575903699,0.0,0.0,20.422824311005073,0.0,13.847474399381248,0.0,0.0,0.0,0.0,19.802129157825057,0.0,0.0,17.77777777777778,17.77777777777778,0.0,-2.1666666666666665,0.0,0.0,1.9444444444444442,0.0,0.5,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-2.490099999999999,21.36199999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555
CC(C)(C)P(C(C)(C)C)C(C)(C)C,2.384130658436214,2.384130658436214,0.016203703703703942,0.016203703703703942,0.4918094701183373,15.23076923076923,202.32199999999997,175.10599999999997,202.185037494,80.0,0.0,-0.01699052672864188,-0.0900957219687727,0.0900957219687727,0.01699052672864188,0.46153846153846156,0.6153846153846154,0.6153846153846154,31.132264098075545,10.206875585334826,2.4116235111542066,-2.4927028395173787,2.664026500946434,-2.343726208214898,7.619079146410885,0.6436062009609241,1.4420257750904921,5.022717526222755,127.74996055576318,11.077350269189626,10.947213595499958,11.841640786499873,5.366025403784438,5.170820393249937,6.512461179749811,6.847871376374781,11.543614129124336,2.0124611797498115,6.03738353924943,3.0186917696247177,9.056075308874146,0.43,161.50688681013511,13.43,3.5360569208280808,3.980971560499775,86.25329966706546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.23522288955911,15.468236621816073,0.0,0.0,0.0,7.9215880923435105,0.0,0.0,0.0,77.78187141903167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9215880923435105,15.468236621816073,0.0,0.0,62.3136347972156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9215880923435105,15.468236621816073,0.0,0.0,0.0,0.0,62.3136347972156,0.0,0.0,0.0,0.0,1.3506944444444442,0.0,0.0,0.0,0.0,21.45717592592592,0.016203703703703942,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.863800000000005,66.17900000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.23076923076923
[OH-].[Na+],0.0,0.0,0.0,0.0,0.2620380630766484,0.0,39.997,38.989,39.99250893199999,8.0,0.0,1.0,-0.8696814924318097,1.0,0.8696814924318097,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.4472135954999579,3.447213595499958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,12.338472222222222,1.96,0.0016666666666666696,35.262630811030036,5.476191835881363,0.0,0.0,0.0,0.0,29.557286032607934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0334778684893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.557286032607934,0.0,0.0,0.0,5.476191835881363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,35.0334778684893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-3.1728,1.9358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#N,7.319444444444445,7.319444444444445,1.4305555555555556,1.4305555555555556,0.3869805798690774,2.6666666666666665,41.053,38.028999999999996,41.026549096,16.0,0.0,0.05871482377124906,-0.1986584259265234,0.1986584259265234,0.05871482377124906,2.0,2.0,2.0,14.199772541067192,10.95508811650909,1.1727325265919901,-1.1465232203603164,1.2146152150896594,-1.100101722274293,4.507020971444977,1.4896531954173182,0.9182958340544894,2.475534205527556,24.264662506490403,2.7071067811865475,1.9472135954999579,1.9472135954999579,1.4142135623730951,0.7236067977499789,0.7236067977499789,0.22360679774997896,0.22360679774997896,0.0,0.0,0.0,0.0,-0.51,2.7548875021634682,2.490000000000001,1.4900000000000018,1.489999999999999,19.496772823694872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,0.0,0.0,6.923737199690624,6.069221312792274,0.0,0.0,5.261891554738487,0.0,0.0,6.923737199690624,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,0.0,0.0,0.0,11.33111286753076,6.923737199690624,0.0,0.0,0.0,0.0,23.79,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.069221312792274,0.0,0.0,5.261891554738487,0.0,0.0,0.0,7.319444444444445,0.0,0.0,1.75,0.0,1.4305555555555556,0.0,0.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.52988,11.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665
C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,2.227880658436214,2.227880658436214,0.44598765432098775,-0.44598765432098775,0.6342115735160806,10.578947368421053,262.29200000000003,247.17199999999994,262.09113711000003,92.0,0.0,-0.013435687534984822,-0.06222246775052784,0.06222246775052784,0.013435687534984822,0.3684210526315789,0.631578947368421,0.8947368421052632,31.1315238246151,10.352576359656014,2.144087160482214,-2.1848276001095908,2.315600724394403,-2.1961670231423094,7.7937452393436,1.7357095092860866,2.5083432320697017,2.1210106325672244,523.7138976114098,12.916002794556722,10.60746763334435,11.501894824344264,9.449489742783179,6.402871200818814,7.744511987318687,4.34205767343533,6.5620714051682345,3.04317746978736,5.486797999270248,2.1784095038102875,4.483661665304442,-1.9099999999999993,44146.84088442675,12.140659924413075,5.820136911661661,2.748679021701652,115.0452769124983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.99550602692418,23.835207781060234,0.0,0.0,0.0,23.835207781060234,0.0,0.0,0.0,0.0,0.0,90.99550602692418,0.0,0.0,15.913619688716722,0.0,0.0,7.9215880923435105,0.0,0.0,0.0,0.0,90.99550602692418,0.0,0.0,0.0,0.0,7.9215880923435105,0.0,0.0,0.0,0.0,0.0,15.913619688716722,0.0,0.0,90.99550602692418,0.0,0.0,0.0,0.0,4.194166666666667,0.0,0.0,32.32589506172839,0.0,0.0,-0.44598765432098775,0.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,3.4448000000000016,85.14800000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.578947368421053
CC(CC1=CC=CC=C1)N.OP(=O)(O)O,8.881944444444445,8.881944444444445,0.26611111111111074,-4.638888888888889,0.5612735606855589,12.6,233.20399999999995,217.07599999999996,233.08169462200001,86.0,0.0,0.46647404666265296,-0.32765583199596715,0.46647404666265296,0.32765583199596715,1.2666666666666666,1.6666666666666667,2.0,31.204229180247566,10.090862448534514,1.9979136184699402,-2.024616688512833,2.2535743504713985,-2.169657560855589,7.447142333458832,0.27513354357180353,2.0093861419617878,3.359999885865005e-07,300.88353736710224,11.897341225498538,8.445661337977626,9.34008852897754,6.787693700234703,4.365743071938112,5.930891443608221,3.1802837206564267,4.206837983813012,1.4005021979026944,1.4005021979026944,0.9858783585471154,0.9858783585471154,-0.7100000000000002,1044.8807938201296,14.290000000000003,6.714887796748622,13.29,88.80426324429187,20.41390228541961,0.0,0.0,0.0,0.0,7.822697123132171,0.0,4.565048284931329,0.0,0.0,30.33183534230805,18.90801031431363,6.041840829147961,0.0,19.245283093188757,7.822697123132171,0.0,0.0,5.733667477162185,19.386399651764595,0.0,35.89528683400505,0.0,0.0,5.733667477162185,0.0,0.0,7.822697123132171,20.722075637405386,10.985869907857339,0.0,12.487188691387619,30.33183534230805,0.0,0.0,0.0,103.78,7.822697123132171,0.0,0.0,6.041840829147961,0.0,6.4208216229260096,5.563451491696996,0.0,25.122838405075452,12.13273413692322,24.97895057035094,8.881944444444445,0.0,21.5625,0.0,6.941557067271353,0.0,10.564554043839758,0.9730555555555556,2.0208333333333335,-4.638888888888889,0.3333333333333333,15.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,6.0,2.0,0.0,0.0,0.0,1.0,0.6476999999999999,58.05830000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6
C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,1.6098251028806585,1.6098251028806585,0.3848456790123461,0.3848456790123461,0.5198459619282152,28.894736842105264,280.436,247.17199999999994,280.231987686,110.0,0.0,-0.020420965453642675,-0.09714887789369121,0.09714887789369121,0.020420965453642675,0.3684210526315789,0.631578947368421,0.8947368421052632,31.13181913429713,9.986486359137652,2.3588124676870876,-2.4405367173243335,2.61132341307297,-2.2751019582916987,7.5949942370880175,0.45985972843068146,2.5083432320697017,1.6836878326608633,201.6219103268226,12.916002794556722,12.785866120867052,13.680293311866969,9.449489742783179,9.224086412024661,10.773279750507628,7.3227154372030725,10.408032858223649,5.988997476092014,10.06801294270968,5.031970534856008,9.705124413865997,0.43,44146.84088442675,14.37073989716598,7.441637218205251,3.7487123727032365,121.42545889285746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.70898269867762,55.501913089665976,0.0,0.0,0.0,7.9215880923435105,0.0,0.0,0.0,113.2893076960001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9215880923435105,16.97698335210992,0.0,0.0,96.31232434389018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9215880923435105,0.0,36.23944822088795,77.04985947511214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.569305555555555,0.0,0.0,23.619922839506174,0.0,0.3848456790123461,1.0,19.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,6.466400000000006,87.53900000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.894736842105264
CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,2.2915843621399175,2.2915843621399175,0.5084876543209877,-0.5084876543209877,0.6303470760849654,10.909090909090908,304.37300000000005,283.205,304.13808730200003,110.0,0.0,-0.012174228098806732,-0.06195851164927764,0.06195851164927764,0.012174228098806732,0.45454545454545453,0.7272727272727273,1.0,31.131525711964976,10.219994335536573,2.2028380745519605,-2.2394218701856365,2.356769332244899,-2.2488686319076043,7.796663873999621,1.491193208556265,2.5264196967004358,2.2661019525912227,680.9967043417453,15.526733258565956,13.37541682577547,14.269844016775385,10.681540550352059,7.652871200818815,8.994511987318688,5.69487007381881,7.811107529560166,4.069070997346208,7.019820383208265,2.8322328578932656,5.597981099444243,-1.9099999999999993,132707.77382828048,15.00376874840794,6.463111049060091,2.8455728211058893,134.1401032556881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.79640482153933,61.29677385522308,0.0,0.0,0.0,23.835207781060234,0.0,0.0,0.0,20.771211599071872,0.0,89.48675929663032,0.0,0.0,15.913619688716722,0.0,0.0,7.9215880923435105,0.0,0.0,20.771211599071872,16.690354475090988,72.79640482153933,0.0,0.0,0.0,0.0,7.9215880923435105,0.0,0.0,0.0,0.0,0.0,32.603974163807706,0.0,0.0,93.56761642061122,0.0,0.0,0.0,0.0,4.378055555555556,4.1253256487780305,0.0,26.408902746283704,0.0,6.670277777777778,-0.5084876543209877,0.14285714285714285,22.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,4.370060000000003,99.35900000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.909090909090908
