smiles,E_HOMO,VIP,VEA,Mulliken_Chi,Chem_potential,Elec_hardness,Elec_softness,Electro_idx,Nucleo_idx,min_ESP,max_ESP,aver_pESP,aver_nESP,aver_oESP,vari_p_ESP,vari_n_ESP,vari_o_ESP,char_balance,MPI,area_pSurface,area_nSurface,aver_ALIE,vari_ALIE,aver_LEAE,vari_LEAE,aver_LEA,vari_LEA,Molecular_ES_radius_min,Molecular_ES_radius_max,Molecular_volumn,Molecular_sphericity,Molecular_all_surface_area,Molecular_length,Molecular_widht,Molecular_height,HOMO_energy,LUMO_energy,HOMO_LUMO_energy_gap,HOMO_ODI,LUMO_ODI
c1ccc(P(c2ccccc2)c2ccccc2)cc1,-0.217254,0.273406,-0.023212,0.125097,-0.125097,0.296618,3.371341,0.02638,0.117944,-0.037153,0.020651,0.01044568,-0.01213602,-0.00074293,2.983e-05,5.558e-05,8.541e-05,0.22726306,0.30703148,555.22482,545.25987,0.3972792,0.00258128,-0.7234578,0.02003,-0.0050782,1.9e-05,2.510979,12.728307,2321.59635,0.7703,1100.70049,10.89,11.889,6.422,-0.217254,-0.028413,0.188841,28.25,9.26
Cc1ccccc1P(c1ccccc1C)c1ccccc1C,-0.210974,0.265571,-0.021022,0.122274,-0.122274,0.286593,3.489273,0.026084,0.124224,-0.032972,0.020857,0.00831253,-0.01086261,-0.00055352,3.076e-05,5.587e-05,8.663e-05,0.22899875,0.2582801,656.66512,564.74638,0.40288196,0.00200144,-0.7172784,0.022402,-0.0033427,1.2e-05,4.470818,13.188174,2738.2622,0.7748,1221.67493,11.939,11.188,8.026,-0.210974,-0.030184,0.18079,28.16,10.12
CC(C)(C)P(C(C)(C)C)C(C)(C)C,-0.205096,0.2742,-0.093632,0.090284,-0.090284,0.367832,2.718634,0.01108,0.130102,-0.045389,0.01601,0.005533,-0.00829897,0.00251906,1.313e-05,0.00013606,0.00014918,0.08025343,0.16696082,706.78519,196.91311,0.40682637,0.00107423,-0.6640287,0.020939,0.0,0.0,5.354756,9.979454,2121.59103,0.8833,903.92638,9.271,9.713,6.519,-0.205096,0.046334,0.25143,42.26,5.54
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,-0.245909,0.321966,-0.038884,0.141541,-0.141541,0.36085,2.771235,0.027759,0.089289,-0.056627,0.100384,0.02541384,-0.02610111,0.00531799,0.00041585,0.00027357,0.00068942,0.23935179,0.69884124,397.88251,254.48806,0.45834986,0.00314389,-0.8478183,0.054582,-0.0021329,2.6e-05,3.420605,9.686024,1222.95047,0.8475,652.54077,9.352,7.196,6.037,-0.245909,-0.041244,0.204665,13.19,16.28
CC(=O)CC(C)=O,-0.257106,0.339997,-0.029722,0.155138,-0.155138,0.369719,2.704757,0.032549,0.078092,-0.050529,0.033333,0.01726223,-0.02941914,0.00322624,6.101e-05,0.00022689,0.0002879,0.16700106,0.5691949,369.34246,158.80002,0.44327057,0.00055385,-0.7242983,0.05362,-0.0050842,6.7e-05,2.918625,8.37607,922.56218,0.8675,528.29569,7.797,6.073,5.09,-0.257106,-0.049892,0.207215,20.0,14.47
O=C(CC(=O)c1ccccc1)c1ccccc1,-0.253878,0.31609,0.012972,0.164531,-0.164531,0.303118,3.299044,0.044653,0.08132,-0.058375,0.03648,0.016593,-0.02016293,0.00061472,8.318e-05,0.00030286,0.00038604,0.16903931,0.49374763,540.54377,415.68472,0.41754988,0.00184332,-0.7648485,0.032018,-0.0092982,9.5e-05,2.509213,14.004085,1917.3886,0.7804,956.40517,14.231,8.176,6.562,-0.253878,-0.071372,0.182507,21.98,12.27
C[C@@H](N)C(=O)O,-0.239,0.342406,-0.092222,0.125092,-0.125092,0.434628,2.300818,0.018002,0.096198,-0.059936,0.076782,0.01870476,-0.02779364,0.00209892,0.00020523,0.00027538,0.00048061,0.24467491,0.59730731,292.54333,162.51288,0.43823927,0.0023276,-0.7532402,0.059599,0.0,0.0,3.570729,7.884582,768.37978,0.8913,455.18353,7.355,6.179,5.427,-0.239,0.003895,0.242895,53.47,20.65
CN(C)CCN(C)C,-0.204815,0.274687,-0.103322,0.085683,-0.085683,0.378009,2.645441,0.009711,0.130383,-0.046312,0.01328,0.00550052,-0.01449582,0.00156223,1.059e-05,0.00019087,0.00020147,0.04981893,0.19788516,550.88571,135.10656,0.40520521,0.00145572,-0.6586755,0.032723,0.0,0.0,3.409724,10.130866,1284.23512,0.8327,686.15894,10.114,5.947,5.566,-0.204815,0.05149,0.256305,19.42,7.54
CC(=O)C1CCCc2cccnc21,-0.241994,0.312245,-0.033658,0.139294,-0.139294,0.345903,2.890985,0.028046,0.093204,-0.063302,0.030078,0.01351627,-0.02147972,0.0014471,5.701e-05,0.00038348,0.00044049,0.11266933,0.44252912,512.38832,269.73218,0.42001034,0.00109692,-0.7248709,0.036698,-0.0041782,3.1e-05,3.571634,10.649651,1554.49366,0.8295,782.3027,9.534,9.26,5.745,-0.241994,-0.033951,0.208043,25.1,14.58
CC(=O)Cc1ccccn1,-0.243193,0.317421,-0.026395,0.145513,-0.145513,0.343816,2.908536,0.030793,0.092005,-0.058492,0.030793,0.01338698,-0.02025375,0.00133414,6.62e-05,0.00033717,0.00040338,0.13718551,0.43122462,419.89082,234.4314,0.42255276,0.00139404,-0.7258922,0.036206,-0.0064307,5.6e-05,2.670724,9.972789,1215.87431,0.8418,654.47141,9.323,6.922,5.658,-0.243193,-0.042146,0.201047,23.7,14.77
CC(=O)CC(C)=Nc1ccc(F)cc1,-0.223301,0.289969,-0.016214,0.136877,-0.136877,0.306183,3.266022,0.030595,0.111897,-0.05053,0.032923,0.01507042,-0.0177751,0.00257773,4.907e-05,0.00015988,0.00020896,0.17969153,0.43807978,530.10086,325.37931,0.43186447,0.00203929,-0.7520472,0.044263,-0.0046251,3.6e-05,2.973756,12.994087,1649.29073,0.7889,855.67527,11.811,7.107,7.226,-0.223301,-0.046865,0.176436,13.28,10.84
