smiles,E_HOMO,VIP,VEA,Mulliken_Chi,Chem_potential,Elec_hardness,Elec_softness,Electro_idx,Nucleo_idx,min_ESP,max_ESP,aver_pESP,aver_nESP,aver_oESP,vari_p_ESP,vari_n_ESP,vari_o_ESP,char_balance,MPI,area_pSurface,area_nSurface,aver_ALIE,vari_ALIE,aver_LEAE,vari_LEAE,aver_LEA,vari_LEA,Molecular_ES_radius_min,Molecular_ES_radius_max,Molecular_volumn,Molecular_sphericity,Molecular_all_surface_area,Molecular_length,Molecular_widht,Molecular_height,HOMO_energy,LUMO_energy,HOMO_LUMO_energy_gap,HOMO_ODI,LUMO_ODI
Cc1ccc(Br)cc1,-0.239093,0.312043,-0.051877,0.130083,-0.130083,0.36392,2.747858,0.023249,0.096105,-0.022058,0.024673,0.01329814,-0.01251625,0.00148677,3.732e-05,3.329e-05,7.061e-05,0.24918453,0.35212584,331.66242,279.75297,0.39681144,0.0024457,-0.7041929,0.023509,-0.0037781,2e-05,3.508145,11.362615,1134.05394,0.86,611.54798,9.783,6.715,4.103,-0.239093,-0.020817,0.218276,23.66,22.39
Brc1ccccc1,-0.239093,0.312043,-0.051877,0.130083,-0.130083,0.36392,2.747858,0.023249,0.096105,-0.020165,0.025886,0.01423485,-0.01118995,0.00115031,5.463e-05,2.696e-05,8.159e-05,0.22123122,0.34470921,260.74084,276.46687,0.39356863,0.00269502,-0.7168543,0.018391,-0.0051106,3.3e-05,3.371619,10.008561,980.09925,0.888,537.32441,8.84,6.719,3.7,-0.247634,-0.023109,0.224525,29.85,24.86
COc1ccc(Br)cc1,-0.223953,0.294912,-0.050383,0.122265,-0.122265,0.345295,2.896074,0.021646,0.111245,-0.031701,0.034032,0.01701637,-0.01375752,0.00095667,7.941e-05,4.448e-05,0.00012389,0.23012612,0.41676142,307.96414,336.12523,0.40251983,0.00325036,-0.7248033,0.026537,-0.0026206,1.5e-05,3.677492,11.871583,1201.66204,0.8485,644.22893,10.978,6.862,4.196,-0.223953,-0.021909,0.202044,16.13,23.71
CCOc1ccc(Br)cc1,-0.22177,0.291159,-0.049543,0.120808,-0.120808,0.340702,2.935115,0.021418,0.113428,-0.032535,0.034697,0.01537236,-0.01417893,0.00134603,6.118e-05,4.671e-05,0.00010789,0.24550393,0.40288926,376.20884,339.89322,0.40397986,0.00280938,-0.7174204,0.026771,-0.002239,1.3e-05,3.20624,12.850523,1356.19112,0.8272,716.25505,11.184,6.92,5.262,-0.22177,-0.021241,0.20053,15.73,21.3
Cc1ccccc1Br,-0.243786,0.317655,-0.051021,0.133317,-0.133317,0.368676,2.71241,0.024104,0.091412,-0.01996,0.024254,0.01158533,-0.01129322,0.00101046,4.126e-05,2.875e-05,7.001e-05,0.24200639,0.31157883,321.16183,276.03489,0.39749762,0.00234611,-0.7134384,0.023847,-0.0034719,1.7e-05,3.562164,9.562739,1126.82191,0.8767,597.32037,8.835,8.034,4.166,-0.243786,-0.020391,0.223395,25.41,21.33
Cc1ccc(Cl)cc1Cl,-0.246536,0.317735,-0.042325,0.137705,-0.137705,0.36006,2.777312,0.026333,0.088662,-0.016867,0.029592,0.01277687,-0.00846485,0.00176022,5.521e-05,1.716e-05,7.238e-05,0.18091898,0.28682209,308.15529,332.01099,0.41008946,0.00134104,-0.7488873,0.024842,-0.0042884,3.4e-05,3.536996,10.91646,1203.72034,0.8546,640.31479,9.2,7.416,4.165,-0.246536,-0.029258,0.217278,15.54,22.45
FC(F)(F)c1ccc(Cl)cc1Cl,-0.271051,0.343096,-0.015307,0.163895,-0.163895,0.358404,2.79015,0.037474,0.064147,-0.022089,0.036532,0.0127183,-0.00998064,0.00263497,0.0001037,4.261e-05,0.00014631,0.2064104,0.31299023,376.81554,301.17883,0.45050296,0.00383631,-0.8814776,0.04207,-0.0069414,0.000107,3.526702,10.920557,1285.13444,0.8429,678.16194,9.818,7.813,5.105,-0.271051,-0.056015,0.215037,17.01,19.04
COc1ccc(Cl)cc1,-0.22355,0.296641,-0.052905,0.121868,-0.121868,0.349546,2.860852,0.021244,0.111648,-0.032427,0.033353,0.01710062,-0.01373337,0.00089248,7.372e-05,4.544e-05,0.00011916,0.23592489,0.41716666,294.02768,325.83699,0.41351828,0.00230811,-0.7436355,0.029025,-0.0023871,1.3e-05,3.681536,11.390456,1142.21375,0.8523,620.00366,10.724,6.904,4.196,-0.22355,-0.02083,0.202721,14.74,23.75
Brc1cccnc1,-0.260638,0.349966,-0.032791,0.158588,-0.158588,0.382757,2.612627,0.032854,0.07456,-0.053806,0.033883,0.01483337,-0.01152673,0.00212237,0.0001,0.00015455,0.00025455,0.23851639,0.3602485,268.81065,250.33532,0.39949735,0.0024278,-0.7198309,0.018844,-0.0090372,9.4e-05,3.333759,9.776242,936.18975,0.8913,519.25305,8.767,6.723,3.7,-0.260638,-0.045107,0.215531,31.92,24.74
N#Cc1ccc(Br)cc1,-0.266358,0.337756,0.001081,0.169419,-0.169419,0.336676,2.970219,0.042627,0.06884,-0.059385,0.037901,0.01628227,-0.02063272,0.00487867,0.0001285,0.00035252,0.00048102,0.19577888,0.47963307,428.14697,191.38174,0.40702322,0.0021445,-0.7233845,0.017097,-0.0122063,0.000136,3.381189,10.623056,1139.668,0.8515,619.65614,10.69,6.722,3.7,-0.266358,-0.071124,0.195234,24.8,17.36
Cc1cc(C)cc(Br)c1,-0.239819,0.311425,-0.052017,0.129704,-0.129704,0.363442,2.751474,0.023144,0.095379,-0.023204,0.023048,0.01195169,-0.01349696,0.00143803,2.639e-05,3.792e-05,6.432e-05,0.24196132,0.34259379,401.71035,282.7884,0.39905782,0.00221613,-0.6935298,0.02698,-0.0027412,1.1e-05,3.464521,11.141219,1287.77053,0.8361,684.64947,8.821,9.08,4.101,-0.239819,-0.017565,0.222255,25.72,18.45
Nc1cc(Br)cc(C(F)(F)F)c1,-0.228026,0.300222,-0.031454,0.134384,-0.134384,0.331676,3.014989,0.027224,0.107172,-0.024224,0.068802,0.0254622,-0.01236014,0.0016327,0.0004111,3.507e-05,0.00044616,0.0724184,0.46823736,258.76946,440.67881,0.43820344,0.00643643,-0.8421753,0.056698,-0.0037914,3.3e-05,3.458659,11.010459,1319.74491,0.8317,699.60721,9.707,8.74,4.82,-0.228025,-0.038993,0.189032,22.19,20.04
Cc1cccc(Br)n1,-0.252242,0.326935,-0.036384,0.145276,-0.145276,0.363319,2.752404,0.029045,0.082956,-0.055496,0.033931,0.01558872,-0.0166317,0.0008138,8.534e-05,0.00016237,0.0002477,0.22582187,0.43720493,323.73036,274.17333,0.40052561,0.00280682,-0.7172075,0.025735,-0.0062565,6.1e-05,3.429321,10.806624,1091.46019,0.8572,598.03125,8.661,7.929,4.174,-0.252242,-0.038096,0.214146,29.4,23.85
Brc1ccccn1,-0.259401,0.338523,-0.032477,0.153023,-0.153023,0.371,2.695419,0.031558,0.075797,-0.056106,0.0365,0.01770302,-0.01667554,0.0010707,0.00011583,0.00017826,0.00029409,0.23873277,0.46819697,269.18342,252.28696,0.39831216,0.00307355,-0.7311304,0.02034,-0.0085737,0.000101,3.327915,10.143706,936.96024,0.8878,521.57796,8.777,6.759,3.7,-0.259401,-0.045071,0.21433,36.48,24.89
OCc1ccc(Br)cc1,-0.236453,0.307508,-0.05011,0.128699,-0.128699,0.357618,2.796278,0.023158,0.098745,-0.037379,0.077066,0.01943634,-0.01500001,0.00025704,0.00024415,5.652e-05,0.00030067,0.15264603,0.46165556,283.38429,356.23613,0.40067197,0.00348901,-0.7297897,0.027997,-0.0030975,1.5e-05,3.651937,11.802699,1193.63151,0.8506,639.75969,10.822,6.917,4.177,-0.236453,-0.020368,0.216085,21.41,19.54
Brc1ccc2ccccc2n1,-0.247488,0.313085,0.004968,0.159027,-0.159027,0.308117,3.24552,0.041039,0.08771,-0.054556,0.036222,0.01657444,-0.01405555,0.00075989,9.556e-05,0.0001395,0.00023506,0.24126582,0.4156244,335.79151,358.43643,0.39640846,0.00263271,-0.7508624,0.020601,-0.0074961,7.1e-05,3.740081,12.243069,1339.08817,0.8461,694.36135,10.953,7.925,3.7,-0.247488,-0.070194,0.177294,14.15,14.46
Clc1ccc(Br)cc1,-0.246272,0.318859,-0.038302,0.140279,-0.140279,0.357161,2.799856,0.027548,0.088926,-0.015474,0.029556,0.01442471,-0.00763938,0.00210351,8.533e-05,1.521e-05,0.00010055,0.12842178,0.28940915,265.35697,335.5797,0.3970534,0.00217609,-0.744068,0.017015,-0.0067546,5.8e-05,3.362278,10.105259,1114.42695,0.8648,601.06824,10.034,6.718,3.7,-0.246272,-0.034869,0.211403,20.03,24.84
Nc1ccc(Br)cc1,-0.206352,0.278955,-0.058029,0.110463,-0.110463,0.336984,2.9675,0.018105,0.128846,-0.032356,0.060232,0.02231547,-0.01669153,0.00029598,0.00027541,5.649e-05,0.0003319,0.14122873,0.52084623,255.55401,331.25336,0.3944114,0.00429641,-0.7307858,0.027056,-0.0016312,7e-06,3.393183,10.982779,1084.4249,0.8697,586.94293,9.633,6.722,3.7,-0.206352,-0.015275,0.191077,17.82,24.17
Oc1ccc(Br)cc1,-0.226743,0.301406,-0.050366,0.12552,-0.12552,0.351772,2.842752,0.022394,0.108455,-0.034318,0.088228,0.02132763,-0.01339917,0.00115358,0.00037482,4.813e-05,0.00042295,0.10085437,0.45502064,238.06667,330.02466,0.40195847,0.00413966,-0.7523537,0.027955,-0.0032886,2.1e-05,3.38497,10.52939,1043.3732,0.8755,568.21956,9.478,6.718,3.7,-0.226743,-0.024305,0.202438,17.63,24.85
Cc1ccc(Br)nc1,-0.251391,0.326125,-0.031403,0.147361,-0.147361,0.357528,2.796986,0.030369,0.083807,-0.058156,0.035122,0.01781712,-0.01781591,0.00178242,7.241e-05,0.00018575,0.00025816,0.20180525,0.48481377,327.9371,268.30715,0.40141089,0.0027959,-0.717486,0.026193,-0.0065012,7e-05,3.577815,11.533107,1090.90713,0.8593,596.37398,9.718,6.729,4.173,-0.251391,-0.042729,0.208662,29.06,22.16
Brc1ccc2sccc2c1,-0.230299,0.297023,-0.021776,0.137624,-0.137624,0.318799,3.136774,0.029706,0.104899,-0.020641,0.036089,0.01588744,-0.01046726,0.00136727,8.771e-05,2.523e-05,0.00011294,0.17350035,0.35105893,305.72241,375.10067,0.39109307,0.002637,-0.7301136,0.017736,-0.0049526,3.6e-05,3.573173,11.250141,1317.38691,0.8534,680.95735,10.449,7.902,3.7,-0.230299,-0.044438,0.185861,19.92,16.07
FC(F)(F)c1ccc(Br)cc1,-0.264726,0.339958,-0.033461,0.153249,-0.153249,0.373419,2.677957,0.031446,0.070472,-0.019933,0.032593,0.01487213,-0.00849837,0.00309581,0.00010504,3.221e-05,0.00013726,0.17960632,0.31729596,323.01365,328.08835,0.44179125,0.00553708,-0.8416515,0.05066,-0.0080298,9.3e-05,3.481268,11.353415,1215.52729,0.8457,651.26123,10.033,6.719,4.81,-0.264726,-0.049768,0.214958,31.45,20.03
