smiles,E_HOMO,VIP,VEA,Mulliken_Chi,Chem_potential,Elec_hardness,Elec_softness,Electro_idx,Nucleo_idx,min_ESP,max_ESP,aver_pESP,aver_nESP,aver_oESP,vari_p_ESP,vari_n_ESP,vari_o_ESP,char_balance,MPI,area_pSurface,area_nSurface,aver_ALIE,vari_ALIE,aver_LEAE,vari_LEAE,aver_LEA,vari_LEA,Molecular_ES_radius_min,Molecular_ES_radius_max,Molecular_volumn,Molecular_sphericity,Molecular_all_surface_area,Molecular_length,Molecular_widht,Molecular_height,HOMO_energy,LUMO_energy,HOMO_LUMO_energy_gap,HOMO_ODI,LUMO_ODI
c1ccc(N(c2ccccc2)c2ccccc2)cc1,-0.191261,0.244433,-0.027583,0.108425,-0.108425,0.272016,3.676252,0.021609,0.143937,-0.022382,0.018486,0.00979797,-0.01109336,-0.00040175,2.395e-05,4.048e-05,6.443e-05,0.23353573,0.28382597,540.1974,515.34432,0.402342,0.00215929,-0.7378679,0.022991,-0.0035743,1e-05,3.646508,12.654538,2194.63006,0.7736,1055.7474,11.572,11.519,5.29,-0.191261,-0.023655,0.167606,13.86,7.52
COc1ccc(N(c2ccccc2)c2ccc(OC)cc2)cc1,-0.177415,0.227646,-0.028281,0.099683,-0.099683,0.255926,3.907373,0.019413,0.157783,-0.037818,0.028978,0.01238114,-0.01433061,-0.00123606,5.636e-05,7.054e-05,0.0001269,0.24687929,0.36395073,622.88146,647.74262,0.40902814,0.00244314,-0.7401142,0.030831,-0.0017674,4e-06,3.732929,15.865142,2639.09167,0.7267,1270.87387,14.67,12.472,5.883,-0.177415,-0.021203,0.156212,10.39,7.63
Cc1ccccc1N(c1ccccc1)c1ccccc1C,-0.194941,0.24723,-0.029716,0.108757,-0.108757,0.276946,3.610815,0.021354,0.140257,-0.024532,0.018034,0.00829108,-0.01087618,-0.00017198,2.462e-05,4.703e-05,7.165e-05,0.22555232,0.25667128,636.45204,503.19761,0.40454238,0.00186972,-0.727093,0.023061,-0.0025856,6e-06,3.948414,12.900602,2480.45598,0.7774,1139.89545,11.499,11.665,7.33,-0.194941,-0.021002,0.173939,12.67,8.74
COc1ccc(N(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,-0.170014,0.219004,-0.028113,0.095445,-0.095445,0.247118,4.046653,0.018432,0.165184,-0.040698,0.027549,0.0127831,-0.01583202,-0.00179634,5.049e-05,8.251e-05,0.000133,0.23550808,0.39011688,675.87409,702.05887,0.41137403,0.00243943,-0.741364,0.034027,-0.0011158,2e-06,3.486616,16.932526,2861.75642,0.7073,1378.20963,15.482,14.265,5.714,-0.170014,-0.020314,0.149701,9.41,7.14
COc1ccc(N(c2ccccc2)c2ccccc2)cc1,-0.184302,0.235902,-0.02758,0.104161,-0.104161,0.263482,3.795329,0.020589,0.150896,-0.036224,0.030227,0.01125419,-0.01280413,-0.00082239,4.726e-05,5.676e-05,0.00010402,0.24791241,0.32741315,579.2616,583.8467,0.40603207,0.0023471,-0.7390283,0.027201,-0.0025001,6e-06,3.559427,15.30184,2417.03222,0.7487,1163.34055,13.541,11.696,5.797,-0.184302,-0.022843,0.161459,11.76,7.96
Cc1ccccc1N(c1ccccc1)c1ccccc1,-0.192752,0.245681,-0.028215,0.108733,-0.108733,0.273896,3.651023,0.021583,0.142446,-0.024572,0.019308,0.00893734,-0.0111264,-0.00025943,2.494e-05,4.621e-05,7.115e-05,0.22765987,0.27050167,596.80075,505.07478,0.40334148,0.00201363,-0.7297729,0.023015,-0.0030731,8e-06,3.862062,12.974329,2339.97187,0.7734,1102.1174,11.075,11.573,7.387,-0.192752,-0.022753,0.169999,13.47,7.15
O=[N+]([O])c1ccc(N(c2ccccc2)c2ccccc2)cc1,-0.212846,0.264198,0.019016,0.141607,-0.141607,0.245182,4.078599,0.040893,0.122352,-0.060477,0.028262,0.0147889,-0.01766505,0.00374672,6.546e-05,0.00037299,0.00043845,0.12701323,0.42905514,754.07012,388.87884,0.420221,0.00205376,-0.7887566,0.038502,-0.0086315,5.7e-05,3.632228,14.648972,2377.93585,0.7537,1143.17076,12.302,11.504,5.696,-0.212846,-0.081587,0.13126,13.1,13.16
O=[N+]([O])c1ccc(N(c2ccccc2)c2ccc([N+](=O)[O])cc2)cc1,-0.230438,0.280352,0.049161,0.164757,-0.164757,0.231191,4.325432,0.058707,0.10476,-0.052261,0.037423,0.01972277,-0.03100855,0.00775809,9.808e-05,0.00019418,0.00029226,0.2229666,0.60911213,940.20963,290.18033,0.43614871,0.00197712,-0.8320173,0.045323,-0.0128782,0.000126,3.61247,15.05769,2561.9384,0.7358,1230.62691,14.862,11.82,5.894,-0.230438,-0.101321,0.129117,12.82,6.9
O=[N+]([O])c1ccc(N(c2ccc([N+](=O)[O])cc2)c2ccc([N+](=O)[O])cc2)cc1,-0.245436,0.294199,0.064051,0.179125,-0.179125,0.230149,4.345017,0.069707,0.089762,-0.045451,0.047415,0.02779482,-0.02626422,0.0115952,0.00011228,0.00014636,0.00025864,0.24565785,0.74385443,923.50749,395.1585,0.45040742,0.00190678,-0.8688934,0.046878,-0.0165162,0.000211,3.635883,15.242001,2747.29523,0.7192,1318.91944,14.134,14.417,5.257,-0.245436,-0.112094,0.133342,12.82,6.69
Oc1ccccc1,-0.226527,0.308097,-0.06824,0.119928,-0.119928,0.376337,2.657193,0.019109,0.108671,-0.040744,0.081032,0.01771435,-0.01623494,0.00057813,0.00029155,8.998e-05,0.00038153,0.18022363,0.4617121,237.86389,242.43565,0.41345224,0.00345232,-0.7473384,0.034143,-0.0013439,4e-06,3.404516,7.948153,850.07112,0.9033,480.40146,8.018,6.716,3.4,-0.226527,-0.010183,0.216344,19.26,24.88
Oc1ccc(Cl)cc1,-0.22643,0.303578,-0.052953,0.125312,-0.125312,0.356531,2.804804,0.022022,0.108768,-0.035077,0.087436,0.02178201,-0.01344639,0.0010964,0.00037541,4.974e-05,0.00042514,0.10330362,0.45953099,224.52522,319.36402,0.4145073,0.00313352,-0.7750786,0.029517,-0.0030428,1.8e-05,3.388117,10.055735,983.94402,0.8794,544.00764,9.222,6.715,3.5,-0.22643,-0.023218,0.203213,15.87,24.85
Oc1ccc(Br)cc1,-0.226743,0.301406,-0.050366,0.12552,-0.12552,0.351772,2.842752,0.022394,0.108455,-0.034318,0.088228,0.02132763,-0.01339917,0.00115358,0.00037482,4.813e-05,0.00042295,0.10085437,0.45502064,238.06667,330.02466,0.40195847,0.00413966,-0.7523537,0.027955,-0.0032886,2.1e-05,3.38497,10.52939,1043.3732,0.8755,568.21956,9.478,6.718,3.7,-0.226743,-0.024305,0.202438,17.63,24.85
Cc1cccc(O)c1,-0.222859,0.30093,-0.064519,0.118206,-0.118206,0.365449,2.73636,0.019117,0.112339,-0.042242,0.079401,0.01486011,-0.0170456,0.00086461,0.00022772,0.00010082,0.00032854,0.2127008,0.43045096,310.95018,242.98446,0.41414899,0.00284613,-0.7285019,0.038793,-0.0010384,2e-06,3.529949,8.773842,1004.0777,0.8752,554.06043,8.518,7.368,4.173,-0.222859,-0.009163,0.213696,18.83,19.54
O=C(O)c1ccc(O)cc1,-0.241685,0.317699,-0.028678,0.14451,-0.14451,0.346377,2.887027,0.030145,0.093513,-0.057945,0.090687,0.02380492,-0.01758615,0.00076998,0.00047444,0.0002212,0.00069564,0.21686713,0.55358983,259.31866,325.41682,0.43134459,0.00334357,-0.8016278,0.040102,-0.0053895,4.8e-05,3.473794,9.825342,1073.0516,0.8666,584.86464,9.946,6.733,3.4,-0.241685,-0.044135,0.197549,17.77,14.06
O=C(O)c1cccc(O)c1,-0.237758,0.31563,-0.019258,0.148186,-0.148186,0.334888,2.98607,0.032786,0.09744,-0.055891,0.087998,0.02414314,-0.01789387,0.00046822,0.00045605,0.00019861,0.00065466,0.21134045,0.56119661,255.45808,329.37171,0.43102434,0.00335849,-0.8004395,0.040506,-0.0052524,5.6e-05,3.514677,9.648175,1073.4502,0.8667,584.95771,9.209,7.206,3.401,-0.237758,-0.05387,0.183888,18.7,14.72
O=[N+]([O])c1cccc(O)c1,-0.254911,0.333272,0.012299,0.172785,-0.172785,0.320973,3.115528,0.046507,0.080287,-0.053531,0.097844,0.02176529,-0.02351072,0.00307558,0.00045031,0.00029355,0.00074385,0.23889714,0.61186951,333.65707,234.55503,0.44269535,0.00302264,-0.8538502,0.052401,-0.0090053,9.1e-05,3.413416,9.541714,1035.42845,0.8709,568.34041,9.132,7.236,3.4,-0.254911,-0.091661,0.163249,19.04,16.45
Cc1ccccc1O,-0.221231,0.299048,-0.070284,0.114382,-0.114382,0.369332,2.707593,0.017712,0.113967,-0.03762,0.080418,0.01511833,-0.01357593,0.0001006,0.00028619,9.109e-05,0.00037727,0.18314246,0.38942443,261.41776,287.05391,0.41274589,0.00288416,-0.725502,0.034052,-0.0004708,1e-06,3.581831,8.656118,1000.66577,0.8819,548.60144,7.789,7.367,4.164,-0.221231,-0.004498,0.216733,17.6,23.05
O=[N+]([O])c1ccccc1O,-0.255472,0.332611,0.02503,0.178821,-0.178821,0.307581,3.251172,0.051981,0.079726,-0.044989,0.036272,0.01627021,-0.02029681,0.00364528,0.0001024,0.00018402,0.00028642,0.22970011,0.48056429,365.40796,192.6838,0.44467095,0.00266367,-0.8588695,0.048899,-0.0098328,0.000101,3.504846,8.983328,1023.87593,0.8801,558.20704,8.67,7.287,3.4,-0.255472,-0.104162,0.151309,17.99,18.32
COc1ccc(Oc2ccc(C)cc2)cc1,-0.210759,0.268682,-0.038412,0.115135,-0.115135,0.307094,3.256335,0.021583,0.124439,-0.040546,0.030573,0.01166992,-0.01482915,-0.00058916,5.331e-05,7.964e-05,0.00013295,0.24019655,0.35732502,517.54633,445.55135,0.41145489,0.00209837,-0.7317178,0.033308,-0.0015709,6e-06,3.013325,15.158486,1890.83096,0.7676,963.29722,15.041,7.12,6.103,-0.210759,-0.018853,0.191906,8.76,15.17
COc1ccc(Oc2ccc(Br)cc2)cc1,-0.222486,0.278844,-0.02744,0.125702,-0.125702,0.306284,3.264946,0.025795,0.112712,-0.034131,0.034276,0.01523932,-0.01287312,0.00076427,7.489e-05,5.203e-05,0.00012692,0.24188722,0.38153,474.22648,503.35565,0.40539391,0.00284678,-0.7438328,0.027165,-0.0032732,1.8e-05,2.604644,16.057438,1930.88344,0.7669,977.78486,15.1,7.359,6.759,-0.222486,-0.028453,0.194034,9.31,12.27
