smiles,E(T), SPP, SB, SA, α, β, π*, ε, nD20 (g), δd, δp, δh, δ, f(n2)
OCCO,0.79, 0.93, 0.53, 0.72, 0.9, 0.52, 0.92, 40.245, 1.4318, 8.31, 5.38, 12.71, 16.11038795, 0.205888263
ClC(Cl)(Cl)Cl,0.05, 0.63, 0.04, 0, 0, 0.1, 0.28, 2.228, 1.6275, 8.7, 0, 0.29, 8.704831991, 0.261810715
CC[N+](=O)[O-],0.48, 0.91, 0.24, 0.08, 0.22, 0.06, 0.85, 36.562, 1.3819, 7.72, 9.19, 2.49, 12.25783831, 0.18875117
ClC(Cl)Cl,0.26, 0.79, 0.07, 0.05, 0.2, 0.1, 0.58, 4.7113, 1.4459, 8.7, 1.52, 2.79, 9.261992226, 0.210494774
S=C=S,0.06, 0.59, 0.1, 0, 0, 0.07, 0.61, 2.6, 1.46, 10.02, 0, 0.29, 10.02419573, 0.21500228
C1CCCCC1,0.01, 0.56, 0.07, 0, 0, 0, 0, 2.0165, 1.4262, 8.21, 0, 0.1, 8.210608991, 0.204030681
ClCCCl,0.33, 0.89, 0.13, 0.03, 0, 0.1, 0.81, 10.125, 1.4164, 9.29, 3.62, 2, 10.168997, 0.200740841
ClCCl,0.31, 0.88, 0.18, 0.04, 0.13, 0.1, 0.82, 8.93, 1.4242, 8.9, 3.08, 2.98, 9.878096983, 0.203363342
COCCOC,0.23, 0.79, 0.64, 0, 0, 0.41, 0.53, 7.363, 1.3796, 7.529, 2.933, 2.933, 8.595976908, 0.187928599
CN(C)C=O,0.4, 0.95, 0.61, 0.03, 0, 0.69, 0.88, 37.219, 1.4305, 8.51, 6.7, 5.52, 12.15650032, 0.205458473
CS(C)=O,0.44, 1, 0.65, 0.07, 0, 0.76, 1, 46.826, 1.4793, 9, 8.02, 4.99, 13.04685786, 0.221016236
CCOCC,0.12, 0.69, 0.56, 0, 0, 0.47, 0.27, 4.24, 1.3524, 7.09, 1.42, 2.49, 7.647522475, 0.17797141
CCO,0.65, 0.85, 0.66, 0.4, 0.86, 0.75, 0.54, 24.852, 1.3614, 7.72, 4.3, 9.48, 12.95989197, 0.181313493
CCCCCC,0.01, 0.52, 0.06, 0, 0, 0, -0.04, 1.8819, 1.3749, 7.28, 0, 0, 7.28, 0.186238418
CC(C)O,0.57, 0.85, 0.83, 0.28, 0.76, 0.84, 0.48, 15.2, 1.3772, 7.72, 2.98, 8.02, 11.52385352, 0.187067089
CC(C)(C)O,0.40, 0.83, 0.93, 0.15, 0.42, 0.93, 0.41, 10.90, 1.39, 7.72, 2.98, 8.02, 11.52385352, 0.19
CC#N,0.46, 0.9, 0.29, 0.04, 0.19, 0.4, 0.75, 35.688, 1.3441, 7.48, 8.8, 2.98, 11.92773239, 0.174846772
CCCC#,0.38, 0.92, 0.38, 0, 0, 0.40, 0.71, 20.70, 1.38, 7.48, 8.8, 2.98, 11.92773239,0.19
CO,0.76, 0.86, 0.55, 0.61, 0.98, 0.66, 0.6, 32.613, 1.3284, 7.38, 6.01, 10.9, 14.47046993, 0.168822494
CCCCC,0.01, 0.51, 0.07, 0, 0, 0, -0.08, 1.8371, 1.3575, 7.09, 0, 0, 7.09, 0.179871095
Clc1ccccc1,0.19, 0.82, 0.18, 0, 0, 0.07, 0.71, 5.6968, 1.5248, 9.29, 2.1, 0.98, 9.574680151, 0.234514688
Cc1ccccc1,0.1, 0.66, 0.13, 0, 0, 0.11, 0.54, 2.3741, 1.4969, 8.8, 0.68, 0.98, 8.88047296, 0.226348243
C1CCOC1,0.21, 0.84, 0.59, 0, 0, 0.55, 0.58, 7.4257, 1.4072, 8.21, 2.79, 3.91, 9.511903069, 0.197606475
