idx,metrics,AD_type,judge_value,y_pred,y_true
0,0.676137652250385,IAD,2.6102467751712988,1.2104896,1.17989059
1,0.7133606151889904,IAD,2.6102467751712988,0.6708608,0.501758501
2,0.6867508465537945,IAD,2.6102467751712988,0.6708608,0.650583556
3,0.7133606151889904,IAD,2.6102467751712988,1.2104896,1.238109014
4,0.676137652250385,IAD,2.6102467751712988,1.2104896,1.17989059
5,0.7133606151889904,IAD,2.6102467751712988,0.6708608,0.501758501
6,0.6867508465537945,IAD,2.6102467751712988,0.6708608,0.715545793
7,0.7133606151889904,IAD,2.6102467751712988,1.2104896,1.125722444
8,0.676137652250385,IAD,2.6102467751712988,1.2104896,1.238109014
9,0.676137652250385,IAD,2.6102467751712988,1.2104896,1.125722444
10,0.7133606151889904,IAD,2.6102467751712988,0.6708608,0.473819986
11,0.6867508465537945,IAD,2.6102467751712988,0.6708608,0.619408639
12,0.7133606151889904,IAD,2.6102467751712988,1.2104896,1.125722444
13,0.676137652250385,IAD,2.6102467751712988,1.2104896,1.125722444
14,0.676137652250385,IAD,2.6102467751712988,1.2104896,1.238109014
15,0.7133606151889904,IAD,2.6102467751712988,0.6708608,0.240111033
16,0.6867508465537945,IAD,2.6102467751712988,0.6708608,0.559297578
17,0.7133606151889904,IAD,2.6102467751712988,1.2104896,1.074990526
18,0.676137652250385,IAD,2.6102467751712988,1.2104896,1.125722444
19,0.676137652250385,IAD,2.6102467751712988,1.2104896,1.17989059
20,0.7133606151889904,IAD,2.6102467751712988,0.6708608,0.392793996
21,0.6867508465537945,IAD,2.6102467751712988,0.6708608,0.559297578
22,0.676137652250385,IAD,2.6102467751712988,1.2104896,1.027207628
23,2.086122415413188,IAD,2.0898714358083046,0.7587317,0.981980567
24,2.086122415413188,IAD,2.0898714358083046,0.7587317,1.074990526
25,2.086122415413188,IAD,2.0898714358083046,0.7587317,1.074990526
26,2.086122415413188,IAD,2.0898714358083046,0.7587317,0.820945045
27,2.086122415413188,IAD,2.0898714358083046,1.4178078,1.238109014
28,2.086122415413188,IAD,2.0898714358083046,0.7587317,0.820945045
29,2.086122415413188,IAD,2.0898714358083046,0.7587317,0.897960775
30,2.086122415413188,IAD,2.0898714358083046,0.7587317,0.858676701
31,2.086122415413188,IAD,2.0898714358083046,0.7587317,1.027207628
32,2.086122415413188,IAD,2.0898714358083046,0.7587317,0.820945045
33,2.086122415413188,IAD,2.0898714358083046,0.7587317,0.897960775
34,0.1588232088515247,IAD,2.0898714358083046,0.71049523,1.238109014
35,0.12996408026846495,IAD,2.0898714358083046,0.71049523,1.027207628
36,0.1588232088515247,IAD,2.0898714358083046,0.71049523,1.17989059
37,0.1588232088515247,IAD,2.0898714358083046,0.71049523,0.820945045
38,0.1588232088515247,IAD,2.0898714358083046,0.71049523,0.749510758
39,0.12996408026846495,IAD,2.0898714358083046,0.71049523,1.074990526
40,0.1588232088515247,IAD,2.0898714358083046,0.71049523,1.027207628
41,1.2422640132760818,IAD,2.8330191425398694,1.1971229,1.17989059
42,1.3249357833405269,IAD,2.8330191425398694,0.6810999,0.682601444
43,1.248428831577685,IAD,2.8330191425398694,0.6810999,0.682601444
44,1.2422640132760818,IAD,2.8330191425398694,1.1971229,1.125722444
45,1.3249357833405269,IAD,2.8330191425398694,0.6810999,0.446373616
46,1.248428831577685,IAD,2.8330191425398694,0.6810999,0.446373616
47,1.3249357833405269,IAD,2.8330191425398694,0.6810999,0.392793996
48,1.248428831577685,IAD,2.8330191425398694,0.6810999,0.5302345
49,1.2422640132760818,IAD,2.8330191425398694,1.1971229,1.125722444
50,1.3249357833405269,IAD,2.8330191425398694,0.6810999,0.419377753
51,1.248428831577685,IAD,2.8330191425398694,0.6810999,0.559297578
52,1.3249357833405269,IAD,2.8330191425398694,1.1971229,1.17989059
53,1.2422640132760818,IAD,2.8330191425398694,1.1971229,1.125722444
54,1.2422640132760818,IAD,2.8330191425398694,1.1971229,1.074990526
55,1.3249357833405269,IAD,2.8330191425398694,0.6810999,0.315171704
56,1.248428831577685,IAD,2.8330191425398694,0.6810999,0.5302345
57,1.3249357833405269,IAD,2.8330191425398694,1.1971229,1.074990526
58,1.2422640132760818,IAD,2.8330191425398694,1.1971229,1.074990526
59,0.6168187101943218,IAD,2.1728532452347578,1.2401147,1.17989059
60,22.54643116631059,OAD,2.0898714358083046,1.7643665,0.981980567
61,22.552725710073243,OAD,2.0898714358083046,1.222542,0.589002233
62,22.546781125006174,OAD,2.0898714358083046,1.222542,0.559297578
