idx,metrics,predict,AD_type,y_pred,y_true
0,3.4613495,52.3144,IAD,71.957985,0.0
1,3.4613495,52.3144,IAD,71.957985,15.0
2,3.4613495,52.3144,IAD,71.957985,19.0
3,4.093706,13.988426,IAD,22.775913,80.0
4,4.093706,13.988426,IAD,22.775913,87.0
5,4.093706,13.988426,IAD,22.775913,83.0
6,3.8245447,11.039986,IAD,36.298473,58.0
7,3.8245447,11.039986,IAD,36.298473,41.0
8,2.2736459,75.47294,OAD,52.80454,80.0
9,2.2736459,75.47294,OAD,52.80454,93.0
10,2.2736459,75.47294,OAD,52.80454,88.0
11,1.0555967,73.818375,OAD,45.02236,92.0
12,1.0555967,73.818375,OAD,45.02236,87.0
13,5.8535104,49.44191,IAD,17.310875,82.0
14,7.000087,42.805004,IAD,18.980705,84.0
15,6.392796,45.621395,IAD,35.2404,80.0
16,6.2457633,52.537872,IAD,24.241245,87.0
17,5.7576404,55.58656,IAD,22.81208,85.0
18,5.167168,53.176666,IAD,18.639133,80.0
19,0.5881466,73.75938,OAD,49.575542,86.0
20,0.6830063,73.931244,OAD,45.0313,82.0
21,1.4085933,73.87187,OAD,41.923725,85.0
22,0.5967279,73.714485,OAD,51.856026,87.0
23,5.6906753,61.168194,IAD,38.470654,35.0
24,4.6987624,35.027817,IAD,17.446512,31.0
25,6.7052846,52.38769,IAD,61.770943,41.0
26,4.515472,25.23293,IAD,50.67388,29.0
27,5.43121,15.551452,IAD,62.15061,86.0
28,4.0966372,23.893223,IAD,22.127352,0.0
29,8.512416,40.458626,IAD,31.417294,37.0
30,3.744953,85.54844,IAD,45.708347,49.0
31,6.722854,86.05234,IAD,46.19491,67.0
32,2.3351097,2.5402071,OAD,50.384228,0.0
33,10.040635,79.51782,IAD,74.50968,72.0
34,5.43121,15.551452,IAD,62.15061,23.0
35,5.43121,15.551452,IAD,62.15061,48.0
36,11.576724,30.789913,IAD,51.763443,68.0
37,2.8853543,51.424503,IAD,56.192482,0.0
38,6.875003,31.629318,IAD,46.30195,0.0
39,5.43121,15.551452,IAD,62.15061,86.0
40,1.2656782,0.7689816,OAD,43.51204,58.0
41,0.050339267,0.0019950895,OAD,8.981638,9.0
