idx,metrics,predict,AD_type,y_pred,y_true
0,4.6800437,15.664597,IAD,12.1967945,0.0
1,4.6800437,15.664597,IAD,12.1967945,15.0
2,4.6800437,15.664597,IAD,12.1967945,19.0
3,4.037764,80.611015,IAD,81.572845,80.0
4,4.037764,80.611015,IAD,81.572845,87.0
5,4.037764,80.611015,IAD,81.572845,83.0
6,3.949934,50.087124,IAD,51.92204,58.0
7,3.949934,50.087124,IAD,51.92204,41.0
8,1.9314839,85.64536,IAD,88.2374,80.0
9,1.9314839,85.64536,IAD,88.2374,93.0
10,1.9314839,85.64536,IAD,88.2374,88.0
11,1.9796172,85.09886,IAD,87.30335,92.0
12,1.9796172,85.09886,IAD,87.30335,87.0
13,3.8880832,79.481926,IAD,83.0148,82.0
14,2.302214,83.73626,IAD,82.69876,84.0
15,2.6570747,77.60012,IAD,79.574646,80.0
16,2.2171886,85.230576,IAD,88.18973,87.0
17,2.8931568,81.68229,IAD,85.150154,85.0
18,2.1350875,80.63833,IAD,78.80927,80.0
19,2.073629,83.81515,IAD,85.28858,86.0
20,2.0500147,82.66468,IAD,82.714294,82.0
21,2.1410441,84.38929,IAD,85.4039,85.0
22,2.1498733,86.45713,IAD,86.67799,87.0
23,3.1627932,39.46464,IAD,36.871536,35.0
24,3.9673622,31.270752,IAD,28.626131,31.0
25,4.3300004,41.00879,IAD,41.378063,41.0
26,3.578418,29.156998,IAD,28.396986,29.0
27,4.309877,61.79896,IAD,80.56664,86.0
28,7.3072624,32.92069,IAD,34.70595,0.0
29,8.806292,67.1928,IAD,44.99965,37.0
30,7.1297398,76.2617,IAD,69.513824,49.0
31,4.806995,59.309372,IAD,46.7527,67.0
32,5.5619903,35.54031,IAD,60.753998,0.0
33,5.285922,56.82182,IAD,81.59453,72.0
34,4.309877,61.79896,IAD,80.56664,23.0
35,4.309877,61.79896,IAD,80.56664,48.0
36,4.6762795,62.772816,IAD,62.398964,68.0
37,5.1234527,79.02528,IAD,80.33895,0.0
38,6.432478,83.5416,IAD,49.53921,0.0
39,4.309877,61.79896,IAD,80.56664,86.0
40,3.8861878,57.075054,IAD,64.269844,58.0
41,4.29514,43.507183,IAD,22.947104,9.0
42,7.4539194,59.186794,IAD,78.16201,82.0
43,8.398384,57.92226,IAD,75.1956,86.0
44,5.9121127,60.120125,IAD,75.69142,81.0
45,4.1052175,55.027958,IAD,72.56389,54.0
46,4.9605484,59.001434,IAD,83.592606,78.0
47,3.7876372,49.832664,IAD,67.04324,53.0
48,3.7267196,53.60342,IAD,66.97174,64.0
49,6.3303576,75.0337,IAD,80.658325,92.0
50,4.2500606,83.559715,IAD,78.98882,86.0
51,2.9711597,75.155685,IAD,76.76884,75.0
52,3.981055,59.54321,IAD,68.06799,66.0
53,5.535891,61.39404,IAD,77.50264,80.0
54,3.676828,65.65536,IAD,71.84457,63.0
55,4.1342955,61.31465,IAD,70.07171,76.0
56,4.184097,69.81841,IAD,72.11201,89.0
57,2.8964598,69.2564,IAD,60.064,66.0
58,3.2498615,57.547657,IAD,28.372742,0.0
59,4.721111,62.376198,IAD,67.13555,87.0
60,4.7812114,71.11099,IAD,71.83596,84.0
61,3.811343,75.85891,IAD,76.6775,82.0
62,2.7283878,73.05328,IAD,79.02204,80.0
63,3.2016833,66.41824,IAD,72.6724,89.0
64,5.647156,71.51643,IAD,49.918755,86.0
65,4.2710204,69.9706,IAD,72.578224,62.0
66,2.6209073,67.022766,IAD,78.20697,73.0
67,5.4490805,47.70547,IAD,57.654087,89.0
68,4.654936,65.50218,IAD,61.929836,87.0
69,2.613337,72.21388,IAD,61.728317,81.0
70,4.0534186,68.30704,IAD,64.581436,88.0
