idx,metrics,predict,AD_type,y_pred,y_true
0,3.451254,21.257418,IAD,11.018231,0.0
1,4.892323,15.905295,IAD,11.787815,15.0
2,4.892323,15.905295,IAD,11.787815,19.0
3,7.078996,78.04087,IAD,82.03638,80.0
4,7.078996,78.04087,IAD,82.03638,87.0
5,7.078996,78.04087,IAD,82.03638,83.0
6,12.748723,35.76507,IAD,44.05358,58.0
7,7.9917536,45.349983,IAD,53.514854,41.0
8,1.7144206,87.01828,OAD,88.40042,80.0
9,1.6445898,84.28792,OAD,88.256,93.0
10,2.2376702,86.54738,OAD,87.1021,88.0
11,3.3114934,80.93587,IAD,87.692055,92.0
12,2.8779235,85.41716,IAD,88.91821,87.0
13,4.374969,75.147575,IAD,84.0515,82.0
14,2.259921,84.59596,OAD,72.7666,84.0
15,5.032638,80.5523,IAD,79.96461,80.0
16,2.300521,82.4487,IAD,86.67344,87.0
17,2.11617,85.79191,OAD,83.97865,85.0
18,3.7212746,80.483864,IAD,80.02662,80.0
19,2.2072067,84.73368,OAD,85.320305,86.0
20,3.1259832,83.71032,IAD,81.50429,82.0
21,3.1995425,83.92035,IAD,84.75309,85.0
22,1.5979415,86.77025,OAD,89.58819,87.0
23,4.9463787,28.991354,IAD,38.318424,35.0
24,5.921233,29.200226,IAD,28.473948,31.0
25,5.166231,44.398926,IAD,42.105274,41.0
26,4.559877,33.66865,IAD,27.777481,29.0
27,5.9101152,51.95639,IAD,40.117634,86.0
28,3.8940156,44.546623,IAD,25.034414,0.0
29,11.014146,26.832191,IAD,31.409906,37.0
30,10.576479,43.86094,IAD,57.586365,49.0
31,5.1053143,77.10631,IAD,49.012615,67.0
32,5.423464,59.391903,IAD,50.958893,0.0
33,6.23719,65.53564,IAD,70.43157,72.0
34,4.7705507,71.29515,IAD,71.66734,23.0
35,4.917203,68.01859,IAD,65.4479,48.0
36,6.2003684,51.409927,IAD,41.316067,68.0
37,5.8785014,62.280025,IAD,59.485867,0.0
38,9.088775,64.359886,IAD,38.876125,0.0
39,5.9101152,51.95639,IAD,40.117634,86.0
40,7.013085,49.58577,IAD,45.890873,58.0
41,6.925349,32.262566,IAD,11.916849,9.0
42,8.396537,61.17447,IAD,65.43831,82.0
43,4.570327,66.82531,IAD,78.17531,86.0
44,6.540926,68.04483,IAD,61.562645,81.0
45,12.053673,51.30655,IAD,72.1364,54.0
46,6.6951857,75.60423,IAD,69.568054,78.0
47,8.682499,54.375668,IAD,69.09628,53.0
48,5.771094,71.437584,IAD,72.444916,64.0
49,2.912078,83.88951,IAD,84.64893,92.0
50,2.6555774,88.53475,IAD,89.391426,86.0
51,4.2509894,74.41532,IAD,72.64246,75.0
52,4.1320977,68.43869,IAD,70.224045,66.0
53,8.528257,64.42898,IAD,61.16533,80.0
54,4.8965,61.71484,IAD,70.69412,63.0
55,4.832586,59.645546,IAD,71.46771,76.0
56,3.8945296,75.25956,IAD,78.48748,89.0
57,7.112336,74.96292,IAD,61.43055,66.0
58,3.535646,59.063725,IAD,33.97587,0.0
59,2.6340876,87.42979,IAD,82.19668,87.0
60,6.663232,74.74959,IAD,83.43296,84.0
61,2.0616493,85.955666,OAD,87.66649,82.0
62,2.3366508,86.43173,IAD,90.055855,80.0
63,3.854969,71.02218,IAD,85.24288,89.0
64,5.67215,82.23801,IAD,66.1601,86.0
65,2.795914,83.719315,IAD,86.0932,62.0
66,3.3636503,83.95172,IAD,81.34656,73.0
67,4.206893,81.3375,IAD,80.932144,89.0
68,2.7101498,87.19831,IAD,85.71813,87.0
69,2.904144,84.20432,IAD,87.15443,81.0
70,2.891137,86.86443,IAD,89.1546,88.0
71,3.2151332,83.34872,IAD,86.24555,90.0
72,2.2083373,88.52669,OAD,81.61822,83.0
73,3.3417306,79.25633,IAD,86.63839,88.0
74,3.1835606,84.15058,IAD,85.65485,92.0
75,6.365578,79.150894,IAD,79.92049,89.0
76,2.509917,81.68623,IAD,84.34551,93.0
77,2.6521413,87.338295,IAD,84.45831,86.0
78,3.3020232,84.97133,IAD,38.05136,71.0
79,3.0677762,84.29455,IAD,80.83355,78.0
80,2.501047,85.390045,IAD,87.882286,83.0
81,3.3924181,81.98946,IAD,82.07216,80.0
82,3.924845,86.74986,IAD,77.58304,76.0
83,10.093455,69.03801,IAD,78.53838,75.0
84,4.585777,74.8083,IAD,73.37974,71.0
85,10.093455,69.03801,IAD,78.53838,72.0
86,2.1850276,92.68977,OAD,81.84793,95.0
87,2.7788672,92.48911,IAD,83.991615,93.0
88,2.5052776,90.31359,IAD,93.75768,92.0
89,4.6917505,81.808914,IAD,79.164696,90.0
90,3.6235485,85.55929,IAD,92.11083,93.0
91,2.3612409,88.63364,IAD,87.21477,91.0
92,3.6499116,72.5864,IAD,76.820496,94.0
93,3.4444375,83.07209,IAD,90.576416,91.0
94,2.5710273,81.74634,IAD,75.693214,5.0
95,4.7582917,63.086147,IAD,56.66861,50.0
96,4.7582917,63.086147,IAD,56.66861,95.0
97,6.163035,66.28439,IAD,63.109375,85.0
98,2.370405,85.58111,IAD,76.29439,95.0
99,3.3546884,52.832825,IAD,44.757137,66.0
100,1.5747753,89.23678,OAD,54.94391,17.0
101,9.509322,42.693165,IAD,41.0918,11.0
102,5.638745,80.70275,IAD,47.654133,0.0
103,4.533232,70.401344,IAD,42.14016,93.0
104,10.426541,41.913044,IAD,30.393782,65.0
105,7.74231,54.721996,IAD,53.13693,38.0
106,8.682044,58.0076,IAD,62.815826,85.0
107,5.009015,7.1606655,IAD,45.631027,8.0
108,3.8863497,74.94119,IAD,73.23315,83.0
109,4.149806,67.32243,IAD,81.11767,78.0
110,2.8731356,81.17232,IAD,84.94496,91.0
111,4.4937916,79.12027,IAD,79.30758,89.0
112,9.343221,52.723534,IAD,55.260544,86.0
113,3.5292773,78.118835,IAD,59.087112,82.0
114,2.071223,82.92603,OAD,79.89809,80.0
115,4.1499743,74.31068,IAD,84.30445,82.0
116,2.3063188,85.08932,IAD,81.922806,86.0
117,2.4136188,83.6006,IAD,86.132744,95.0
118,3.0462751,83.898895,IAD,84.60228,86.0
119,2.4363754,82.18993,IAD,88.72401,92.0
120,2.1346645,91.47556,OAD,84.58702,88.0
121,3.8406918,80.71799,IAD,75.784615,72.0
122,4.55462,71.527245,IAD,71.87377,81.0
123,2.0170364,85.17159,OAD,81.770226,80.0
124,8.208983,55.585163,IAD,65.49128,92.0
125,8.386906,38.20047,IAD,43.555714,0.0
126,2.6427422,79.36444,IAD,79.46563,78.0
127,2.8976111,81.61217,IAD,78.677444,76.0
128,3.372436,80.07025,IAD,82.05824,77.0
129,3.6238854,77.33189,IAD,78.652916,80.0
130,2.061206,78.30633,OAD,78.00193,73.0
131,3.1539476,83.304375,IAD,86.61213,75.0
132,5.9593635,70.185616,IAD,65.10546,83.0
133,2.8414624,85.98603,IAD,88.04693,83.0
134,2.2655704,87.78529,OAD,83.59839,86.0
135,7.730023,65.745415,IAD,68.20502,78.0
136,5.777336,61.956936,IAD,76.2154,65.0
137,2.5837183,83.51341,IAD,83.400986,81.0
138,3.8053014,76.763664,IAD,79.213394,88.0
139,3.6691086,80.21424,IAD,81.80087,78.0
140,9.284518,34.58067,IAD,65.031654,63.0
141,3.7367256,62.33389,IAD,64.61514,7.0
142,11.399594,58.911243,IAD,67.90219,75.0
143,3.3462977,86.34812,IAD,71.65707,90.0
