idx,density,log_density,AD_type,y_pred,y_true
0,4.648380616538466e-75,-171.1573630701167,OAD,71.957985,0.0
1,4.648380616538466e-75,-171.1573630701167,OAD,71.957985,15.0
2,4.648380616538466e-75,-171.1573630701167,OAD,71.957985,19.0
3,2.4730045039025063e-80,-183.30137362975574,OAD,22.775913,80.0
4,2.4730045039025063e-80,-183.30137362975574,OAD,22.775913,87.0
5,2.4730045039025063e-80,-183.30137362975574,OAD,22.775913,83.0
6,3.468828012983014e-82,-187.5681608370227,OAD,36.298473,58.0
7,3.468828012983014e-82,-187.5681608370227,OAD,36.298473,41.0
8,4.262438548521376e-83,-189.66472129276926,OAD,52.80454,80.0
9,4.262438548521376e-83,-189.66472129276926,OAD,52.80454,93.0
10,4.262438548521376e-83,-189.66472129276926,OAD,52.80454,88.0
11,2.8670069857306573e-83,-190.06129409500807,OAD,45.02236,92.0
12,2.8670069857306573e-83,-190.06129409500807,OAD,45.02236,87.0
13,3.1923451251000215e-84,-192.25639201585852,OAD,17.310875,82.0
14,1.2689374351680775e-89,-204.69189339142125,OAD,18.980705,84.0
15,1.3169055573384256e-89,-204.65478856672942,OAD,35.2404,80.0
16,5.436426473983064e-94,-214.74987679458945,OAD,24.241245,87.0
17,8.364421922622381e-89,-202.8060860510992,OAD,22.81208,85.0
18,2.7155921787580686e-87,-199.32589304715637,OAD,18.639133,80.0
19,1.8337642849274075e-88,-202.02111734302318,OAD,49.575542,86.0
20,1.619737680037286e-86,-197.54005378725796,OAD,45.0313,82.0
21,2.272752220912201e-87,-199.50391156127102,OAD,41.923725,85.0
22,1.066635527551246e-92,-211.77331922766146,OAD,51.856026,87.0
23,2.0468894866793847e-100,-229.54218798212645,OAD,38.470654,35.0
24,5.553313997529966e-100,-228.54411443317738,OAD,17.446512,31.0
25,5.376102311545477e-99,-226.2739605722053,OAD,61.770943,41.0
26,1.1588118772855744e-123,-283.0705712017647,OAD,50.67388,29.0
27,2.4067097186566355e-89,-204.05181272375495,OAD,62.15061,86.0
28,3.800934406159353e-87,-198.98965615761946,OAD,22.127352,0.0
29,8.47271466326105e-77,-175.16220119989117,OAD,31.417294,37.0
30,4.054402660899537e-76,-173.5966637001038,OAD,45.708347,49.0
31,4.2830991616414405e-107,-244.92192809961816,OAD,46.19491,67.0
32,8.656950655017785e-95,-216.58722129222645,OAD,50.384228,0.0
33,1.8838152339442814e-86,-197.3890188972979,OAD,74.50968,72.0
34,2.4067097186566355e-89,-204.05181272375495,OAD,62.15061,23.0
35,2.4067097186566355e-89,-204.05181272375495,OAD,62.15061,48.0
36,1.4101876725938305e-89,-204.58635047980678,OAD,51.763443,68.0
37,1.126748964202007e-78,-179.4823007902267,OAD,56.192482,0.0
38,2.64802435607859e-83,-190.14074888255846,OAD,46.30195,0.0
39,2.4067097186566355e-89,-204.05181272375495,OAD,62.15061,86.0
40,5.943058492161558e-92,-210.05560465692167,OAD,43.51204,58.0
41,1.2747054407374444e-93,-213.89769852339927,OAD,8.981638,9.0
