idx,density,log_density,AD_type,y_pred,y_true
0,7.39375301544865e-75,-170.69324651797143,IAD,12.1967945,0.0
1,7.39375301544865e-75,-170.69324651797143,IAD,12.1967945,15.0
2,7.39375301544865e-75,-170.69324651797143,IAD,12.1967945,19.0
3,7.420720989879179e-75,-170.68960575364736,IAD,81.572845,80.0
4,7.420720989879179e-75,-170.68960575364736,IAD,81.572845,87.0
5,7.420720989879179e-75,-170.68960575364736,IAD,81.572845,83.0
6,4.969385187704797e-75,-171.0905858467841,IAD,51.92204,58.0
7,4.969385187704797e-75,-171.0905858467841,IAD,51.92204,41.0
8,7.420538832016824e-75,-170.68963030114057,IAD,88.2374,80.0
9,7.420538832016824e-75,-170.68963030114057,IAD,88.2374,93.0
10,7.420538832016824e-75,-170.68963030114057,IAD,88.2374,88.0
11,5.007474265217739e-75,-171.08295032525638,IAD,87.30335,92.0
12,5.007474265217739e-75,-171.08295032525638,IAD,87.30335,87.0
13,2.539869671629337e-75,-171.76176920522155,IAD,83.0148,82.0
14,2.4645139915229157e-75,-171.79188735018047,IAD,82.69876,84.0
15,2.464514824395365e-75,-171.7918870122346,IAD,79.574646,80.0
16,2.483455126674803e-75,-171.78423118773412,IAD,88.18973,87.0
17,2.5014100030404525e-75,-171.777027400452,IAD,85.150154,85.0
18,2.502440542655477e-75,-171.77661550180707,IAD,78.80927,80.0
19,2.5014323019600994e-75,-171.7770184859517,IAD,85.28858,86.0
20,2.5035095068511617e-75,-171.7761884243487,IAD,82.714294,82.0
21,2.46488753732365e-75,-171.79173579190336,IAD,85.4039,85.0
22,2.4834334993970985e-75,-171.78423989631582,IAD,86.67799,87.0
23,2.501404577259121e-75,-171.77702956954352,IAD,36.871536,35.0
24,2.501404577259121e-75,-171.77702956954352,IAD,28.626131,31.0
25,2.4644657759350223e-75,-171.79190691430537,IAD,41.378063,41.0
26,2.4644657759350223e-75,-171.79190691430537,IAD,28.396986,29.0
27,7.294962763259474e-88,-200.64030410593384,OAD,80.56664,86.0
28,2.5571885157957516e-88,-201.6885797645049,OAD,34.70595,0.0
29,2.0184222112778155e-82,-188.10966150282914,OAD,44.99965,37.0
30,1.0466538756945672e-87,-200.27930479997858,OAD,69.513824,49.0
31,8.802061445844972e-97,-221.17576807116208,OAD,46.7527,67.0
32,1.5002979630916158e-93,-213.73474991800373,OAD,60.753998,0.0
33,3.456243031361718e-86,-196.782135827444,OAD,81.59453,72.0
34,7.294962763259474e-88,-200.64030410593384,OAD,80.56664,23.0
35,7.294962763259474e-88,-200.64030410593384,OAD,80.56664,48.0
36,1.6751418054516575e-87,-199.80900526881726,OAD,62.398964,68.0
37,2.1529373534101525e-78,-178.8348041329245,OAD,80.33895,0.0
38,1.3609618211204379e-90,-206.92446669826728,OAD,49.53921,0.0
39,7.294962763259474e-88,-200.64030410593384,OAD,80.56664,86.0
40,1.1490063082124707e-90,-207.09376088043635,OAD,64.269844,58.0
41,3.7466401110840104e-92,-210.51696908746885,OAD,22.947104,9.0
42,1.5837519570594098e-90,-206.77286168109933,OAD,78.16201,82.0
43,2.724545783579036e-91,-208.53294173316155,OAD,75.1956,86.0
44,1.891073111892021e-95,-218.10843938242132,OAD,75.69142,81.0
45,5.856739991824487e-97,-221.58316088702264,OAD,72.56389,54.0
46,2.669794589186923e-99,-226.97392266984664,OAD,83.592606,78.0
47,3.3423349709675615e-100,-229.05183964356365,OAD,67.04324,53.0
48,1.4019034142006234e-93,-213.80258275364733,OAD,66.97174,64.0
49,2.309366183881967e-104,-238.6318765637678,OAD,80.658325,92.0
50,2.8337285706778148e-105,-240.7298414037419,OAD,78.98882,86.0
51,1.1080368976665852e-99,-227.85333431749677,OAD,76.76884,75.0
52,2.568081791061086e-99,-227.01276497098834,OAD,68.06799,66.0
53,1.2652548818733022e-91,-209.2999698729277,OAD,77.50264,80.0
54,1.8977152191075605e-105,-241.1307841180644,OAD,71.84457,63.0
55,1.4149522835062365e-100,-229.91141349078168,OAD,70.07171,76.0
56,1.548231038435008e-104,-239.03173665771482,OAD,72.11201,89.0
57,4.718718685257238e-106,-242.52248255961254,OAD,60.064,66.0
58,4.627022923802955e-107,-244.8446912860948,OAD,28.372742,0.0
59,2.9258717265100284e-97,-222.2771615579823,OAD,67.13555,87.0
60,1.4534955251458995e-106,-243.70004849503178,OAD,71.83596,84.0
61,7.117245175417433e-110,-251.32183949235647,OAD,76.6775,82.0
62,8.453260313310293e-111,-253.4523931194908,OAD,79.02204,80.0
63,7.355893941507934e-99,-225.96042231772944,OAD,72.6724,89.0
64,2.635592141716847e-104,-238.4997417929194,OAD,49.918755,86.0
65,2.6911650429888847e-107,-245.38663074902766,OAD,72.578224,62.0
66,3.236002191228976e-109,-249.80743646001375,OAD,78.20697,73.0
67,3.5969524534608376e-122,-279.63529439903476,OAD,57.654087,89.0
68,9.602205495602852e-127,-290.1663139990307,OAD,61.929836,87.0
69,1.2334180418888005e-132,-303.73144306397796,OAD,61.728317,81.0
70,2.4262248624961655e-143,-328.38333180334155,OAD,64.581436,88.0
71,1.6537107409162247e-132,-303.43821057847964,OAD,52.800102,90.0
72,3.429687548742768e-119,-272.77515690292387,OAD,57.066017,83.0
73,5.582077562800463e-134,-306.8268414310214,OAD,59.79353,88.0
74,1.4555345351304046e-132,-303.5658590639609,OAD,63.789352,92.0
75,1.4585154350628196e-111,-255.20952622923582,OAD,55.46233,89.0
76,1.6076476866699868e-134,-308.07163041478094,OAD,56.049282,93.0
77,1.5859214045120938e-119,-273.54646050009984,OAD,51.699345,86.0
78,2.2290742019245037e-132,-303.1396459320308,OAD,41.56948,71.0
79,5.810911373038026e-121,-276.85305883088813,OAD,55.548622,78.0
80,1.5179703718841106e-123,-282.80059227734756,OAD,57.78488,83.0
81,1.6818435274800829e-134,-308.0265119316362,OAD,52.66015,80.0
82,2.503732080507554e-134,-307.62862001029123,OAD,54.14326,76.0
83,6.869896556432752e-119,-272.08047701745835,OAD,51.497074,75.0
84,3.9740512003839964e-115,-263.41749966642766,OAD,49.73403,71.0
85,6.869896556432752e-119,-272.08047701745835,OAD,51.497074,72.0
86,5.581999162467665e-113,-258.47256852325467,OAD,64.7111,95.0
87,9.268027297485465e-118,-269.4784704213836,OAD,68.43697,93.0
88,4.910439229268363e-113,-258.6007521144589,OAD,65.35015,92.0
89,3.2388755482610084e-112,-256.7143041987716,OAD,57.893375,90.0
90,2.5159777305443444e-111,-254.66428383467505,OAD,65.45242,93.0
91,1.3636253077301998e-109,-250.67162831574453,OAD,59.104862,91.0
92,3.0183354890516106e-111,-254.4822398054639,OAD,60.027893,94.0
93,7.644844964932123e-115,-262.76325413441623,OAD,61.771034,91.0
94,4.4658403252203255e-77,-175.80259476118405,OAD,74.04172,5.0
95,4.4658403252203255e-77,-175.80259476118405,OAD,74.04172,50.0
96,4.4658403252203255e-77,-175.80259476118405,OAD,74.04172,95.0
97,8.521779687407986e-78,-177.45901205100887,OAD,67.03874,85.0
98,1.5771011777234627e-78,-179.14604878925923,OAD,76.02675,95.0
99,7.04229802340004e-78,-177.64970271285185,OAD,44.511826,66.0
100,8.477304273518259e-82,-186.67458511852018,OAD,59.595726,17.0
101,5.560586847085361e-82,-187.09627397478212,OAD,64.847565,11.0
