idx,density,log_density,AD_type,y_pred,y_true
0,5.316942030629213e-76,-173.32556873573108,IAD,11.018231,0.0
1,4.885088836218668e-75,-171.10769450371356,IAD,11.787815,15.0
2,4.885088836218668e-75,-171.10769450371356,IAD,11.787815,19.0
3,9.468026389631978e-77,-175.05113168164905,IAD,82.03638,80.0
4,9.468026389631978e-77,-175.05113168164905,IAD,82.03638,87.0
5,9.468026389631978e-77,-175.05113168164905,IAD,82.03638,83.0
6,7.328612547952284e-75,-170.70209576061606,IAD,44.05358,58.0
7,5.400745685057181e-76,-173.30993003368536,IAD,53.514854,41.0
8,9.810266590119387e-75,-170.41045252600193,IAD,88.40042,80.0
9,1.2560855193221602e-76,-174.7684669131871,IAD,88.256,93.0
10,8.187035779491506e-75,-170.59133007388755,IAD,87.1021,88.0
11,5.002574921894209e-75,-171.08392921029943,IAD,87.692055,92.0
12,6.061019928925039e-75,-170.89200388353078,IAD,88.91821,87.0
13,1.7550801695966842e-75,-172.13136743799706,IAD,84.0515,82.0
14,7.47838199824399e-80,-182.19479098133093,OAD,72.7666,84.0
15,1.6282985570556962e-75,-172.2063463349319,IAD,79.96461,80.0
16,3.223710628274271e-77,-176.12851909542346,IAD,86.67344,87.0
17,2.084939483575239e-75,-171.95914214438804,IAD,83.97865,85.0
18,1.6288798868961133e-75,-172.20598938190855,IAD,80.02662,80.0
19,3.790784337572369e-75,-171.3613090276426,IAD,85.320305,86.0
20,4.3636555202381e-77,-175.82574203238707,IAD,81.50429,82.0
21,1.6286710415122036e-75,-172.20611760423802,IAD,84.75309,85.0
22,4.676138140093221e-78,-178.0591646679983,IAD,89.58819,87.0
23,2.0849302636759265e-75,-171.95914656654023,IAD,38.318424,35.0
24,1.711850904135568e-75,-172.15630678933218,IAD,28.473948,31.0
25,3.5846215816099273e-75,-171.41722906210956,IAD,42.105274,41.0
26,1.9540414281306197e-75,-172.02398221945307,IAD,27.777481,29.0
27,3.258882873288095e-75,-171.51249751480745,IAD,40.117634,86.0
28,3.1384937527178587e-86,-196.87857500924565,OAD,25.034414,0.0
29,1.8715252333953673e-80,-183.5800537082731,OAD,31.409906,37.0
30,1.4121848961494776e-79,-181.55908426974977,OAD,57.586365,49.0
31,5.267729455167302e-86,-196.36071857119612,OAD,49.012615,67.0
32,3.0761500574885783e-80,-183.08312860575134,OAD,50.958893,0.0
33,1.7435756387541604e-78,-179.04569928405988,OAD,70.43157,72.0
34,1.138792489918295e-76,-174.86649858588027,IAD,71.66734,23.0
35,6.531106844809078e-76,-173.11989063712073,IAD,65.4479,48.0
36,2.2582030537102937e-75,-171.87931258651378,IAD,41.316067,68.0
37,7.230386080462254e-82,-186.83368519097948,OAD,59.485867,0.0
38,4.6435291413401e-88,-201.0920135155344,OAD,38.876125,0.0
39,3.258882873288095e-75,-171.51249751480745,IAD,40.117634,86.0
40,7.96373031409405e-77,-175.22415463803523,IAD,45.890873,58.0
41,3.924347212373923e-78,-178.23443723145186,IAD,11.916849,9.0
42,6.543736751998948e-78,-177.72312888242828,OAD,65.43831,82.0
43,6.961946378634479e-78,-177.66117816618194,OAD,78.17531,86.0
44,1.086354631844359e-76,-174.9136393506815,IAD,61.562645,81.0
45,5.543298497462601e-77,-175.5864624403067,IAD,72.1364,54.0
46,1.9161478192356453e-79,-181.25390552004262,OAD,69.568054,78.0
47,1.0484308732577463e-83,-191.06726807849654,OAD,69.09628,53.0
48,2.8207823407554375e-77,-176.26203788826712,OAD,72.444916,64.0
49,9.884979958512693e-78,-177.3106208243796,IAD,84.64893,92.0
50,6.0070763913725406e-77,-175.5061139876955,IAD,89.391426,86.0
51,4.1601753958111425e-77,-175.87349492470256,IAD,72.64246,75.0
52,3.0247641758726435e-76,-173.8896339374928,IAD,70.224045,66.0
53,1.2626659773503827e-77,-177.06582681980697,OAD,61.16533,80.0
54,9.284418700475736e-85,-193.49139531795217,OAD,70.69412,63.0
55,1.289863096780793e-78,-179.34710116732032,IAD,71.46771,76.0
56,4.948326811859074e-77,-175.70000265890806,IAD,78.48748,89.0
57,5.456308947945706e-78,-177.90486470924094,IAD,61.43055,66.0
58,1.0302844105439144e-76,-174.96663217668024,IAD,33.97587,0.0
59,2.048502561207124e-80,-183.48969837123548,OAD,82.19668,87.0
60,5.658453024574003e-77,-175.56590162289746,IAD,83.43296,84.0
61,4.304351846962176e-82,-187.35235105716401,OAD,87.66649,82.0
62,5.877987189032811e-81,-184.73817814400059,OAD,90.055855,80.0
63,4.424218815712537e-79,-180.41712862247655,OAD,85.24288,89.0
64,2.4609202049451867e-80,-183.30627209247413,OAD,66.1601,86.0
65,9.36226632494242e-77,-175.06236477062728,IAD,86.0932,62.0
66,3.587577859380339e-86,-196.74484071367453,OAD,81.34656,73.0
67,2.1050342263928538e-90,-206.4883266428929,OAD,80.932144,89.0
68,1.1718012171651893e-76,-174.83792500070535,IAD,85.71813,87.0
69,5.2053438822520125e-76,-173.3467812999872,IAD,87.15443,81.0
70,1.44049977092528e-77,-176.93406204402353,OAD,89.1546,88.0
71,1.078488435420665e-76,-174.92090660359455,IAD,86.24555,90.0
72,1.1518337214562495e-81,-186.36803731967555,OAD,81.61822,83.0
73,2.0823900919664167e-78,-178.86812093683636,OAD,86.63839,88.0
74,4.261350121498675e-76,-173.5468810275486,IAD,85.65485,92.0
75,7.436688217101893e-89,-202.92364765883573,OAD,79.92049,89.0
76,9.278076035811083e-78,-177.37398305195924,OAD,84.34551,93.0
77,2.8767995656963767e-78,-178.54495883920802,IAD,84.45831,86.0
78,2.1266498273901966e-96,-220.29362103692623,OAD,38.05136,71.0
79,6.093111815157411e-81,-184.70223361000706,OAD,80.83355,78.0
80,3.478801628796884e-76,-173.74977919260758,IAD,87.882286,83.0
81,3.3983505931904556e-85,-194.49644271023024,OAD,82.07216,80.0
82,5.468357247698799e-87,-198.62592483950084,OAD,77.58304,76.0
83,4.4325593758157435e-83,-189.62558556407018,OAD,78.53838,75.0
84,8.125585043414782e-83,-189.0195449875389,OAD,73.37974,71.0
85,4.4325593758157435e-83,-189.62558556407018,OAD,78.53838,72.0
86,7.800023984661212e-85,-193.6656060958465,OAD,81.84793,95.0
87,7.681298871942128e-83,-189.07577406169526,OAD,83.991615,93.0
88,2.2439022266917316e-77,-176.4908357448233,IAD,93.75768,92.0
89,1.2166456995303424e-77,-177.10295451502645,OAD,79.164696,90.0
90,3.959236274512102e-82,-187.43592647881692,OAD,92.11083,93.0
91,3.7513152234313094e-81,-185.1872860277771,OAD,87.21477,91.0
92,7.6270322470385955e-84,-191.38544900031584,OAD,76.820496,94.0
93,1.5067178482998869e-86,-197.61238432277833,OAD,90.576416,91.0
94,6.980484635140429e-77,-175.35593381420898,IAD,75.693214,5.0
95,2.0500756641987634e-75,-171.976005272719,IAD,56.66861,50.0
96,2.0500756641987634e-75,-171.976005272719,IAD,56.66861,95.0
97,7.61970954692603e-77,-175.26831390877075,IAD,63.109375,85.0
98,2.3073584606207817e-78,-178.76553390686456,IAD,76.29439,95.0
99,5.002976394551018e-76,-173.38643405331138,IAD,44.757137,66.0
100,4.109796760487269e-80,-182.7934338622413,OAD,54.94391,17.0
101,2.1373528034621698e-82,-188.05240956993154,OAD,41.0918,11.0
102,6.633069833805018e-82,-186.9199099067854,OAD,47.654133,0.0
103,2.920309781937339e-78,-178.52994755317792,OAD,42.14016,93.0
104,7.237780998554057e-79,-179.92490767902265,OAD,30.393782,65.0
105,1.235492112076012e-77,-177.08758279851358,OAD,53.13693,38.0
106,1.0841274275113632e-79,-181.8234468973662,OAD,62.815826,85.0
107,7.898965073147421e-96,-218.98143717993617,OAD,45.631027,8.0
108,1.7162832934150152e-77,-176.7588910836988,OAD,73.23315,83.0
109,1.4376727056037946e-81,-186.1463669030162,OAD,81.11767,78.0
110,5.8934008674615374e-80,-182.43297421163703,OAD,84.94496,91.0
111,6.5138585595728764e-83,-189.2406307251861,OAD,79.30758,89.0
112,2.2805928859359157e-76,-174.17203162069387,IAD,55.260544,86.0
113,2.9020663701624636e-78,-178.53621422884493,OAD,59.087112,82.0
114,5.4364038305999606e-80,-182.51368965780415,OAD,79.89809,80.0
115,8.281888863948346e-79,-179.79015128048343,OAD,84.30445,82.0
116,8.334349298250985e-87,-198.2045176459229,OAD,81.922806,86.0
117,3.8229328700692634e-91,-208.19422556738817,OAD,86.132744,95.0
118,5.2145881616313266e-80,-182.55534732607214,OAD,84.60228,86.0
119,1.1500008010018928e-83,-190.9748000796075,OAD,88.72401,92.0
120,1.764893849977579e-85,-195.15164235757297,OAD,84.58702,88.0
121,5.59869752250004e-80,-182.48427345410255,OAD,75.784615,72.0
122,1.2420520610557348e-82,-188.59521272576484,OAD,71.87377,81.0
123,2.467672225789491e-83,-190.21128743093033,OAD,81.770226,80.0
124,1.6765232165801824e-82,-188.29525549044,OAD,65.49128,92.0
125,9.53385697256457e-79,-179.64937299168827,IAD,43.555714,0.0
126,6.361466534864724e-96,-219.19790998941463,OAD,79.46563,78.0
127,5.053775116841216e-91,-207.9151079505563,OAD,78.677444,76.0
128,3.247996951761726e-79,-180.72618386272762,OAD,82.05824,77.0
129,9.187563628561614e-89,-202.71222248639737,OAD,78.652916,80.0
130,1.0612101263446237e-80,-184.1473975539351,OAD,78.00193,73.0
131,3.4045026036743327e-82,-187.5868787747968,OAD,86.61213,75.0
132,7.870107177525564e-83,-189.05149103767803,OAD,65.10546,83.0
133,1.335620994674605e-84,-193.12775146325285,OAD,88.04693,83.0
134,2.6452518328208698e-87,-199.35213681880762,OAD,83.59839,86.0
135,1.9603012340841022e-78,-178.92853910124313,OAD,68.20502,78.0
136,2.156312248555693e-78,-178.83323778325934,OAD,76.2154,65.0
137,5.218195784561518e-81,-184.85724082551022,OAD,83.400986,81.0
138,2.0264013739667154e-81,-185.80313103477928,OAD,79.213394,88.0
139,1.4041153502525478e-86,-197.68291053695958,OAD,81.80087,78.0
140,3.5670870781576676e-76,-173.72471774931347,IAD,65.031654,63.0
141,3.844773365355999e-77,-175.95233750201135,IAD,64.61514,7.0
142,3.4561233740609955e-78,-178.3614897047179,OAD,67.90219,75.0
143,5.997790439243298e-77,-175.507661019264,IAD,71.65707,90.0
144,3.438005224964059e-78,-178.36674582680757,OAD,64.32411,65.0
145,1.7899755798350854e-78,-179.0194352763262,OAD,58.236843,58.0
146,1.8437141891302984e-79,-181.29244022845683,OAD,35.621803,45.0
147,7.144857662379202e-79,-179.93782945663673,OAD,36.78175,0.0
148,8.88072395730154e-79,-179.7203392661255,OAD,62.471176,70.0
149,3.2935871842069385e-81,-185.31741523217178,OAD,43.636314,0.0
150,6.87469343554449e-80,-182.27896038815877,OAD,68.3596,25.0
151,3.7881223895681546e-82,-187.4801071408978,OAD,66.83299,80.0
152,7.1769655772683144e-124,-283.54967485908156,OAD,71.337,76.0
153,1.9292088395312436e-77,-176.64194216937207,IAD,68.80401,67.0
154,1.0118053737393066e-95,-218.73384760050405,OAD,76.889984,53.0
155,1.4474272681615663e-78,-179.23184957085346,OAD,59.605404,78.0
156,1.7459547787513355e-81,-185.95209097534902,OAD,60.136677,60.0
157,3.6612306043863475e-75,-171.39608265294638,IAD,80.01442,100.0
158,3.0068244905588914e-75,-171.59299743920792,IAD,78.40253,84.0
159,3.3938735381374786e-77,-176.0770802548428,IAD,76.59129,90.0
160,9.305842167052663e-81,-184.27875013958158,OAD,78.75169,92.0
161,1.0171642011978721e-79,-181.88720378605746,OAD,88.48305,99.0
162,3.4730367934972744e-79,-180.65919297866967,OAD,84.43462,92.0
163,3.636301396945361e-78,-178.3106701882065,IAD,85.97129,91.0
164,2.9282332511915867e-81,-185.4349932772993,OAD,77.38,73.0
165,7.939718218914242e-85,-193.6478551186663,OAD,79.91182,95.0
166,2.6046792516739017e-89,-203.97276373680188,OAD,91.54681,85.0
167,2.686201413192587e-82,-187.82384954392546,OAD,82.11775,98.0
168,9.289360863307017e-82,-186.58310787340503,OAD,84.288864,95.0
169,2.5077209560592527e-84,-192.49777345645856,OAD,79.848785,53.0
170,7.387842783602005e-84,-191.4173120293565,OAD,67.026634,70.0
