idx,metrics,AD_type,judge_value,y_pred,y_true
0,173.12567507950658,OAD,132.93225655192543,11.018231,0.0
1,208.42789766381915,OAD,128.77570594718208,11.787815,15.0
2,208.42789766381915,OAD,128.77570594718208,11.787815,19.0
3,188.06421799002106,OAD,135.15201671875872,82.03638,80.0
4,188.06421799002106,OAD,135.15201671875872,82.03638,87.0
5,188.06421799002106,OAD,135.15201671875872,82.03638,83.0
6,174.57786955915725,OAD,131.14570327294913,44.05358,58.0
7,177.34364473369874,OAD,132.93225655192543,53.514854,41.0
8,150.741007015954,OAD,133.94718660719155,88.40042,80.0
9,167.66829240915877,OAD,135.15201671875872,88.256,93.0
10,211.7546441935133,OAD,128.77570594718208,87.1021,88.0
11,188.87897393166745,OAD,128.77570594718208,87.692055,92.0
12,128.33422128904195,IAD,133.94718660719155,88.91821,87.0
13,179.01223501144955,OAD,128.77570594718208,84.0515,82.0
14,247.13526964435349,OAD,131.14570327294913,72.7666,84.0
15,223.17298694842708,OAD,128.77570594718208,79.96461,80.0
16,319.7555406878458,OAD,135.15201671875872,86.67344,87.0
17,210.49044047679254,OAD,133.94718660719155,83.97865,85.0
18,213.70808542605658,OAD,128.77570594718208,80.02662,80.0
19,202.77751807802747,OAD,131.14570327294913,85.320305,86.0
20,190.3688202610543,OAD,128.77570594718208,81.50429,82.0
21,228.25673322144817,OAD,128.77570594718208,84.75309,85.0
22,299.6847384577515,OAD,132.93225655192543,89.58819,87.0
23,312.6738837870948,OAD,133.94718660719155,38.318424,35.0
24,344.65051973116067,OAD,128.77570594718208,28.473948,31.0
25,388.02952171851325,OAD,131.14570327294913,42.105274,41.0
26,523.5251697313187,OAD,133.94718660719155,27.777481,29.0
27,206.60498581458685,OAD,128.77570594718208,40.117634,86.0
28,282.3670836728641,OAD,128.77570594718208,25.034414,0.0
29,187.71600753913725,OAD,133.94718660719155,31.409906,37.0
30,197.80396121863174,OAD,131.14570327294913,57.586365,49.0
31,241.60859993907152,OAD,131.14570327294913,49.012615,67.0
32,239.8405687596858,OAD,131.14570327294913,50.958893,0.0
33,164.99057317653222,OAD,133.94718660719155,70.43157,72.0
