idx,metrics,AD_type,y_pred,y_true
0,3.9468617,OAD,71.957985,0.0
1,3.9468617,OAD,71.957985,15.0
2,3.9468617,OAD,71.957985,19.0
3,4.9745636,OAD,22.775913,80.0
4,4.9745636,OAD,22.775913,87.0
5,4.9745636,OAD,22.775913,83.0
6,6.7358346,OAD,36.298473,58.0
7,6.7358346,OAD,36.298473,41.0
8,7.2115536,OAD,52.80454,80.0
9,7.2115536,OAD,52.80454,93.0
10,7.2115536,OAD,52.80454,88.0
11,4.9338794,OAD,45.02236,92.0
12,4.9338794,OAD,45.02236,87.0
13,14.02534,OAD,17.310875,82.0
14,11.250829,OAD,18.980705,84.0
15,9.20261,OAD,35.2404,80.0
16,6.9755974,OAD,24.241245,87.0
17,9.498054,OAD,22.81208,85.0
18,13.3645935,OAD,18.639133,80.0
19,5.2630696,OAD,49.575542,86.0
20,5.7913613,OAD,45.0313,82.0
21,6.4871454,OAD,41.923725,85.0
22,8.575319,OAD,51.856026,87.0
23,6.293205,OAD,38.470654,35.0
24,6.7243586,OAD,17.446512,31.0
25,5.595875,OAD,61.770943,41.0
26,5.253977,OAD,50.67388,29.0
27,9.944119,OAD,62.15061,86.0
28,12.220599,OAD,22.127352,0.0
29,10.988651,OAD,31.417294,37.0
30,6.280342,OAD,45.708347,49.0
31,7.6204185,OAD,46.19491,67.0
32,8.438577,OAD,50.384228,0.0
33,8.420275,OAD,74.50968,72.0
34,9.944119,OAD,62.15061,23.0
35,9.944119,OAD,62.15061,48.0
36,5.8813305,OAD,51.763443,68.0
37,6.763818,OAD,56.192482,0.0
38,4.1519537,OAD,46.30195,0.0
39,9.944119,OAD,62.15061,86.0
40,7.73485,OAD,43.51204,58.0
41,8.569003,OAD,8.981638,9.0
42,3.1110842,OAD,68.77226,82.0
43,5.027184,OAD,63.328045,86.0
44,4.856672,OAD,66.519005,81.0
45,6.9116726,OAD,56.143555,54.0
46,3.305628,OAD,77.410706,78.0
47,5.5850973,OAD,55.389908,53.0
48,5.9636536,OAD,55.814995,64.0
49,3.2684658,OAD,77.77391,92.0
50,4.259367,OAD,77.18124,86.0
51,6.424251,OAD,68.62872,75.0
52,6.435995,OAD,62.886322,66.0
53,6.3018413,OAD,70.13226,80.0
54,4.7663164,OAD,56.14133,63.0
55,6.264945,OAD,62.62891,76.0
56,4.309318,OAD,68.44145,89.0
57,3.074535,OAD,54.310513,66.0
58,6.173183,OAD,24.841894,0.0
59,2.7878237,OAD,55.55029,87.0
60,1.2798202,IAD,67.95369,84.0
61,3.6614876,OAD,72.570305,82.0
62,3.0661354,OAD,80.29378,80.0
63,1.9892238,IAD,66.02223,89.0
64,3.3959174,OAD,54.2878,86.0
65,4.8964505,OAD,66.93987,62.0
66,5.285311,OAD,74.23943,73.0
67,5.440346,OAD,41.963066,89.0
68,3.1877222,OAD,46.37155,87.0
69,4.9074616,OAD,35.389183,81.0
70,4.447821,OAD,44.067307,88.0
71,5.514708,OAD,46.811344,90.0
72,4.9180903,OAD,32.705677,83.0
73,5.9976273,OAD,32.111675,88.0
74,5.7920766,OAD,30.884232,92.0
75,6.046086,OAD,42.97282,89.0
76,6.5389557,OAD,44.63535,93.0
77,4.741617,OAD,44.949425,86.0
78,4.945189,OAD,35.65294,71.0
79,6.813243,OAD,39.3194,78.0
80,6.9438634,OAD,45.063343,83.0
81,5.507602,OAD,40.2772,80.0
82,5.9629436,OAD,37.606606,76.0
83,6.9446826,OAD,51.64329,75.0
84,7.04165,OAD,35.778812,71.0
85,6.9446826,OAD,51.64329,72.0
86,8.691531,OAD,65.09211,95.0
87,8.389457,OAD,72.216995,93.0
88,5.697309,OAD,57.36936,92.0
89,3.3173957,OAD,55.857494,90.0
90,4.9979005,OAD,57.836636,93.0
91,6.6691165,OAD,50.985943,91.0
92,6.0926456,OAD,55.122784,94.0
93,5.633182,OAD,54.201668,91.0
94,2.8383384,OAD,70.44448,5.0
95,2.8383384,OAD,70.44448,50.0
96,2.8383384,OAD,70.44448,95.0
97,6.741653,OAD,42.38088,85.0
98,2.594571,OAD,71.14511,95.0
99,5.025496,OAD,45.04419,66.0
100,4.263887,OAD,59.665516,17.0
101,3.772955,OAD,66.17172,11.0
102,4.003037,OAD,54.981606,0.0
103,4.534773,OAD,59.562733,93.0
104,6.983605,OAD,12.809492,65.0
105,2.0841873,OAD,45.7749,38.0
106,4.2094,OAD,64.99957,85.0
107,8.684687,OAD,24.194843,8.0
108,3.4085243,OAD,68.99337,83.0
109,1.9085186,IAD,66.71027,78.0
110,2.529399,OAD,74.47403,91.0
111,4.172307,OAD,60.081787,89.0
112,3.7713962,OAD,62.055416,86.0
113,4.5893106,OAD,65.70719,82.0
114,2.732165,OAD,67.610855,80.0
115,4.269552,OAD,77.56399,82.0
116,3.9889054,OAD,67.60559,86.0
117,3.3588355,OAD,75.983604,95.0
118,5.6339183,OAD,65.016266,86.0
119,3.3316731,OAD,76.84793,92.0
120,2.1948683,OAD,80.215355,88.0
