idx,metrics,AD_type,y_pred,y_true
0,2.777582,OAD,12.1967945,0.0
1,2.777582,OAD,12.1967945,15.0
2,2.777582,OAD,12.1967945,19.0
3,1.3927888,OAD,81.572845,80.0
4,1.3927888,OAD,81.572845,87.0
5,1.3927888,OAD,81.572845,83.0
6,5.636508,OAD,51.92204,58.0
7,5.636508,OAD,51.92204,41.0
8,1.8174614,OAD,88.2374,80.0
9,1.8174614,OAD,88.2374,93.0
10,1.8174614,OAD,88.2374,88.0
11,7.7981386,OAD,87.30335,92.0
12,7.7981386,OAD,87.30335,87.0
13,7.1717587,OAD,83.0148,82.0
14,2.5045376,OAD,82.69876,84.0
15,3.2845938,OAD,79.574646,80.0
16,2.0695417,OAD,88.18973,87.0
17,4.1859965,OAD,85.150154,85.0
18,1.7118645,OAD,78.80927,80.0
19,4.1371226,OAD,85.28858,86.0
20,0.7308852,IAD,82.714294,82.0
21,1.7331876,OAD,85.4039,85.0
22,2.3074698,OAD,86.67799,87.0
23,6.8493114,OAD,36.871536,35.0
24,2.201429,OAD,28.626131,31.0
25,10.345086,OAD,41.378063,41.0
26,6.763109,OAD,28.396986,29.0
27,3.6737525,OAD,80.56664,86.0
28,5.8212595,OAD,34.70595,0.0
29,8.4253025,OAD,44.99965,37.0
30,5.8282313,OAD,69.513824,49.0
31,7.840348,OAD,46.7527,67.0
32,9.785252,OAD,60.753998,0.0
33,5.545228,OAD,81.59453,72.0
34,3.6737525,OAD,80.56664,23.0
35,3.6737525,OAD,80.56664,48.0
36,1.8708744,OAD,62.398964,68.0
37,5.977622,OAD,80.33895,0.0
38,8.026794,OAD,49.53921,0.0
39,3.6737525,OAD,80.56664,86.0
40,2.6310153,OAD,64.269844,58.0
41,6.188691,OAD,22.947104,9.0
42,3.439669,OAD,78.16201,82.0
43,4.642674,OAD,75.1956,86.0
44,3.289421,OAD,75.69142,81.0
45,4.394005,OAD,72.56389,54.0
46,2.824411,OAD,83.592606,78.0
47,2.1540792,OAD,67.04324,53.0
48,2.318717,OAD,66.97174,64.0
49,2.2207499,OAD,80.658325,92.0
50,1.9157269,OAD,78.98882,86.0
51,3.5815182,OAD,76.76884,75.0
52,2.9831312,OAD,68.06799,66.0
53,2.5243568,OAD,77.50264,80.0
54,3.0869656,OAD,71.84457,63.0
55,2.0541582,OAD,70.07171,76.0
56,4.984855,OAD,72.11201,89.0
57,3.922476,OAD,60.064,66.0
58,8.873663,OAD,28.372742,0.0
59,4.6578236,OAD,67.13555,87.0
60,3.9565496,OAD,71.83596,84.0
61,2.9478118,OAD,76.6775,82.0
62,2.394085,OAD,79.02204,80.0
63,4.6040564,OAD,72.6724,89.0
64,3.875199,OAD,49.918755,86.0
65,2.67585,OAD,72.578224,62.0
66,5.0973845,OAD,78.20697,73.0
67,7.241828,OAD,57.654087,89.0
68,4.5267367,OAD,61.929836,87.0
69,3.5956035,OAD,61.728317,81.0
70,4.0852966,OAD,64.581436,88.0
71,5.659212,OAD,52.800102,90.0
72,4.131067,OAD,57.066017,83.0
73,2.5228326,OAD,59.79353,88.0
74,3.433593,OAD,63.789352,92.0
75,5.985053,OAD,55.46233,89.0
76,4.291447,OAD,56.049282,93.0
77,6.114876,OAD,51.699345,86.0
78,3.0643566,OAD,41.56948,71.0
79,3.2233925,OAD,55.548622,78.0
80,2.8856764,OAD,57.78488,83.0
81,2.9936314,OAD,52.66015,80.0
82,2.9515786,OAD,54.14326,76.0
83,4.9963393,OAD,51.497074,75.0
84,4.9609675,OAD,49.73403,71.0
85,4.9963393,OAD,51.497074,72.0
86,1.955087,OAD,64.7111,95.0
87,1.740062,OAD,68.43697,93.0
88,4.5011597,OAD,65.35015,92.0
89,1.1214875,OAD,57.893375,90.0
90,3.816721,OAD,65.45242,93.0
91,1.6942729,OAD,59.104862,91.0
92,1.5807016,OAD,60.027893,94.0
93,3.5499113,OAD,61.771034,91.0
94,4.624385,OAD,74.04172,5.0
