idx,metrics,AD_type,y_pred,y_true
27,4.9278326,OAD,70.02443,86.0
28,8.170597,OAD,41.505978,0.0
29,11.058234,OAD,54.40138,37.0
30,4.4015975,OAD,77.89848,49.0
31,2.4724004,OAD,48.301178,67.0
32,8.487135,OAD,62.153595,0.0
33,5.1874404,OAD,75.62608,72.0
34,4.9278326,OAD,70.02443,23.0
35,4.9278326,OAD,70.02443,48.0
36,4.2503614,OAD,60.501667,68.0
37,4.192828,OAD,81.99407,0.0
38,7.5577674,OAD,53.922962,0.0
39,4.9278326,OAD,70.02443,86.0
40,5.8879285,OAD,61.07066,58.0
41,7.4363813,OAD,28.821978,9.0
42,5.678407,OAD,63.199318,82.0
43,5.712354,OAD,63.667408,86.0
44,5.5150113,OAD,59.19471,81.0
45,4.6635995,OAD,54.19578,54.0
46,5.77994,OAD,61.420006,78.0
47,5.010268,OAD,60.810635,53.0
48,4.5361276,OAD,59.9724,64.0
49,3.4308875,OAD,73.78078,92.0
50,3.0430164,OAD,77.07962,86.0
51,3.7195835,OAD,72.68032,75.0
52,2.6296384,OAD,68.05678,66.0
53,3.1350827,OAD,67.70972,80.0
54,5.2894855,OAD,65.9265,63.0
55,3.6472368,OAD,68.772285,76.0
56,9.277559,OAD,60.333313,89.0
57,7.387928,OAD,54.150593,66.0
58,4.2389016,OAD,24.856722,0.0
59,10.284031,OAD,49.29956,87.0
60,10.166055,OAD,56.098015,84.0
61,9.01722,OAD,57.61497,82.0
62,7.4272685,OAD,59.886017,80.0
63,11.377133,OAD,59.881985,89.0
64,6.433421,OAD,55.86174,86.0
65,8.723924,OAD,56.791794,62.0
66,6.4489403,OAD,67.20671,73.0
67,9.360636,OAD,14.119232,89.0
68,7.8431406,OAD,18.862839,87.0
69,7.9931216,OAD,14.835124,81.0
70,5.970515,OAD,15.8788805,88.0
71,6.207252,OAD,19.15034,90.0
72,9.119078,OAD,7.3120537,83.0
73,8.331115,OAD,19.510553,88.0
74,8.832379,OAD,21.066137,92.0
75,10.62172,OAD,19.671738,89.0
76,7.6789155,OAD,20.219696,93.0
77,8.99412,OAD,17.504938,86.0
78,6.2043433,OAD,7.219782,71.0
79,9.054427,OAD,9.564825,78.0
80,7.530791,OAD,14.766066,83.0
81,8.1276455,OAD,18.870766,80.0
82,5.3410115,OAD,15.365982,76.0
83,10.769575,OAD,9.545474,75.0
84,11.481342,OAD,10.240932,71.0
85,10.769575,OAD,9.545474,72.0
86,5.496158,OAD,53.03972,95.0
87,2.685176,OAD,50.326385,93.0
88,8.121958,OAD,53.410797,92.0
89,1.6887233,OAD,50.312637,90.0
