idx,metrics,AD_type,y_pred,y_true
0,4.771404,OAD,11.018231,0.0
1,3.6346924,OAD,11.787815,15.0
2,3.6346924,OAD,11.787815,19.0
3,3.6243942,OAD,82.03638,80.0
4,3.6243942,OAD,82.03638,87.0
5,3.6243942,OAD,82.03638,83.0
6,2.1343207,OAD,44.05358,58.0
7,2.7211545,OAD,53.514854,41.0
8,1.2434075,IAD,88.40042,80.0
9,1.6017445,IAD,88.256,93.0
10,1.0131954,IAD,87.1021,88.0
11,0.6040745,IAD,87.692055,92.0
12,0.81418324,IAD,88.91821,87.0
13,2.3661442,OAD,84.0515,82.0
14,0.66611165,IAD,72.7666,84.0
15,0.4961714,IAD,79.96461,80.0
16,0.6768661,IAD,86.67344,87.0
17,0.7890798,IAD,83.97865,85.0
18,1.6876315,IAD,80.02662,80.0
19,0.87807095,IAD,85.320305,86.0
20,1.893534,IAD,81.50429,82.0
21,0.93045354,IAD,84.75309,85.0
22,3.5368757,OAD,89.58819,87.0
23,8.059377,OAD,38.318424,35.0
24,3.5490475,OAD,28.473948,31.0
25,9.46003,OAD,42.105274,41.0
26,4.802285,OAD,27.777481,29.0
27,7.5739617,OAD,40.117634,86.0
28,9.053118,OAD,25.034414,0.0
29,5.8980956,OAD,31.409906,37.0
30,7.396441,OAD,57.586365,49.0
31,12.35215,OAD,49.012615,67.0
32,8.69726,OAD,50.958893,0.0
33,4.8838353,OAD,70.43157,72.0
34,2.650182,OAD,71.66734,23.0
35,7.741521,OAD,65.4479,48.0
36,6.8157873,OAD,41.316067,68.0
37,3.181893,OAD,59.485867,0.0
38,14.8060055,OAD,38.876125,0.0
39,7.5739617,OAD,40.117634,86.0
40,0.88851285,IAD,45.890873,58.0
41,3.4123883,OAD,11.916849,9.0
42,5.1409407,OAD,65.43831,82.0
43,2.5320055,OAD,78.17531,86.0
44,4.134082,OAD,61.562645,81.0
45,5.628838,OAD,72.1364,54.0
46,8.1546955,OAD,69.568054,78.0
47,3.5915794,OAD,69.09628,53.0
48,3.7218094,OAD,72.444916,64.0
49,0.66582763,IAD,84.64893,92.0
50,5.7727056,OAD,89.391426,86.0
51,1.7568073,IAD,72.64246,75.0
52,3.1703532,OAD,70.224045,66.0
53,5.146121,OAD,61.16533,80.0
54,3.8667796,OAD,70.69412,63.0
55,5.279289,OAD,71.46771,76.0
56,2.1545713,OAD,78.48748,89.0
57,5.213505,OAD,61.43055,66.0
58,7.6618767,OAD,33.97587,0.0
59,4.4351377,OAD,82.19668,87.0
60,3.382212,OAD,83.43296,84.0
61,1.1572225,IAD,87.66649,82.0
62,1.4444497,IAD,90.055855,80.0
63,3.3583677,OAD,85.24288,89.0
64,4.902898,OAD,66.1601,86.0
65,1.7886585,IAD,86.0932,62.0
66,2.2236607,OAD,81.34656,73.0
67,7.0547867,OAD,80.932144,89.0
68,1.7736777,IAD,85.71813,87.0
69,2.5342898,OAD,87.15443,81.0
70,3.27541,OAD,89.1546,88.0
71,1.4729621,IAD,86.24555,90.0
72,2.9004357,OAD,81.61822,83.0
73,2.0901332,OAD,86.63839,88.0
74,2.357235,OAD,85.65485,92.0
75,8.253686,OAD,79.92049,89.0
76,1.2713013,IAD,84.34551,93.0
77,2.2734656,OAD,84.45831,86.0
78,13.130119,OAD,38.05136,71.0
79,4.4625845,OAD,80.83355,78.0
80,1.7567905,IAD,87.882286,83.0
81,1.8514286,IAD,82.07216,80.0
82,4.999431,OAD,77.58304,76.0
83,3.0261996,OAD,78.53838,75.0
84,2.1869879,OAD,73.37974,71.0
85,3.0261996,OAD,78.53838,72.0
86,2.8592606,OAD,81.84793,95.0
87,1.3225849,IAD,83.991615,93.0
88,4.049354,OAD,93.75768,92.0
89,4.525948,OAD,79.164696,90.0
90,4.5054097,OAD,92.11083,93.0
91,3.8758607,OAD,87.21477,91.0
92,4.889214,OAD,76.820496,94.0
93,4.286377,OAD,90.576416,91.0
94,2.324864,OAD,75.693214,5.0
95,18.019547,OAD,56.66861,50.0
96,18.019547,OAD,56.66861,95.0
97,8.384712,OAD,63.109375,85.0
98,3.1572635,OAD,76.29439,95.0
99,12.335147,OAD,44.757137,66.0
100,18.679674,OAD,54.94391,17.0
101,5.336193,OAD,41.0918,11.0
102,16.702171,OAD,47.654133,0.0
103,8.390459,OAD,42.14016,93.0
104,8.914437,OAD,30.393782,65.0
105,8.059923,OAD,53.13693,38.0
106,12.923578,OAD,62.815826,85.0
107,10.921597,OAD,45.631027,8.0
108,2.1606176,OAD,73.23315,83.0
109,1.7327261,IAD,81.11767,78.0
110,2.4041495,OAD,84.94496,91.0
111,3.6677735,OAD,79.30758,89.0
112,4.428136,OAD,55.260544,86.0
113,1.3708473,IAD,59.087112,82.0
114,1.6612023,IAD,79.89809,80.0
115,2.7480617,OAD,84.30445,82.0
116,0.77661043,IAD,81.922806,86.0
117,3.058753,OAD,86.132744,95.0
118,2.1372812,OAD,84.60228,86.0
119,2.9295251,OAD,88.72401,92.0
120,1.9580073,OAD,84.58702,88.0
121,1.8977801,IAD,75.784615,72.0
122,2.3663654,OAD,71.87377,81.0
123,3.51396,OAD,81.770226,80.0
124,3.1120274,OAD,65.49128,92.0
125,4.6278152,OAD,43.555714,0.0
126,2.3772552,OAD,79.46563,78.0
127,2.2391906,OAD,78.677444,76.0
128,6.7927737,OAD,82.05824,77.0
129,1.5924394,IAD,78.652916,80.0
130,5.311338,OAD,78.00193,73.0
131,1.8877199,IAD,86.61213,75.0
132,12.533271,OAD,65.10546,83.0
133,2.3960567,OAD,88.04693,83.0
134,1.9725326,OAD,83.59839,86.0
135,6.639831,OAD,68.20502,78.0
136,5.0109773,OAD,76.2154,65.0
137,2.8771203,OAD,83.400986,81.0
138,1.6107054,IAD,79.213394,88.0
139,3.3959293,OAD,81.80087,78.0
140,18.513016,OAD,65.031654,63.0
141,2.4591486,OAD,64.61514,7.0
142,17.582067,OAD,67.90219,75.0
143,4.956194,OAD,71.65707,90.0
144,2.9107342,OAD,64.32411,65.0
145,7.523648,OAD,58.236843,58.0
146,10.246663,OAD,35.621803,45.0
147,6.187528,OAD,36.78175,0.0
148,7.6722355,OAD,62.471176,70.0
149,5.3550034,OAD,43.636314,0.0
150,3.931247,OAD,68.3596,25.0
151,7.6242228,OAD,66.83299,80.0
152,4.42461,OAD,71.337,76.0
153,5.3631306,OAD,68.80401,67.0
154,4.2964787,OAD,76.889984,53.0
155,4.475897,OAD,59.605404,78.0
156,5.4765334,OAD,60.136677,60.0
157,5.9561234,OAD,80.01442,100.0
158,10.164981,OAD,78.40253,84.0
159,6.7668257,OAD,76.59129,90.0
160,3.8066652,OAD,78.75169,92.0
161,3.0192354,OAD,88.48305,99.0
162,2.8498049,OAD,84.43462,92.0
163,2.8201072,OAD,85.97129,91.0
164,3.2314873,OAD,77.38,73.0
165,3.5828428,OAD,79.91182,95.0
166,5.5537305,OAD,91.54681,85.0
167,1.2191306,IAD,82.11775,98.0
168,1.9721187,OAD,84.288864,95.0
169,6.1861115,OAD,79.848785,53.0
170,7.9990754,OAD,67.026634,70.0
171,1.8341961,IAD,76.728516,57.0
172,4.93131,OAD,66.96888,73.0
173,6.8755865,OAD,82.818954,92.0
174,7.9399123,OAD,84.00495,96.0
175,4.1259437,OAD,96.22182,82.0
176,9.173048,OAD,70.942924,95.0
177,5.331395,OAD,97.18535,45.0
178,1.7117769,IAD,68.55567,94.0
179,6.1731353,OAD,75.86415,64.0
180,6.210439,OAD,73.136314,61.0
181,5.9563456,OAD,70.25165,67.0
182,5.5514455,OAD,64.92174,65.0
183,4.8318634,OAD,65.78373,75.0
184,4.0895805,OAD,57.397186,75.0
185,3.4469435,OAD,44.86067,64.0
186,6.068813,OAD,41.294487,80.0
187,8.650021,OAD,37.780598,46.0
188,5.7025137,OAD,51.908455,19.0
189,4.686895,OAD,53.30138,8.0
190,5.451822,OAD,39.03868,52.0
191,11.788302,OAD,44.09749,41.0
192,2.10262,OAD,55.322754,28.0
193,6.4325857,OAD,42.358063,40.0
194,10.552409,OAD,42.339333,11.0
195,5.325773,OAD,30.73215,10.0
196,4.0492716,OAD,78.64196,68.0
197,4.626848,OAD,78.108635,95.0
198,7.221756,OAD,61.677723,0.0
199,4.4903407,OAD,79.81098,91.0
200,2.4085045,OAD,77.47025,91.0
201,1.4154524,IAD,88.598015,87.0
202,1.1605655,IAD,86.761406,78.0
203,2.5665052,OAD,69.688896,89.0
204,2.9178333,OAD,78.00668,68.0
205,4.462768,OAD,64.91555,60.0
206,2.7310202,OAD,73.15897,67.0
207,2.2876618,OAD,91.72507,91.0
208,1.7379586,IAD,82.63281,90.0
209,1.1283692,IAD,84.81887,75.0
210,3.1855507,OAD,76.66799,87.0
211,2.8815951,OAD,82.64521,72.0
212,0.87107724,IAD,78.37143,75.0
213,2.1307716,OAD,92.3052,95.0
214,2.934382,OAD,90.290825,92.0
215,1.8515205,IAD,91.2009,94.0
216,5.795066,OAD,79.50817,86.0
217,6.06561,OAD,80.01238,88.0
218,2.8038049,OAD,69.469345,63.0
219,3.3482244,OAD,67.371994,65.0
220,4.040703,OAD,81.10456,79.0
221,3.6191652,OAD,78.116615,81.0
222,1.5633209,IAD,63.997234,58.0
223,1.627276,IAD,53.480255,61.0
224,3.5513422,OAD,68.13191,78.0
225,2.6437733,OAD,70.48369,79.0
226,1.4465253,IAD,80.949005,80.0
227,2.2278626,OAD,81.33954,82.0
228,3.0738332,OAD,86.661064,86.0
229,3.7245398,OAD,83.5486,90.0
230,3.7936854,OAD,52.273422,30.0
231,11.694322,OAD,39.096306,27.0
232,4.2229004,OAD,47.793034,55.0
233,8.179074,OAD,81.56537,93.0
234,10.501518,OAD,33.264652,18.0
235,10.370062,OAD,37.145443,24.0
236,6.180864,OAD,47.41884,26.0
237,13.609486,OAD,81.799576,85.0
238,8.147623,OAD,71.56917,49.0
239,7.634424,OAD,56.34969,80.0
240,7.718654,OAD,44.95255,40.0
241,9.875429,OAD,55.985912,90.0
242,12.854735,OAD,37.734566,20.0
243,15.675508,OAD,20.633158,27.0
244,6.4236784,OAD,76.35407,93.0
245,11.637003,OAD,65.70645,0.0
246,0.84738183,IAD,95.09224,99.0
247,2.5977347,OAD,90.25187,82.0
248,2.921415,OAD,92.74212,84.0
249,3.799263,OAD,87.15783,87.0
250,6.8668637,OAD,82.015564,96.0
251,5.907801,OAD,82.791306,85.0
252,0.9618071,IAD,91.32044,96.0
253,3.3137627,OAD,94.29618,98.0
254,2.3452277,OAD,84.14068,94.0
255,2.768674,OAD,75.29261,72.0
256,0.9091746,IAD,90.07998,99.0
257,4.160981,OAD,90.11195,98.0
258,1.9549246,OAD,98.4785,98.0
259,3.2686412,OAD,88.91842,92.0
260,2.2322435,OAD,93.09142,97.0
261,2.0750365,OAD,90.563675,86.0
262,1.6474056,IAD,91.90059,84.0
263,0.9322399,IAD,91.0515,98.0
264,2.1768246,OAD,92.102005,88.0
265,2.169992,OAD,92.534,98.0
266,0.7831575,IAD,92.39518,94.0
267,2.990744,OAD,90.08698,98.0
268,2.4499593,OAD,84.24039,90.0
269,2.3507555,OAD,94.11964,93.0
270,2.1540806,OAD,88.58493,94.0
271,3.2877984,OAD,87.92174,71.2
272,3.3965778,OAD,74.12041,64.0
273,7.9735994,OAD,44.45134,52.0
274,7.7766137,OAD,39.46743,18.0
275,7.360129,OAD,28.035406,0.0
276,3.658174,OAD,32.243355,0.0
277,10.320631,OAD,70.47268,85.0
278,8.550663,OAD,29.152184,0.0
279,7.1680837,OAD,24.093891,42.0
280,5.5420074,OAD,39.131657,24.0
281,5.3338666,OAD,40.643604,0.0
282,9.452645,OAD,73.639435,85.0
283,2.7151191,OAD,90.9653,87.0
284,1.6227311,IAD,95.35511,99.0
285,2.820216,OAD,90.07582,98.0
286,0.8390588,IAD,91.230515,94.0
287,3.471,OAD,82.57199,92.0
288,2.834538,OAD,87.78815,88.0
289,1.7272521,IAD,90.55149,92.0
290,3.087132,OAD,93.15038,94.0
291,4.0919933,OAD,99.5422,99.0
292,2.9670339,OAD,78.748,80.0
293,2.965669,OAD,89.201904,98.0
294,2.4017205,OAD,95.2301,82.0
295,2.4783704,OAD,90.97439,97.0
296,1.4079919,IAD,93.392586,97.0
297,3.7615573,OAD,87.89898,99.0
298,3.5240397,OAD,87.16313,87.0
299,0.50060683,IAD,87.20417,99.0
300,1.9842463,OAD,89.35153,85.0
301,1.2294743,IAD,100.83517,91.0
302,2.5155458,OAD,89.71729,85.0
303,3.1281188,OAD,93.935394,97.0
304,2.6028657,OAD,85.23231,82.0
305,3.7697027,OAD,83.00816,49.24
306,2.1654587,OAD,81.467384,82.0
307,7.6647496,OAD,85.909645,91.0
308,0.41670972,IAD,81.446396,80.0
309,0.6913853,IAD,66.2934,64.0
310,1.9809085,OAD,68.033905,66.0
311,1.7409081,IAD,80.08825,85.0
312,2.711172,OAD,65.02341,64.0
313,1.6569953,IAD,81.98275,84.0
314,1.3349056,IAD,82.47067,81.0
315,0.38298687,IAD,74.60199,75.0
316,4.7439957,OAD,58.295776,53.0
317,4.614581,OAD,77.20593,68.0
318,1.2998861,IAD,68.02363,81.0
319,6.7012663,OAD,81.54002,90.0
320,3.3652449,OAD,85.791,96.0
321,2.7092447,OAD,82.63458,88.0
322,3.4250696,OAD,82.99602,91.0
323,2.1392384,OAD,90.1997,96.0
324,3.2040396,OAD,83.38499,84.0
325,3.3558526,OAD,78.93757,89.0
326,5.3078027,OAD,93.56787,93.0
327,3.2399576,OAD,79.32933,98.0
328,1.0578882,IAD,70.32155,77.0
329,4.1708927,OAD,67.35263,83.0
330,2.520496,OAD,60.566013,100.0
331,2.578653,OAD,81.52741,84.0
332,3.3865457,OAD,79.23892,99.0
333,4.238652,OAD,83.854515,94.0
334,1.7343818,IAD,82.11775,89.0
335,3.0405278,OAD,89.96348,89.0
336,3.0058928,OAD,69.7823,86.0
337,2.27952,OAD,85.75028,81.0
338,3.4487994,OAD,73.33083,21.0
339,20.51124,OAD,41.475063,0.0
340,21.461262,OAD,19.672382,5.0
341,0.98859525,IAD,91.89321,97.0
342,1.1412992,IAD,88.61875,97.0
343,2.890322,OAD,92.64818,94.0
344,3.0818567,OAD,76.86857,81.0
345,4.466038,OAD,73.396416,59.0
346,2.4033456,OAD,58.44656,77.0
347,7.925661,OAD,59.685688,66.0
348,0.9720995,IAD,84.34857,82.0
349,3.8177211,OAD,91.827774,81.0
350,3.1743345,OAD,72.13505,90.0
351,4.5115232,OAD,75.024925,90.0
352,1.048229,IAD,87.483215,97.0
353,2.0558877,OAD,83.17963,82.0
354,4.5007615,OAD,52.519352,51.0
355,1.0939456,IAD,59.89049,2.5
356,5.8314714,OAD,62.316452,91.0
357,4.74043,OAD,68.88143,91.0
358,1.7166541,IAD,94.740326,93.0
359,2.348744,OAD,89.3092,97.0
360,5.4635115,OAD,67.08582,93.0
361,2.8563435,OAD,84.22257,72.0
362,2.0658069,OAD,88.856804,93.0
363,4.294742,OAD,81.66854,22.0
364,4.6966887,OAD,50.670074,95.0
365,6.8341594,OAD,54.40485,81.0
366,8.600962,OAD,71.31044,62.0
367,2.6845047,OAD,88.8034,96.0
368,1.7366936,IAD,90.87149,94.0
369,8.281342,OAD,81.19402,71.0
370,2.663545,OAD,88.234955,99.0
371,6.6580462,OAD,70.3782,75.0
372,6.2644796,OAD,58.864876,85.0
373,3.2780755,OAD,79.54354,88.0
374,2.5426607,OAD,85.85088,93.0
375,1.3468678,IAD,86.45234,90.0
376,7.8384523,OAD,69.84388,79.0
377,5.3690886,OAD,82.84865,75.0
378,7.145323,OAD,50.26591,93.0
379,4.5478535,OAD,69.79324,33.0
380,5.4430003,OAD,69.202324,84.0
381,7.1555667,OAD,48.503357,2.5
382,19.516575,OAD,21.37902,46.0
383,2.6202319,OAD,81.06521,80.0
384,2.5792613,OAD,46.28293,39.0
385,3.0295222,OAD,47.510326,46.0
386,3.3293908,OAD,41.362293,35.0
387,0.6735561,IAD,44.476044,57.0
388,6.832204,OAD,34.71954,30.0
389,2.7219086,OAD,67.94871,51.0
390,1.7863212,IAD,59.390366,65.0
391,3.9474878,OAD,60.599705,53.0
392,1.064306,IAD,72.06158,70.0
393,4.4731565,OAD,46.816666,57.0
394,6.0826144,OAD,20.438833,59.0
395,2.7463644,OAD,81.15694,95.0
396,2.3664913,OAD,79.39415,87.0
397,1.9179144,OAD,75.81017,91.0
398,5.131486,OAD,77.74974,87.0
399,2.3063643,OAD,66.90869,77.0
400,5.054634,OAD,71.89003,90.0
401,4.089946,OAD,85.52764,83.0
402,6.1109066,OAD,79.02812,86.0
403,2.897331,OAD,79.33496,84.0
404,3.4654808,OAD,80.22839,85.0
405,4.4198313,OAD,82.34963,82.0
406,5.546938,OAD,80.69964,80.0
407,1.4731001,IAD,77.67113,89.0
408,2.3589954,OAD,86.392914,75.0
409,2.4930494,OAD,84.94554,82.0
410,2.634919,OAD,89.53432,91.0
411,2.8799655,OAD,81.60481,98.0
412,3.8125207,OAD,87.01299,71.0
413,2.2708805,OAD,87.66922,89.0
414,1.1410422,IAD,87.86576,94.0
415,5.6699343,OAD,53.921257,84.0
416,4.2309237,OAD,91.063576,96.0
417,1.4431733,IAD,94.42052,95.0
418,2.7532477,OAD,88.98456,87.0
419,3.2945824,OAD,85.52504,86.0
420,3.49867,OAD,82.442726,85.0
421,3.8434799,OAD,93.16592,89.0
422,3.0711985,OAD,71.47471,74.0
423,3.175857,OAD,66.539986,77.0
424,4.397184,OAD,79.28099,82.0
425,9.479991,OAD,59.935368,84.0
426,9.225707,OAD,67.73115,56.0
427,9.479991,OAD,59.935368,51.0
428,11.368351,OAD,29.636377,39.0
429,8.33058,OAD,40.307735,33.0
430,5.9957743,OAD,47.02827,32.0
431,3.6374166,OAD,80.18058,98.0
432,2.715298,OAD,92.61861,96.0
433,2.9435008,OAD,84.136,93.0
434,3.3076694,OAD,84.21725,96.0
435,2.55116,OAD,84.31077,94.0
436,2.1760654,OAD,86.02369,96.0
437,8.064431,OAD,66.33429,71.0
438,5.9272985,OAD,92.38789,93.0
439,1.2707665,IAD,87.14232,83.0
440,3.349956,OAD,92.4501,97.0
441,2.0479329,OAD,89.596306,95.0
