idx,leverage,AD_type,y_pred,y_true
0,0.7233737440682444,OAD,71.957985,0.0
1,0.7233737440682444,OAD,71.957985,15.0
2,0.7233737440682444,OAD,71.957985,19.0
3,1.0309900894993356,OAD,22.775913,80.0
4,1.0309900894993356,OAD,22.775913,87.0
5,1.0309900894993356,OAD,22.775913,83.0
6,1.0421411441797597,OAD,36.298473,58.0
7,1.0421411441797597,OAD,36.298473,41.0
8,7.152003145620515,OAD,52.80454,80.0
9,7.152003145620515,OAD,52.80454,93.0
10,7.152003145620515,OAD,52.80454,88.0
11,7.164553774468141,OAD,45.02236,92.0
12,7.164553774468141,OAD,45.02236,87.0
13,7.175275118718156,OAD,17.310875,82.0
14,7.727342150817137,OAD,18.980705,84.0
15,7.405964327459062,OAD,35.2404,80.0
16,7.763950173266247,OAD,24.241245,87.0
17,7.296236647744031,OAD,22.81208,85.0
18,7.311523494172143,OAD,18.639133,80.0
19,7.287122766536269,OAD,49.575542,86.0
20,7.2995611955958335,OAD,45.0313,82.0
21,8.199310933059907,OAD,41.923725,85.0
22,7.754708428819387,OAD,51.856026,87.0
23,7.49092070537789,OAD,38.470654,35.0
24,7.505325133941724,OAD,17.446512,31.0
25,137.5984805894982,OAD,61.770943,41.0
26,138.48549380558825,OAD,50.67388,29.0
27,0.7080692548904235,OAD,62.15061,86.0
28,0.6357706968248571,OAD,22.127352,0.0
29,1.3399695420544813,OAD,31.417294,37.0
30,0.7518870242092804,OAD,45.708347,49.0
31,0.8026210834624254,OAD,46.19491,67.0
32,0.7307371514207939,OAD,50.384228,0.0
33,0.7647652932674127,OAD,74.50968,72.0
34,0.7080692548904235,OAD,62.15061,23.0
35,0.7080692548904235,OAD,62.15061,48.0
36,0.7176095541207457,OAD,51.763443,68.0
37,0.30590063568442094,IAD,56.192482,0.0
38,1.3966373355590456,OAD,46.30195,0.0
39,0.7080692548904235,OAD,62.15061,86.0
40,0.7149993786665778,OAD,43.51204,58.0
41,0.734618433833063,OAD,8.981638,9.0
42,0.7302102688817775,OAD,68.77226,82.0
43,0.724139382200701,OAD,63.328045,86.0
44,0.779057380953593,OAD,66.519005,81.0
45,0.7933053166815904,OAD,56.143555,54.0
46,0.7851970616124555,OAD,77.410706,78.0
47,0.8027305213155156,OAD,55.389908,53.0
48,0.7737019471359674,OAD,55.814995,64.0
49,0.8591917987033777,OAD,77.77391,92.0
50,0.8657969907419396,OAD,77.18124,86.0
51,0.8239677092408395,OAD,68.62872,75.0
52,0.8878822433630678,OAD,62.886322,66.0
53,0.7775758270644251,OAD,70.13226,80.0
54,1.4159016436025347,OAD,56.14133,63.0
55,0.85619366643368,OAD,62.62891,76.0
56,0.7295650750093907,OAD,68.44145,89.0
57,0.7306127745836821,OAD,54.310513,66.0
58,0.7421302474994722,OAD,24.841894,0.0
59,0.7273808177549206,OAD,55.55029,87.0
60,0.7392188049366948,OAD,67.95369,84.0
61,0.7540878890131526,OAD,72.570305,82.0
62,0.766876463035219,OAD,80.29378,80.0
63,0.7208999329269203,OAD,66.02223,89.0
64,0.7288186168014998,OAD,54.2878,86.0
65,0.7775733043357644,OAD,66.93987,62.0
66,0.781347579972441,OAD,74.23943,73.0
67,46.66365422164205,OAD,41.963066,89.0
68,36.15752686518447,OAD,46.37155,87.0
69,48.16885824955578,OAD,35.389183,81.0
70,48.04272825676935,OAD,44.067307,88.0
71,37.32480375996807,OAD,46.811344,90.0
72,35.62695245541481,OAD,32.705677,83.0
73,47.495635424980925,OAD,32.111675,88.0
74,48.06900886591727,OAD,30.884232,92.0
75,46.394922979568065,OAD,42.97282,89.0
76,47.514577929117365,OAD,44.63535,93.0
77,35.807205192713475,OAD,44.949425,86.0
78,36.00495402995747,OAD,35.65294,71.0
79,36.30486187998854,OAD,39.3194,78.0
80,37.10127738509971,OAD,45.063343,83.0
81,36.18822983981031,OAD,40.2772,80.0
82,36.94631046399239,OAD,37.606606,76.0
83,36.42927405142367,OAD,51.64329,75.0
84,36.39052592267072,OAD,35.778812,71.0
85,36.42927405142367,OAD,51.64329,72.0
86,0.9914826657781537,OAD,65.09211,95.0
87,1.0310176609566404,OAD,72.216995,93.0
88,0.9312532563431235,OAD,57.36936,92.0
89,1.0009948196352962,OAD,55.857494,90.0
90,1.2096597162928133,OAD,57.836636,93.0
91,0.9504879791951666,OAD,50.985943,91.0
92,1.0732695831114842,OAD,55.122784,94.0
93,1.0292966649891386,OAD,54.201668,91.0
94,0.49883317550165324,OAD,70.44448,5.0
95,0.49883317550165324,OAD,70.44448,50.0
96,0.49883317550165324,OAD,70.44448,95.0
97,0.4547041413997679,IAD,42.38088,85.0
98,0.5013870621666778,OAD,71.14511,95.0
99,0.522110941250191,OAD,45.04419,66.0
100,0.5208370096912923,OAD,59.665516,17.0
101,0.6412617816483273,OAD,66.17172,11.0
102,0.5091799299566064,OAD,54.981606,0.0
103,0.4983927777891165,OAD,59.562733,93.0
104,0.6053233774621005,OAD,12.809492,65.0
105,0.5111401653630961,OAD,45.7749,38.0
106,0.5357382220536391,OAD,64.99957,85.0
107,0.8445053796995547,OAD,24.194843,8.0
108,0.520018247292293,OAD,68.99337,83.0
109,0.5535750833129778,OAD,66.71027,78.0
110,0.5402293779199712,OAD,74.47403,91.0
111,0.5800535711865037,OAD,60.081787,89.0
112,0.5055566959611675,OAD,62.055416,86.0
113,0.5447906508392164,OAD,65.70719,82.0
114,0.537798033775456,OAD,67.610855,80.0
115,0.503651571177168,OAD,77.56399,82.0
116,1.5329539963136032,OAD,67.60559,86.0
117,0.806766045011812,OAD,75.983604,95.0
118,0.7974036558665398,OAD,65.016266,86.0
119,0.5260053457388246,OAD,76.84793,92.0
120,0.5414136026553649,OAD,80.215355,88.0
121,0.5945065942686412,OAD,59.27001,72.0
122,0.5552770205641784,OAD,64.482414,81.0
123,0.6433556395584288,OAD,66.38251,80.0
124,0.5810559885856476,OAD,59.044758,92.0
125,0.5191570067817426,OAD,25.686293,0.0
126,4.920455115039692,OAD,69.6376,78.0
127,1.2981401439509868,OAD,73.10572,76.0
128,0.558908889745971,OAD,79.54485,77.0
129,0.7655714965657869,OAD,63.431553,80.0
130,0.6833815614592881,OAD,63.598103,73.0
131,0.7291196806381448,OAD,72.144,75.0
132,0.5655316991339838,OAD,76.340485,83.0
133,0.6383104148786494,OAD,63.22182,83.0
134,0.5432336113768843,OAD,75.52197,86.0
135,0.5578402476914528,OAD,57.82962,78.0
136,0.7934229030812351,OAD,65.083336,65.0
137,0.7927459354965632,OAD,62.709274,81.0
138,0.8790741022500617,OAD,68.34479,88.0
139,1.568428369984721,OAD,58.955677,78.0
140,0.4854458933848035,OAD,80.83096,63.0
141,0.5052018486565222,OAD,67.153275,7.0
142,0.48336990326407847,OAD,80.58242,75.0
143,0.4769039862372283,OAD,74.216415,90.0
144,0.4815359687110619,OAD,79.866135,65.0
145,0.48239516519264286,OAD,69.79921,58.0
146,0.4883029486372191,OAD,52.907112,45.0
147,0.5739474024614672,OAD,68.0145,0.0
148,0.4784927853398858,OAD,80.169876,70.0
149,0.48755387480282464,OAD,51.97123,0.0
150,0.49692920063976215,OAD,61.970215,25.0
151,1.3577153290314694,OAD,79.10795,80.0
152,1.78360296543676,OAD,72.14809,76.0
153,1.0255205617559793,OAD,68.353905,67.0
154,4.847990136639925,OAD,75.12818,53.0
155,1.9676072152871082,OAD,60.201366,78.0
156,9.25700721963108,OAD,73.25841,60.0
157,0.47758065608005223,OAD,72.306305,100.0
158,0.4774383349342397,OAD,67.36112,84.0
159,0.48433013810879044,OAD,56.22907,90.0
160,0.5027094131174967,OAD,58.415012,92.0
161,0.49229018364486066,OAD,74.889015,99.0
162,0.4889840656635029,OAD,73.20712,92.0
163,0.5104822088455158,OAD,73.76105,91.0
164,0.5195990684666314,OAD,66.34958,73.0
165,0.5966118606278628,OAD,68.51449,95.0
166,0.5338680042933038,OAD,70.51712,85.0
167,0.751149382707321,OAD,70.00301,98.0
168,0.5211716193831021,OAD,73.35261,95.0
169,0.5382241575216643,OAD,75.24757,53.0
170,0.5416570086182922,OAD,76.90343,70.0
171,0.5138079795140731,OAD,74.23868,57.0
172,0.5192326246596011,OAD,76.51383,73.0
173,0.5272353134376639,OAD,65.6877,92.0
174,0.5131474351194705,OAD,70.910194,96.0
175,0.5206770079324052,OAD,61.27086,82.0
176,0.5018289497769145,OAD,80.01149,95.0
177,0.508722615247289,OAD,68.744354,45.0
178,0.654013287266521,OAD,84.145996,94.0
179,0.6514011012385537,OAD,85.01002,64.0
180,0.6954545593756525,OAD,70.36913,61.0
181,0.6758976103296888,OAD,74.37656,67.0
182,1.285735176553973,OAD,85.24565,65.0
183,1.2898992226278847,OAD,87.110115,75.0
184,1.3508500465554742,OAD,72.94975,75.0
185,0.6425254925117636,OAD,81.05877,64.0
186,1.270937116038996,OAD,81.83149,80.0
187,0.647851802264157,OAD,69.49867,46.0
188,1.282087790939136,OAD,76.813545,19.0
189,0.8500472374701658,OAD,64.57533,8.0
190,0.6574015305732587,OAD,84.209854,52.0
191,1.2878465503003542,OAD,84.0076,41.0
192,0.6468804920281,OAD,81.48679,28.0
193,1.2740152459968102,OAD,81.002335,40.0
194,0.6731949966679562,OAD,73.73532,11.0
195,1.306314754008517,OAD,76.351814,10.0
196,0.6530056297484917,OAD,84.977264,68.0
197,0.6567272397890066,OAD,83.49264,95.0
198,0.6506342078851154,OAD,80.74466,0.0
199,0.6567272397890066,OAD,83.49264,91.0
200,0.671823339956198,OAD,80.3811,91.0
201,0.672838002535942,OAD,85.962105,87.0
202,0.6953669937661424,OAD,79.47509,78.0
203,0.641950429305661,OAD,70.6713,89.0
204,0.6527955185519401,OAD,71.18086,68.0
205,0.6469979178772259,OAD,68.09951,60.0
206,0.8541623390255595,OAD,67.220695,67.0
207,0.666685463600206,OAD,86.56557,91.0
208,1.0519956912382629,OAD,82.83938,90.0
209,0.6766146662086678,OAD,79.710266,75.0
210,0.653579540252558,OAD,72.339714,87.0
211,0.7105228442040583,OAD,74.65874,72.0
212,0.6617562498876484,OAD,83.735,75.0
213,0.6926343157377157,OAD,83.765366,95.0
214,0.7538249158187422,OAD,78.176956,92.0
215,0.6673886520005389,OAD,86.50923,94.0
216,1.0836054496421565,OAD,8.318322,86.0
217,1.1219428382560057,OAD,2.6171389,88.0
218,22.27561435758122,OAD,10.240595,63.0
219,22.291073469198267,OAD,1.2293788,65.0
220,23.15016577109357,OAD,3.1437144,79.0
221,23.166556756547237,OAD,-0.93795437,81.0
222,1.651006231321066,OAD,10.686496,58.0
223,1.6845919301446441,OAD,2.7236722,61.0
224,1.624790876390477,OAD,10.1098795,78.0
225,1.6634163051319377,OAD,4.6035085,79.0
226,1.2004850277640138,OAD,12.768453,80.0
227,1.2369970268003283,OAD,7.093956,82.0
228,1.1416333912089458,OAD,15.088846,86.0
229,1.1797299102700027,OAD,9.315828,90.0
230,0.19920210177082343,IAD,66.26852,30.0
231,0.3706302070373626,IAD,55.043064,27.0
232,0.6127796014554523,OAD,40.510216,55.0
233,1.1508068693099842,OAD,51.719463,93.0
234,0.27469668532488245,IAD,60.66713,18.0
235,0.9481108646049273,OAD,53.078735,24.0
236,0.4524933822897629,IAD,50.397686,26.0
237,0.9104160096508734,OAD,53.034073,85.0
238,1.1559960752470202,OAD,52.399574,49.0
239,1.2752238187866685,OAD,48.48627,80.0
240,1.17565838951291,OAD,53.312798,40.0
241,0.9021979005273378,OAD,46.17056,90.0
242,0.9920807048178516,OAD,45.27213,20.0
243,0.9465838415400021,OAD,45.395042,27.0
244,1.1508068693099842,OAD,51.719463,93.0
245,1.1565332458692452,OAD,43.9082,0.0
246,1.1907558380533876,OAD,86.28884,99.0
247,1.315179035491873,OAD,69.0106,82.0
248,1.2933927107765282,OAD,83.77843,84.0
249,1.2950319911858457,OAD,71.50721,87.0
250,1.547271758593444,OAD,71.37758,96.0
251,1.1699522436525571,OAD,71.90299,85.0
252,1.5418798759580827,OAD,78.20115,96.0
253,1.4080238621390406,OAD,81.40032,98.0
254,1.2036366133469654,OAD,72.18277,94.0
255,1.22896612336547,OAD,56.84138,72.0
256,1.2480191726762988,OAD,78.65118,99.0
257,1.2742642369011195,OAD,80.40693,98.0
258,1.1619278798563961,OAD,80.929184,98.0
259,1.1377846074941518,OAD,74.50782,92.0
260,1.1721776926197247,OAD,79.71263,97.0
261,1.1844141921605136,OAD,74.268936,86.0
262,1.2232215188614892,OAD,75.951294,84.0
263,1.2871133626248865,OAD,77.54512,98.0
264,1.1630081426298102,OAD,75.51757,88.0
265,1.423553382455979,OAD,82.06924,98.0
266,1.207643447050021,OAD,80.857414,94.0
267,1.3497827173544286,OAD,84.21535,98.0
268,1.2283141505002382,OAD,82.20907,90.0
269,1.2193773059836093,OAD,74.65954,93.0
270,1.6006382298107584,OAD,71.31442,94.0
271,1.374530932417463,OAD,77.29043,71.2
272,1.146352330086619,OAD,59.240387,64.0
273,1.15095727339779,OAD,52.985172,52.0
274,1.2658368348448927,OAD,48.524227,18.0
275,1.1752050448686597,OAD,37.036312,0.0
276,1.170386452014156,OAD,42.529743,0.0
277,1.1755632065759933,OAD,58.03811,85.0
278,0.2807572188557357,IAD,51.5657,0.0
279,1.0555945111465146,OAD,35.383247,42.0
280,1.0555945111465146,OAD,35.383247,24.0
281,0.45474304188701986,IAD,33.01414,0.0
282,1.1755632065759933,OAD,58.03811,85.0
283,1.2165973394009106,OAD,77.67603,87.0
284,1.413451705792002,OAD,80.26344,99.0
285,1.49263414370278,OAD,83.66523,98.0
286,1.429131429243185,OAD,77.961845,94.0
287,1.2311841889079937,OAD,61.16575,92.0
288,1.317131289259964,OAD,71.121475,88.0
289,1.2245532819566027,OAD,69.3326,92.0
290,1.4259314522168252,OAD,70.164894,94.0
291,1.5348717629406938,OAD,78.79643,99.0
292,1.2460961385340281,OAD,66.91158,80.0
293,1.1636565595987098,OAD,69.882545,98.0
294,1.195707195255411,OAD,82.65507,82.0
295,1.307544186368673,OAD,75.87685,97.0
296,1.1872255272712895,OAD,78.86154,97.0
297,1.2172967944746171,OAD,80.039536,99.0
298,1.1894977013976122,OAD,77.193306,87.0
299,1.2386343981688603,OAD,76.58506,99.0
300,1.2158262894688308,OAD,72.35496,85.0
301,1.3439907442909398,OAD,80.98121,91.0
302,1.19124641305035,OAD,76.06734,85.0
303,1.2426833349561994,OAD,76.41689,97.0
304,1.5007854599353092,OAD,80.59436,82.0
305,1.4366863084101003,OAD,69.09361,49.24
306,0.6838711258422954,OAD,72.65159,82.0
307,0.3712978930885991,IAD,69.205086,91.0
308,0.29002037367480693,IAD,74.96692,80.0
309,0.2525895609122023,IAD,62.93678,64.0
310,0.24943814549318105,IAD,67.99855,66.0
311,0.2604597659604122,IAD,47.52416,85.0
312,0.25221500442444644,IAD,63.617054,64.0
313,0.2619433100125663,IAD,52.50368,84.0
314,0.320365810675062,IAD,62.224148,81.0
315,0.41927697999314406,IAD,52.038063,75.0
316,0.31716429807719226,IAD,57.903473,53.0
317,0.3050714742970695,IAD,44.376945,68.0
318,0.30483977781812055,IAD,43.963554,81.0
319,0.2831324087398992,IAD,60.262234,90.0
320,0.42501130723190306,IAD,65.54379,96.0
321,0.27631971891069396,IAD,58.98592,88.0
322,0.5367054295190059,OAD,63.758205,91.0
323,0.40731690024307987,IAD,60.2157,96.0
324,0.48796009592797907,OAD,56.984955,84.0
325,0.49138859523549694,OAD,56.135937,89.0
326,0.5560314806424066,OAD,56.188744,93.0
327,0.41446882691538933,IAD,56.373814,98.0
328,0.2865923769007719,IAD,51.150337,77.0
329,0.3094788137316806,IAD,48.631786,83.0
330,0.294655736169809,IAD,46.064137,100.0
331,0.3205251965740843,IAD,54.6294,84.0
332,0.31731197849873105,IAD,48.168068,99.0
333,0.3900280222598753,IAD,51.89564,94.0
334,0.32862120558020114,IAD,46.17661,89.0
335,0.3339759189373147,IAD,54.648087,89.0
336,0.5425542820786602,OAD,54.335625,86.0
337,0.36943814548009213,IAD,53.56015,81.0
338,0.3901779783413968,IAD,56.3975,21.0
339,0.703647998884704,OAD,15.487319,0.0
340,0.9762969788590672,OAD,14.82095,5.0
341,0.31054417039494986,IAD,68.95934,97.0
342,0.41385441973146286,IAD,60.24317,97.0
343,0.3489451453680128,IAD,54.972355,94.0
344,0.49844472002865203,OAD,54.203304,81.0
345,9.956658360548747,OAD,45.278316,59.0
346,10.259653756312083,OAD,36.09168,77.0
347,0.26227828103620654,IAD,37.79047,66.0
348,0.32153287513899365,IAD,58.25805,82.0
349,0.32975150837673683,IAD,59.92612,81.0
350,0.3278573837616021,IAD,50.910564,90.0
351,0.33098488369262524,IAD,53.98979,90.0
352,0.3500092825831226,IAD,57.398834,97.0
353,0.3447120891083456,IAD,57.69966,82.0
354,0.27241295044526503,IAD,36.298183,51.0
355,0.6283658576874256,OAD,41.0263,2.5
356,0.26795801142575626,IAD,64.39786,91.0
357,0.281032108860946,IAD,59.410107,91.0
358,0.32855058950748917,IAD,75.52723,93.0
359,0.3083821961393405,IAD,69.655334,97.0
360,0.28927440322082787,IAD,68.896545,93.0
361,0.32018099261115873,IAD,61.934258,72.0
362,0.29924434810830336,IAD,75.86271,93.0
363,0.269049663470492,IAD,63.353664,22.0
364,0.40515564474106236,IAD,37.112,95.0
365,0.4553980381564352,OAD,43.90678,81.0
366,0.5541587791336364,OAD,50.020336,62.0
367,0.3058480266450203,IAD,72.53751,96.0
368,0.32479082473163534,IAD,73.618835,94.0
369,0.41910119649675104,IAD,46.7758,71.0
370,0.31148505863619813,IAD,70.5847,99.0
371,0.43047129925520367,IAD,66.09849,75.0
372,350.2781206868518,OAD,68.44347,85.0
373,350.373519962188,OAD,65.70254,88.0
374,350.333129403013,OAD,60.549065,93.0
375,350.31616277531975,OAD,67.47133,90.0
376,350.30054856440455,OAD,44.783424,79.0
377,350.4009594183685,OAD,54.091125,75.0
378,350.41108050915943,OAD,47.31344,93.0
379,350.2803074570631,OAD,61.554325,33.0
380,350.2882718132991,OAD,67.24751,84.0
