idx,leverage,AD_type,y_pred,y_true
0,0.1919123387134163,OAD,12.1967945,0.0
1,0.1919123387134163,OAD,12.1967945,15.0
2,0.1919123387134163,OAD,12.1967945,19.0
3,0.16965448410734368,OAD,81.572845,80.0
4,0.16965448410734368,OAD,81.572845,87.0
5,0.16965448410734368,OAD,81.572845,83.0
6,0.1725088939440848,OAD,51.92204,58.0
7,0.1725088939440848,OAD,51.92204,41.0
8,0.08909887413804285,IAD,88.2374,80.0
9,0.08909887413804285,IAD,88.2374,93.0
10,0.08909887413804285,IAD,88.2374,88.0
11,0.08979395569340853,IAD,87.30335,92.0
12,0.08979395569340853,IAD,87.30335,87.0
13,0.09614974089351536,IAD,83.0148,82.0
14,0.3120209697143854,OAD,82.69876,84.0
15,0.22400763465760898,OAD,79.574646,80.0
16,0.29087143535292537,OAD,88.18973,87.0
17,0.13446659687720075,OAD,85.150154,85.0
18,0.1475000253446661,OAD,78.80927,80.0
19,0.13126702487750852,OAD,85.28858,86.0
20,0.14203904249381993,OAD,82.714294,82.0
21,0.5485858592629442,OAD,85.4039,85.0
22,0.2952123016419903,OAD,86.67799,87.0
23,0.20019396965115654,OAD,36.871536,35.0
24,0.20484785187844345,OAD,28.626131,31.0
25,0.6218803750809636,OAD,41.378063,41.0
26,0.621191401438336,OAD,28.396986,29.0
27,0.6860060793632372,OAD,80.56664,86.0
28,0.2030042806297791,OAD,34.70595,0.0
29,0.21176250368812488,OAD,44.99965,37.0
30,0.13330144571942926,OAD,69.513824,49.0
31,0.7701669106490447,OAD,46.7527,67.0
32,0.6951669068678985,OAD,60.753998,0.0
33,0.715734940734817,OAD,81.59453,72.0
34,0.6860060793632372,OAD,80.56664,23.0
35,0.6860060793632372,OAD,80.56664,48.0
36,0.6952599090461744,OAD,62.398964,68.0
37,0.28432797384749664,OAD,80.33895,0.0
38,0.16071348303791144,OAD,49.53921,0.0
39,0.6860060793632372,OAD,80.56664,86.0
40,0.6916630580631065,OAD,64.269844,58.0
41,0.7089265414036583,OAD,22.947104,9.0
42,0.6935308876010149,OAD,78.16201,82.0
43,0.6957410584719339,OAD,75.1956,86.0
44,0.7085311560960212,OAD,75.69142,81.0
45,0.7248390519815526,OAD,72.56389,54.0
46,0.7442354205577664,OAD,83.592606,78.0
47,0.7414233153692988,OAD,67.04324,53.0
48,0.729058073495473,OAD,66.97174,64.0
49,0.7478494959315536,OAD,80.658325,92.0
