,ligand1,category,predict
0,Brc1ccc(-c2ncc[nH]2)nc1,normal_biamine,58.74813
1,C(/C=N/Nc1ccccc1)=N\Nc1ccccc1,diimide,47.67199
2,C(=C/P(c1ccccc1)c1ccccc1)\P(c1ccccc1)c1ccccc1,phosphorus,44.769905
3,C(=C/c1ccccn1)\CC/C=C/c1ccccn1,others,57.50886
4,C(=C/c1cccs1)\CC/C=C/c1cccs1,others,46.982723
5,C(=C\NNc1ccccc1)\NNc1ccccc1,normal_biamine,45.78384
6,C(=N/CC/N=C/c1ccccc1)\c1ccccc1,normal_biamine,53.939484
7,C(=N/[C@H]1CCCC[C@@H]1/N=C/c1ccccn1)\c1ccccn1,normal_biamine,58.89724
8,C(=N/c1ccccc1)\c1ccccn1,normal_biamine,59.827934
9,C1=CN(c2ccccn2)CN1c1ccccn1,carbine,50.272427
10,C1CCC(P(C2CCCC2)C2CCCC2)C1,phosphorus,49.844765
11,C1CNCCN1,normal_biamine,48.061245
12,CC(=N/O)/C(C)=N\O,diimide,51.39257
13,CC(=O)C(=O)[O-].[K+],normal_bialcohol,70.89296
14,CC(=O)C1CCCCC1=O,acetylacetone,53.122982
15,CC(=O)C1CCCc2cccnc21,alcohol_amine,65.15804
16,CC(=O)CC(=O)N(C)C,acetylacetone,47.16539
17,CC(=O)CC(C)=Nc1ccc(F)cc1,acetone_imide,59.174152
18,CC(=O)CC(C)=O,acetylacetone,41.679844
19,CC(=O)Cc1ccccn1,alcohol_amine,62.784718
20,CC(=O)NC(CS)C(=O)O,amino_acid,59.525555
21,CC(=O)NC(NC(C)=O)c1ccccc1,others,42.690636
22,CC(=O)Nc1ccccn1,others,46.792442
23,CC(=O)c1ccc[nH]1,alcohol_amine,50.885094
24,CC(=O)c1ccccc1O,normal_bialcohol,58.032772
25,CC(=O)c1ccccn1,alcohol_amine,56.31112
26,CC(C)(C)C(=O)CC(=O)C(C)(C)C,acetylacetone,52.007534
27,CC(C)(C)P(C(C)(C)C)C(C)(C)C,phosphorus,53.931763
28,CC(C)(C)P(Oc1cccc2cccnc12)C(C)(C)C,phosphorus,58.90702
29,CC(C)(C)P(c1ccccc1)C(C)(C)C,phosphorus,59.26632
30,CC(C)(C)P(c1ccccc1-c1ccccc1)C(C)(C)C,phosphorus,60.150684
31,CC(C)(C)c1ccccc1NC(=O)C(=O)Nc1ccccc1C(C)(C)C,oxalamide,54.051178
32,CC(C)(O)C(C)(C)O,normal_bialcohol,40.801083
33,CC(C)C(=O)C1CCCCC1=O,acetylacetone,56.246338
