,ligand1,category,predict,synad_score
0,Brc1ccc(-c2ncc[nH]2)nc1,normal_biamine,53.08269,0.9328240252897787
1,C(/C=N/Nc1ccccc1)=N\Nc1ccccc1,diimide,48.179855,0.881059009483667
2,C(=C/P(c1ccccc1)c1ccccc1)\P(c1ccccc1)c1ccccc1,phosphorus,43.253536,0.9689146469968388
3,C(=C/c1ccccn1)\CC/C=C/c1ccccn1,others,55.75245,0.8440463645943098
4,C(=C/c1cccs1)\CC/C=C/c1cccs1,others,48.65719,0.9687829293993677
5,C(=C\NNc1ccccc1)\NNc1ccccc1,normal_biamine,46.750122,0.8798735511064278
6,C(=N/CC/N=C/c1ccccc1)\c1ccccc1,normal_biamine,53.04637,0.8208640674394099
7,C(=N/[C@H]1CCCC[C@@H]1/N=C/c1ccccn1)\c1ccccn1,normal_biamine,55.407146,0.8966016859852476
8,C(=N/c1ccccc1)\c1ccccn1,normal_biamine,56.93619,0.7270811380400422
9,C1=CN(c2ccccn2)CN1c1ccccn1,carbine,48.97837,0.8460221285563752
10,C1CCC(P(C2CCCC2)C2CCCC2)C1,phosphorus,50.25009,0.9859062170706007
11,C1CNCCN1,normal_biamine,44.460415,0.8263962065331928
12,CC(=N/O)/C(C)=N\O,diimide,49.402122,0.7608008429926238
13,CC(=O)C(=O)[O-].[K+],normal_bialcohol,43.101456,0.9976290832455216
14,CC(=O)C1CCCCC1=O,acetylacetone,50.678173,0.7198366701791359
15,CC(=O)C1CCCc2cccnc21,alcohol_amine,60.78772,0.6733403582718651
16,CC(=O)CC(=O)N(C)C,acetylacetone,44.643436,0.7054794520547946
17,CC(=O)CC(C)=Nc1ccc(F)cc1,acetone_imide,56.685196,0.7223393045310853
18,CC(=O)CC(C)=O,acetylacetone,39.97358,0.7398577449947313
19,CC(=O)Cc1ccccn1,alcohol_amine,59.151146,0.6406743940990516
20,CC(=O)NC(CS)C(=O)O,amino_acid,54.820103,0.9116174920969442
21,CC(=O)NC(NC(C)=O)c1ccccc1,others,43.354527,0.6998155953635405
22,CC(=O)Nc1ccccn1,others,43.78858,0.7000790305584826
23,CC(=O)c1ccc[nH]1,alcohol_amine,48.829685,0.7121970495258166
24,CC(=O)c1ccccc1O,normal_bialcohol,53.70483,0.6862486828240253
25,CC(=O)c1ccccn1,alcohol_amine,52.66877,0.6825605900948367
26,CC(C)(C)C(=O)CC(=O)C(C)(C)C,acetylacetone,50.403755,0.7341938883034773
27,CC(C)(C)P(C(C)(C)C)C(C)(C)C,phosphorus,58.671043,0.9436248682824026
28,CC(C)(C)P(Oc1cccc2cccnc12)C(C)(C)C,phosphorus,56.07981,0.8427291886195996
29,CC(C)(C)P(c1ccccc1)C(C)(C)C,phosphorus,56.578583,0.874868282402529
30,CC(C)(C)P(c1ccccc1-c1ccccc1)C(C)(C)C,phosphorus,56.940506,0.9297945205479452
31,CC(C)(C)c1ccccc1NC(=O)C(=O)Nc1ccccc1C(C)(C)C,oxalamide,51.174812,0.8593256059009484
32,CC(C)(O)C(C)(C)O,normal_bialcohol,38.71222,0.7580347734457323
33,CC(C)C(=O)C1CCCCC1=O,acetylacetone,53.077763,0.7310326659641728
34,CC(C)C(=O)C1CCCc2cccnc21,alcohol_amine,57.656384,0.7190463645943098
35,CC(C)C(=O)Cc1ccccn1,alcohol_amine,55.974537,0.6570073761854583
36,CC(C)C(O)Cc1ccccn1,alcohol_amine,60.001102,0.6795310853530031
37,CC(C)N(C(C)C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,phosphorus,58.120438,0.9490252897787145
38,CC(C)OP(=O)(CN(C)C)OC(C)C,phosphorus,57.79225,0.815595363540569
39,CC(C)Oc1ccccc1NC(=O)C(=O)NCc1ccccc1,oxalamide,63.688885,0.7789778714436248
40,CC(C)c1ccccc1N(NC(=O)c1ccc[nH]1)c1ccccc1C(C)C,alcohol_amine,54.626896,0.928740779768177
41,CC(CC(C)=Nc1c(C(C)C)cccc1C(C)C)=Nc1c(C(C)C)cccc1C(C)C,diimide,51.985302,0.9866965226554267
