paper_id,paper,year,month,synad_score,r2_test
1,H-27,2002,1,1.000,-0.2606007651838045
2,H-85,2002,2,1.000,-1.0178876889066482
3,H-104,2002,4,1.000,-12.215903916286718
4,Z-241,2002,4,0.385,0.9782703228981129
5,H-95,2002,8,1.000,0.18999173036045425
6,H-103,2002,9,1.000,-0.16951282385377753
7,Z-230,2003,1,1.000,-0.6104678023928034
8,H-4,2003,1,0.259,0.9762394406654781
9,H-15,2003,1,1.000,-9.748589548227125
10,Z-240,2003,2,1.000,-7.357295255293108
11,H-38,2003,3,1.000,-0.18150238277333575
12,Z-239,2003,6,1.000,-0.7720102253717986
13,Z-238,2003,9,1.000,-1.1688409235556962
14,Z-149,2003,9,1.000,-0.42473085082028983
15,H-75,2003,12,1.000,-0.4933473363881087
16,Z-147,2004,3,1.000,-1.6888910654147615
17,Z-146,2004,6,1.000,-2.2324523470933983
18,H-71,2004,7,0.925,-0.1986664623397616
19,Z-227,2005,1,1.000,-31.206878190522687
20,H-72,2005,1,0.889,-7.456864814529826
21,Z-141,2005,4,1.000,-0.3799421879833256
22,H-17,2005,5,0.718,-0.03246841673826406
23,Z-140,2005,7,1.000,-0.49380071688981486
24,H-43,2005,7,1.000,-0.0642005660886742
25,H-99,2005,10,1.000,-0.1421306881971809
26,Z-143,2005,10,0.958,-0.32801797000568844
27,H-102,2005,12,1.000,-0.8861387325673404
28,Z-133,2006,1,1.000,-0.08318363417678198
29,Z-226,2006,1,1.000,-0.42901497602517336
30,H-105,2006,2,1.000,-0.07663212704456068
31,Z-135,2006,3,1.000,-0.21197899025692069
32,H-18,2006,4,0.994,-0.09861431281492972
33,H-21,2006,5,0.707,0.2766704471987609
34,Z-224,2006,5,0.707,-0.28892813688453334
35,Z-137,2006,6,0.994,-0.3230120186055081
37,Z-225,2006,6,0.974,-1.324779203213684
36,H-53,2006,6,1.000,-61.87946702897375
38,Z-134,2006,7,1.000,-0.07130474536719444
39,Z-235,2006,8,1.000,-0.5081048492526663
40,H-51,2006,8,0.338,0.9924664997410646
41,Z-132,2006,9,1.000,-0.10391418558229248
42,Z-138,2006,10,1.000,-1.7313414565934147
43,H-77,2006,12,0.929,-0.08597031488258788
44,Z-130,2006,12,1.000,-1.0930203438302066
45,H-33,2006,12,0.127,0.5099357453471596
46,H-32,2007,2,0.977,-0.579273967492222
47,H-80,2007,4,1.000,0.08663039226930302
48,H-44,2007,7,0.989,0.06242718661442381
49,H-81,2007,10,1.000,-1.5474092652258653
50,H-70,2007,11,0.838,0.07723669256718912
51,H-36,2008,2,1.000,-1.95493080513427
52,Z-233,2008,2,0.184,0.9809643709584905
53,Z-217,2008,3,0.868,0.1172740955293643
54,H-63,2008,5,0.988,-0.009165065870532896
55,Z-220,2008,6,0.864,-0.6282451166359209
56,H-8,2008,7,1.000,-0.371677307529622
57,H-64,2008,7,0.947,-1.4174567082972582
58,H-20,2008,10,0.900,-0.3068465816459385
59,H-84,2008,11,0.830,-0.33729676939247977
60,Z-211,2009,1,0.988,-0.7181594343817213
61,H-52,2009,1,1.000,-1.0712184538793026
62,Z-215,2009,1,1.000,
63,H-59,2009,1,0.640,0.9900517785009306
64,Z-214,2009,4,0.955,-0.35379556838891424
65,H-37,2009,7,0.941,-0.6170752235973305
